Time,Down,Type,Yards,Details,BC,Calgary
15:00,0,Kickoff,26,Hugh O'Neill kicks off to the Cgy8. Larry Taylor return for 26 yards to Cgy34.,0,0
14:38,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy37. Tackled by Tim Hawthorne.,0,0
14:20,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Tim Hawthorne.,0,0
13:53,3,Punt,8,Rob Maver punts for 39 yards to BC34. Isi Sofele return for 8 yards to BC42.,0,0
13:32,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,0,0
13:12,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore.,0,0
12:51,3,Unnecessary Roughness,22,Hugh O'Neill punts for 42 yards to Cgy26. Larry Taylor return for 7 yards to Cgy33. Penalty: Unnecessary Roughness on BC 15 yards.,0,0
12:32,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Jon Cornish.,0,0
12:16,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Brad Sinopoli defensed by Cord Parks.,0,0
11:55,3,Punt,4,Rob Maver punts for 46 yards to BC16. Korey Williams return for 4 yards to BC20.,0,0
11:33,1,Pass,8,Travis Lulay pass to Rolly Lumbala for 8 yards to the BC28. Tackled by Demetrice Morley.,0,0
10:48,2,Rush,1,Isi Sofele rush for 1 yard to the BC29. Tackled by Juwan Simpson.,0,0
10:09,3,Rush,2,Thomas DeMarco rush for 2 yards to the BC31. Tackled by Brandon Smith.,0,0
09:28,1,Rush,0,Isi Sofele rush for no gain to the BC31.,0,0
09:12,2,Rush,6,Travis Lulay rush for 6 yards to the BC37. Tackled by Corey Mace.,0,0
08:31,3,Punt,23,Hugh O'Neill punts for 39 yards to Cgy34. LaMarcus Coker return for 23 yards to BC53.,0,0
08:14,1,Rush,5,Jon Cornish rush for 5 yards to the BC48. Tackled by Khreem Smith.,0,0
07:50,2,Rush,11,Marquay McDaniel rush for 11 yards to the BC37. Tackled by Solomon Elimimian.,0,0
07:14,1,Pass,6,Drew Tate pass to Marquay McDaniel for 6 yards to the BC31. Tackled by Josh Bell.,0,0
06:27,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Marquay McDaniel.,0,0
05:51,3,Missed Field Goal,38,Rene Paredes 38 yard field goal attempt is GOOD.,0,3
05:51,0,Kickoff,19,Rene Paredes kicks off to the BC7. Korey Williams return for 19 yards to BC26.,0,3
05:41,0,Pass Interference,20,Penalty: Pass Interference on Calgary (Demetrice Morley) 20 yards.,0,3
05:08,1,Rush,14,Shawn Gore rush for 14 yards to the Cgy50. Tackled by Juwan Simpson.,0,3
04:37,1,Pass,5,Travis Lulay pass to Emmanuel Arceneaux for 5 yards to the Cgy45. Tackled by Brandon Smith.,0,3
04:02,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Ben Archibald) -5 yards.,0,3
03:44,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,0,3
03:24,3,Punt,4,Hugh O'Neill punts for 40 yards to Cgy10. Shaky Smithson return for 4 yards to Cgy14.,0,3
03:07,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Maurice Price.,0,3
02:53,2,Pass,1,Drew Tate pass to Jon Cornish for 1 yard to the Cgy15. Tackled by Solomon Elimimian.,0,3
02:17,3,No Yards,40,Rob Maver punts for 25 yards to Cgy40. Penalty: No Yards on BC 15 yards.,0,3
01:58,1,Pass,11,Thomas DeMarco pass to Isi Sofele for 11 yards to the Cgy24. Tackled by Jamar Wall.,0,3
01:11,1,Rush,10,Isi Sofele rush for 10 yards to the Cgy14. Tackled by Daunte Akra.,0,3
00:12,2,Pass,14,Thomas DeMarco pass to Nick Moore for 14 yards for a TOUCHDOWN.,6,3
00:00,0,Made Extra Point,0,Hugh O'Neill extra point is good.,7,3
15:00,0,Kickoff,81,Hugh O'Neill kicks off to the BC0.,7,3
14:52,1,Pass,12,Kevin Glenn pass to Tim Hawthorne for 12 yards to the Cgy50. Tackled by Glenn Love.,7,3
14:19,1,Rush,10,LaMarcus Coker rush for 10 yards to the BC50. Tackled by Gerard Lawson.,7,3
13:50,1,Pass,20,Kevin Glenn pass to Anthony Parker for 20 yards to the BC30. Tackled by Glenn Love.,7,3
13:12,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel.,7,3
12:53,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (J'Michael Deane) -5 yards.,7,3
12:34,2,Offside,-5,Penalty: Offside on Calgary (Shane Bergman) -5 yards.,7,3
12:09,2,Pass,27,Kevin Glenn pass to Tim Hawthorne for 27 yards to the BC13. Tackled by Josh Bell.,7,3
