Time,Down,Type,Yards,Details,Winnipeg,BC
15:00,0,Kickoff,17,"Hugh O'Neill kicks off to the Wpg15. Aaron Woods return for 17 yards to Wpg32., recovered by BC (Stuart Foord). Tackled by Rene Stephan.",0,0
14:53,1,Pass,6,Travis Lulay pass to Courtney Taylor for 6 yards to the Wpg26. Tackled by Desia Dunn.,0,0
14:31,2,Pass,4,Travis Lulay pass to Marco Iannuzzi for 4 yards to the Wpg22. Tackled by Jovon Johnson.,0,0
13:48,1,Pass,-1,Travis Lulay pass to Courtney Taylor for a loss of 1 yard to the Wpg23. Tackled by Jovon Johnson.,0,0
13:05,2,Pass,14,Travis Lulay pass to Shawn Gore for 14 yards to the Wpg9. Tackled by Marty Markett.,0,0
12:28,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore defensed by Kenny Mainor.,0,0
12:04,2,Sack,-10,Sack at Wpg19 for a loss of 10 yards by Alex Hall.,0,0
11:16,3,Missed Field Goal,27,Paul McCallum 27 yard field goal attempt is GOOD.,0,3
11:16,0,Kickoff,19,Hugh O'Neill kicks off to the Wpg17. Aaron Woods return for 19 yards to Wpg36. Tackled by Josh Bell.,0,3
11:12,1,Rush,4,Chad Simpson rush for 4 yards to the Wpg40. Tackled by Solomon Elimimian.,0,3
10:32,2,Rush,2,Justin Goltz rush for 2 yards to the Wpg42. Tackled by Adam Bighill.,0,3
10:05,3,Punt,8,Mike Renaud punts for 51 yards to BC17. Tim Brown return for 8 yards to BC25. Tackled by Jeremy McGee.,0,3
09:45,1,Pass,6,Travis Lulay pass to Shawn Gore for 6 yards to the BC31. Tackled by Marty Markett.,0,3
09:14,2,Rush,3,Andrew Harris rush for 3 yards to the BC34. Tackled by Desia Dunn.,0,3
08:33,3,Punt,5,Paul McCallum punts for 46 yards to Wpg30. Aaron Woods return for 5 yards to Wpg35. Tackled by Solomon Elimimian.,0,3
08:14,1,Pass,9,Justin Goltz pass to Chris Matthews for 9 yards to the Wpg44. Tackled by Dante Marsh.,0,3
07:31,2,Rush,1,Justin Goltz rush for 1 yard to the Wpg45. Tackled by Adam Bighill.,0,3
07:03,1,Rush,3,Chad Simpson rush for 3 yards to the Wpg48. Tackled by Adam Bighill.,0,3
06:24,2,Pass,13,Justin Goltz pass to Rory Kohlert for 13 yards to the BC49. Tackled by Cord Parks.,0,3
05:30,1,Pass,10,Justin Goltz pass to Terrence Edwards for 10 yards to the BC39.,0,3
05:25,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Clarence Denmark.,0,3
05:18,2,Rush,5,Chad Simpson rush for 5 yards to the BC34. Tackled by Adam Bighill.,0,3
04:23,3,Field Goal Single,54,54 yard field goal attempt by Justin Palardy is NO GOOD (Single).,1,3
04:23,1,Rush,4,Andrew Harris rush for 4 yards to the BC39. Tackled by JT Gilmore.,1,3
03:49,2,Fumble,-4,"Sack at BC35 for a loss of 4 yards by Alex Hall. FUMBLE, recovered by Wpg (JT Gilmore). Tackled by Jovan Olafioye.",1,3
03:15,1,Rush,10,Chad Simpson rush for 10 yards to the BC25. Tackled by Ryan Phillips.,1,3
02:46,2,Rush,1,Justin Goltz rush for 1 yard to the BC24. Tackled by Solomon Elimimian.,1,3
02:11,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Terrence Edwards.,1,3
01:58,2,Pass,22,Justin Goltz pass to Terrence Edwards for 22 yards to the BC2. Tackled by Dante Marsh.,1,3
01:19,1,Rush,2,Chad Simpson rush for 2 yards for a TOUCHDOWN.,7,3
01:10,0,Made Extra Point,0,Justin Palardy extra point is good.,8,3
01:10,0,Kickoff,26,Justin Palardy kicks off to the BC13. Tim Brown return for 26 yards to BC39. Tackled by Alex Suber.,8,3
01:02,1,Rush,0,Andrew Harris rush for no gain to the BC39. Tackled by Zach Anderson.,8,3
00:22,2,Rush,2,Travis Lulay rush for 2 yards to the BC41. Tackled by Ian Wild.,8,3
15:00,3,Unnecessary Roughness,0,Paul McCallum punts for 46 yards to Wpg23. Aaron Woods return for no gain to Wpg23. Penalty: Unnecessary Roughness on BC (Jordan Matechuk) 15 yards. Penalty: Unnecessary Roughness on Winnipeg (Jeremy McGee) -15 yards.,8,3
14:40,1,Rush,5,Chad Simpson rush for 5 yards to the Wpg30. Tackled by Jabar Westerman.,8,3
