Time,Down,Type,Yards,Details,Hamilton,BC
15:00,0,Kickoff,25,Luca Congi kicks off to the BC23. Tim Brown return for 25 yards to BC48. Tackled by Marc Beswick.,0,0
14:58,1,Pass,2,Travis Lulay pass to Courtney Taylor for 2 yards to the BC50. Tackled by Rico Murray.,0,0
14:26,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,0,0
14:02,3,Punt,5,Paul McCallum punts for 39 yards to Ham21. Tavoy Moore return for 5 yards to Ham26. Tackled by Seydou Junior Haidara.,0,0
13:40,1,Pass,3,Henry Burris pass to Tavoy Moore for 3 yards to the Ham29. Tackled by Korey Banks.,0,0
13:19,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Joel Figueroa) -5 yards.,0,0
13:14,2,Pass,7,Henry Burris pass to C.J. Gable for 7 yards to the Ham31. Tackled by Dante Marsh.,0,0
12:44,3,Holding,44,Josh Bartel punts for 34 yards to BC45. Penalty: Holding on BC (Kyle Jones) 10 yards.,0,0
12:33,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Hamilton (Brandon Boudreaux) 15 yards.,0,0
11:54,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,0,0
11:36,2,Pass,17,Travis Lulay pass to Shawn Gore for 17 yards to the Ham43. Tackled by Rico Murray.,0,0
11:09,1,Pass,12,Travis Lulay pass to Shawn Gore for 12 yards to the Ham31. Tackled by Evan McCollough.,0,0
10:30,1,Pass,1,Travis Lulay pass to Marco Iannuzzi for 1 yard to the Ham30. Tackled by Rico Murray.,0,0
10:00,2,Pass,24,Travis Lulay pass to Courtney Taylor for 24 yards to the Ham6. Tackled by Evan McCollough.,0,0
09:33,1,Rush,1,Andrew Harris rush for 1 yard to the Ham5. Tackled by Jamall Johnson.,0,0
08:36,2,Pass,5,Travis Lulay pass to Shawn Gore for 5 yards for a TOUCHDOWN.,0,6
08:18,0,Made Extra Point,0,Paul McCallum extra point is good.,0,7
08:18,0,Kickoff,38,Paul McCallum kicks off to the Ham17. C.J. Gable return for 38 yards to Ham55. Tackled by Lin-J Shell.,0,7
08:09,1,Pass,6,Henry Burris pass to John Delahunt for 6 yards to the BC49. Tackled by Dante Marsh.,0,7
07:26,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,0,7
07:05,3,Punt,0,Josh Bartel punts for 30 yards to BC19. No return.,0,7
06:56,1,Rush,9,Andrew Harris rush for 9 yards to the BC28. Tackled by Rico Murray.,0,7
06:14,2,Rush,0,Tim Brown rush for no gain to the BC28. Tackled by Simoni Lawrence.,0,7
05:41,3,Rush,3,Thomas DeMarco rush for 3 yards to the BC31. Tackled by Jamall Johnson.,0,7
05:11,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Dean Valli) -5 yards.,0,7
04:52,1,Pass,2,Travis Lulay pass to Emmanuel Arceneaux for 2 yards to the BC28. Tackled by Rico Murray.,0,7
04:12,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,0,7
03:45,3,Punt,4,Paul McCallum punts for 43 yards to Ham39. Tavoy Moore return for 4 yards to Ham43. Tackled by Jason Arakgi.,0,7
03:28,1,Rush,2,C.J. Gable rush for 2 yards to the Ham45. Tackled by Adam Bighill.,0,7
03:08,2,Pass,5,Henry Burris pass to Onrea Jones for 5 yards to the Ham50. Tackled by Cord Parks.,0,7
02:32,3,Punt,6,Josh Bartel punts for 53 yards to BC7. Tim Brown return for 6 yards to BC13. Tackled by Louie Richardson.,0,7
02:19,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,0,7
01:55,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi.,0,7
01:29,3,Illegal Participation,27,Paul McCallum punts for 37 yards to BC50. Penalty: Illegal Participation on BC (Keynan Parker) -10 yards.,0,7
01:17,1,Sack,-6,Sack at BC46 for a loss of 6 yards by Adam Bighill.,0,7
00:34,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant defensed by Dante Marsh.,0,7
00:10,3,Punt,0,Josh Bartel punts for 38 yards to BC8. No return.,0,7
15:00,1,Rush,19,Andrew Harris rush for 19 yards to the BC27. Tackled by Jamall Johnson.,0,7
14:22,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Dean Valli) -5 yards.,0,7
14:00,1,Pass,17,Travis Lulay pass to Emmanuel Arceneaux for 17 yards to the BC39. Tackled by Courtney Stephen.,0,7
13:33,1,Pass,7,Travis Lulay pass to Nick Moore for 7 yards to the BC46. Tackled by Dee Webb.,0,7
12:55,2,Rush,0,Andrew Harris rush for no gain to the BC46. Tackled by Torrey Davis.,0,7
12:21,3,Punt,4,Paul McCallum punts for 44 yards to Ham20. Tavoy Moore return for 4 yards to Ham24. Tackled by Seydou Junior Haidara.,0,7
12:02,1,Pass,5,Henry Burris pass to Onrea Jones for 5 yards to the Ham29. Tackled by Josh Bell.,0,7
11:31,2,Pass,13,Henry Burris pass to Andy Fantuz for 13 yards to the Ham42. Tackled by Anton McKenzie.,0,7
10:51,1,Rush,4,C.J. Gable rush for 4 yards to the Ham46. Tackled by Keron Williams.,0,7
10:11,2,Pass,34,Henry Burris pass to Bakari Grant for 34 yards to the BC30. Tackled by Adam Bighill.,0,7
09:22,1,Pass,16,Henry Burris pass to Greg Ellingson for 16 yards to the BC14. Tackled by Cord Parks.,0,7
08:18,1,Pass,14,Henry Burris pass to Bakari Grant for 14 yards for a TOUCHDOWN.,6,7
07:58,0,Made Extra Point,0,Luca Congi extra point is good.,7,7
07:58,0,Kickoff,9,Luca Congi kicks off to the BC21. Stuart Foord return for 9 yards to BC30. Tackled by Emanuel Davis.,7,7
