Time,Down,Type,Yards,Details,BC,Winnipeg
15:00,0,Kickoff,18,Paul McCallum kicks off to the Wpg18. Will Ford return for 18 yards to Wpg36. Tackled by Seydou Junior Haidara.,0,0
14:20,1,Fumble,-6,"Will Ford rush for a loss of 6 yards to the Wpg30. FUMBLE, recovered by BC (Adam Bighill) for a TOUCHDOWN.",6,0
14:13,0,Made Extra Point,0,Paul McCallum extra point is good.,7,0
14:13,0,Kickoff,45,Paul McCallum kicks off to the Wpg11. Will Ford return for 45 yards to BC54. Tackled by Korey Banks.,7,0
14:03,1,Rush,1,Will Ford rush for 1 yard to the BC53. Tackled by Solomon Elimimian.,7,0
13:23,2,Roughing Passer,31,Max Hall pass to Rory Kohlert for 16 yards to the BC37. Tackled by J.R. LaRose. Penalty: Roughing Passer on BC (Chris Wilson) 15 yards.,7,0
12:58,1,Pass,9,Max Hall pass to Terrence Edwards for 9 yards to the BC13. Tackled by Adam Bighill.,7,0
12:03,2,Pass,13,Max Hall pass to Clarence Denmark for 13 yards for a TOUCHDOWN.,7,6
11:52,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,7,7
11:52,0,Kickoff,21,Sandro DeAngelis kicks off to the BC16. Tim Brown return for 21 yards to BC37. Tackled by Teague Sherman.,7,7
11:46,1,Pass,8,Thomas DeMarco pass to Courtney Taylor for 8 yards to the BC45. Tackled by Jovon Johnson.,7,7
11:01,2,Rush,4,Tim Brown rush for 4 yards to the BC49. Tackled by Bryant Turner.,7,7
10:23,1,Rush,7,Andrew Harris rush for 7 yards to the Wpg54. Tackled by Alex Hall.,7,7
09:49,2,Unnecessary Roughness,19,Andrew Harris rush for 4 yards to the Wpg50. Tackled by Henoc Muamba. Penalty: Unnecessary Roughness on Winnipeg (Pierre-Luc Labbe) 15 yards.,7,7
09:24,1,Pass,9,Thomas DeMarco pass to Shawn Gore for 9 yards to the Wpg26. Tackled by Brandon Stewart.,7,7
08:46,2,Rush,1,Thomas DeMarco rush for 1 yard to the Wpg25. Tackled by Pierre-Luc Labbe.,7,7
07:41,1,Pass,25,Thomas DeMarco pass to Nick Moore for 25 yards for a TOUCHDOWN.,13,7
07:21,0,Made Extra Point,0,Paul McCallum extra point is good.,14,7
07:20,0,Kick Off Single,82,Paul McCallum kicks off to the Wpg0 (Single).,15,7
07:20,1,Pass,10,Max Hall pass to Clarence Denmark for 10 yards to the Wpg45.,15,7
06:55,1,Pass,7,Max Hall pass to Terrence Edwards for 7 yards to the Wpg52. Tackled by Josh Bell.,15,7
06:17,2,Sack,-8,Sack at Wpg44 for a loss of 8 yards by Adam Bighill.,15,7
05:46,3,Punt,8,Mike Renaud punts for 45 yards to BC21. Tim Brown return for 8 yards to BC29. Tackled by Henoc Muamba.,15,7
05:28,1,Rush,1,Andrew Harris rush for 1 yard to the BC30. Tackled by Pierre-Luc Labbe.,15,7
04:53,2,Unnecessary Roughness,-28,Sack at BC17 for no gain by Alex Hall Recovered by Wpg (Zach Anderson) Penalty: Illegal Interference on BC (Matthew Norman) 0 yards Penalty: Unnecessary Roughness on Winnipeg (Alex Suber) -15 yards,15,7
04:20,1,Rush,0,Will Ford rush for no gain to the BC32. Tackled by Adam Bighill.,15,7
03:44,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Cord Parks.,15,7
03:22,3,Missed Field Goal,23,45 yard field goal attempt by Sandro DeAngelis is NO GOOD.  Missed field goal returned by Tim Brown to the BC10. Tackled by Henoc Muamba.,15,7
02:56,1,Rush,13,Andrew Harris rush for 13 yards to the BC23. Tackled by Jovon Johnson.,15,7
02:23,1,Sack,-8,Sack at BC15 for a loss of 8 yards by Zach Anderson.,15,7
01:42,2,Fumble,6,"Thomas DeMarco pass to Courtney Taylor for 6 yards to the BC21. FUMBLE, recovered by BC (Matthew Norman).",15,7
00:58,3,Punt,3,Paul McCallum punts for 37 yards to Wpg52. Jovon Johnson return for 3 yards to Wpg55. Tackled by Jordan Matechuk.,15,7
00:46,1,Incomplete Pass,0,Max Hall incomplete pass intended for Terrence Edwards defensed by Josh Bell.,15,7
00:25,2,Incomplete Pass,0,Max Hall incomplete pass intended for Clarence Denmark defensed by Korey Banks.,15,7
00:01,3,Punt,4,Mike Renaud punts for 45 yards to BC10. Tim Brown return for 4 yards to BC14. Tackled by Philippe Dubuisson-Lebon.,15,7
15:00,1,Rush,3,Tim Brown rush for 3 yards to the BC17. Tackled by Pierre-Luc Labbe.,15,7
14:26,2,Pass,18,Thomas DeMarco pass to Nick Moore for 18 yards to the BC35. Tackled by Demond Washington.,15,7
13:47,1,Pass,30,Thomas DeMarco pass to Courtney Taylor for 30 yards to the Wpg45. Tackled by Alex Suber.,15,7
13:05,1,Rush,3,Andrew Harris rush for 3 yards to the Wpg42. Tackled by Alex Hall.,15,7
12:40,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for  .,15,7
12:23,0,Fumble,-2,", recovered by BC (Jovon Johnson). Paul McCallum punts for 27 yards to Wpg15. Jovon Johnson return for a loss of 2 yards to Wpg13. FUMBLE",15,7
12:10,1,Pass,13,Max Hall pass to Aaron Kelly for 13 yards to the Wpg26. Tackled by Khreem Smith.,15,7
11:33,1,Rush,3,Will Ford rush for 3 yards to the Wpg29. Tackled by Adam Bighill.,15,7
10:53,2,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert.,15,7
10:31,3,Punt,5,Mike Renaud punts for 39 yards to BC42. Tim Brown return for 5 yards to BC47. Tackled by Ian Wild.,15,7
