Time,Down,Type,Yards,Details,BC,Calgary
15:00,0,Kickoff,54,Paul McCallum kicks off to the Cgy19. Clifton Smith return for 54 yards to BC37. Tackled by Korey Banks.,0,0
14:50,1,Pass,14,Kevin Glenn pass to Marquay McDaniel for 14 yards to the BC23. Tackled by J.R. LaRose.,0,0
14:24,1,Rush,4,Jon Cornish rush for 4 yards to the BC19. Tackled by Eric Taylor.,0,0
13:50,2,Pass,11,Kevin Glenn pass to Marquay McDaniel for 11 yards to the BC8. Tackled by Adam Bighill.,0,0
13:11,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,0,0
12:33,2,Rush,3,Kevin Glenn rush for 3 yards to the BC5. Tackled by Korey Banks.,0,0
11:46,3,Missed Field Goal,12,Rene Paredes 12 yard field goal attempt is GOOD.,0,3
11:46,0,Tripping,44,Rene Paredes kicks off to the BC13. Tim Brown return for 34 yards to BC47. Penalty: Tripping on Calgary (Rene Paredes) 10 yards.,0,3
11:37,1,Rush,2,Andrew Harris rush for 2 yards to the Cgy51. Tackled by Etienne Legare.,0,3
11:16,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for  .,0,3
10:44,3,Illegal Punt,18,Paul McCallum punts for 28 yards to Cgy23. Penalty: Illegal Punt on BC (Paul McCallum) -10 yards.,0,3
10:35,1,Rush,18,Jon Cornish rush for 18 yards to the Cgy51. Tackled by J.R. LaRose.,0,3
10:20,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy54. Tackled by Chris Wilson.,0,3
09:38,2,Rush,6,Jon Cornish rush for 6 yards to the BC50. Tackled by Solomon Elimimian.,0,3
09:03,3,Rush,1,Drew Tate rush for 1 yard to the BC49. Tackled by Khreem Smith.,0,3
08:20,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price defensed by Cord Parks.,0,3
07:47,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Brad Sinopoli.,0,3
07:24,3,No Yards,52,Rob Maver punts for 57 yards to BC0. Penalty: No Yards on Calgary ( ) -5 yards.,0,3
07:01,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for  .,0,3
