Time,Down,Type,Yards,Details,Edmonton,BC
15:00,0,Kickoff,26,Paul McCallum kicks off to the Edm13. Jamal Miles return for 26 yards to Edm39. Tackled by Cord Parks.,0,0
14:23,1,Pass,71,Mike Reilly pass to Adarius Bowman for 71 yards for a TOUCHDOWN.,6,0
14:12,0,Made Extra Point,0,extra point is good.,7,0
14:12,0,Kickoff,21,Grant Shaw kicks off to the BC14. Stefan Logan return for 21 yards to BC35. Tackled by Calvin McCarty.,7,0
14:05,1,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Emmanuel Arceneaux defensed by Marcus Howard.,7,0
13:46,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Shawn Gore defensed by Rennie Curran.,7,0
13:25,3,Punt,0,Paul McCallum punts for 39 yards to Edm36. No return.,7,0
13:14,1,Pass,19,Mike Reilly pass to Adarius Bowman for 19 yards to the Edm55. Tackled by J.R. LaRose.,7,0
12:53,1,Rush,0,John White rush for no gain to the Edm55. Tackled by Chris Wilson.,7,0
12:22,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Carlton Mitchell.,7,0
12:02,3,Punt,5,Grant Shaw punts for 42 yards to BC13. Stefan Logan return for 5 yards to BC18. Tackled by Elie Ngoyi.,7,0
11:36,1,Rush,6,Stefan Logan rush for 6 yards to the BC24. Tackled by T.J. Hill.,7,0
11:04,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Shawn Gore defensed by Marcell Young.,7,0
10:43,3,Punt,7,Paul McCallum punts for 48 yards to Edm38. Jamal Miles return for 7 yards to Edm45. Tackled by Keynan Parker.,7,0
10:29,1,Pass,20,Mike Reilly pass to Adarius Bowman for 20 yards to the BC45. Tackled by Cameron Chism.,7,0
10:14,1,Pass,15,Mike Reilly pass to Calvin McCarty for 15 yards to the BC30.,7,0
09:53,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,7,0
09:31,2,Pass,24,Mike Reilly pass to Shamawd Chambers for 24 yards to the BC6. Tackled by Adam Bighill.,7,0
08:44,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,7,0
08:19,2,Sack,-10,Sack at BC16 for a loss of 10 yards by Lin-J Shell.,7,0
07:42,3,Missed Field Goal,23,23 yard field goal attempt is GOOD.,10,0
07:42,0,Kickoff,30,Grant Shaw kicks off to the BC16. Stefan Logan return for 30 yards to BC46. Tackled by Calvin McCarty.,10,0
07:35,1,Rush,-4,Andrew Harris rush for a loss of 4 yards to the BC42. Tackled by Marcus Howard.,10,0
07:05,2,Sack,-3,Sack at BC39 for a loss of 3 yards by Rennie Curran.,10,0
06:39,3,Holding,51,Paul McCallum punts for 41 yards to Edm30. Penalty: Holding on Edmonton ( ) 10 yards.,10,0
06:18,1,Rush,0,John White rush for no gain to the Edm20. Tackled by Jabar Westerman.,10,0
05:45,2,Pass,8,Mike Reilly pass to Nate Coehoorn for 8 yards to the Edm28. Tackled by Cord Parks.,10,0
04:52,3,Punt,15,Grant Shaw punts for 52 yards to BC30. Stefan Logan return for 15 yards to BC45. Tackled by Eric Samuels.,10,0
04:29,1,Pass,7,Thomas DeMarco pass to Stefan Logan for 7 yards to the BC52. Tackled by Aaron Grymes.,10,0
03:46,2,Rush,16,Andrew Harris rush for 16 yards to the Edm42. Tackled by Eric Samuels.,10,0
03:08,1,Time Count,-5,Penalty: Time Count on BC (Thomas DeMarco) -5 yards.,10,0
02:46,1,Pass,4,Thomas DeMarco pass to Marco Iannuzzi for 4 yards to the Edm43. Tackled by Rennie Curran.,10,0
02:23,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Marco Iannuzzi.,10,0
01:46,3,Punt Single,0,Paul McCallum punts for 48 yards to Edm0. No return (Single).,10,1
01:46,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Eric Taylor.,10,1
01:26,2,Pass,5,Mike Reilly pass to Carlton Mitchell for 5 yards to the Edm40. Tackled by Solomon Elimimian.,10,1
00:54,3,Holding,-7,Grant Shaw punts for 48 yards to BC22. Stefan Logan return for 3 yards to BC25. Penalty: Holding on BC (Paris Jackson) -10 yards.,10,1
00:35,1,Rush,8,Stefan Logan rush for 8 yards to the BC23. Tackled by Marcus Howard.,10,1
00:01,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC -5 yards.,10,1
00:00,2,Sack,-8,Sack at BC10 for a loss of 8 yards by Almondo Sewell.,10,1
14:47,3,Safety,-10,Safety,12,1
14:47,0,Kickoff,18,Paul McCallum kicks off to the Edm25. Jamal Miles return for 18 yards to Edm43. Tackled by Cameron Chism.,12,1
14:38,1,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm48. Tackled by Ryan Phillips.,12,1
13:55,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Carlton Mitchell.,12,1
13:17,3,No Yards,33,Grant Shaw punts for 38 yards to BC24. Penalty: No Yards on Edmonton (Eric Samuels) -5 yards.,12,1
13:03,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Marco Iannuzzi defensed by Justin Capicciotti.,12,1
12:47,2,Pass,6,Buck Pierce pass to Andrew Harris for 6 yards to the BC35. Tackled by Damaso Munoz.,12,1
12:13,3,Punt,-2,Paul McCallum punts for 42 yards to Edm33. Jamal Miles return for a loss of 2 yards to Edm31. Tackled by J.R. LaRose.,12,1
11:58,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Jamal Miles defensed by Chris Wilson.,12,1
11:49,2,Rush,1,Mike Reilly rush for 1 yard to the Edm32. Tackled by  .,12,1
11:19,3,Holding,49,Grant Shaw punts for 39 yards to BC39. Penalty: Holding on BC (Kyle Jones) 10 yards.,12,1
10:59,1,Rush,4,Shawn Gore rush for 4 yards to the BC33. Tackled by Eric Samuels.,12,1
10:22,2,Pass,8,Buck Pierce pass to Marco Iannuzzi for 8 yards to the BC41.,12,1
10:00,1,Rush,3,Stefan Logan rush for 3 yards to the BC44. Tackled by Damaso Munoz.,12,1
09:22,2,Rush,1,Buck Pierce rush for 1 yard to the BC45. Tackled by Eddie Steele.,12,1
09:00,3,Punt,14,Paul McCallum punts for 47 yards to Edm18. Jamal Miles return for 14 yards to Edm32. Tackled by Jason Arakgi.,12,1
08:39,1,Rush,16,Hugh Charles rush for 16 yards to the Edm48. Tackled by Cord Parks.,12,1
08:12,1,Pass,4,Mike Reilly pass to Hugh Charles for 4 yards to the Edm52. Tackled by Dante Marsh.,12,1
07:32,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,12,1
07:07,3,Punt,22,Grant Shaw punts for 41 yards to BC17. Stefan Logan return for 22 yards to BC39. Tackled by Nate Coehoorn.,12,1
06:39,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Emmanuel Arceneaux.,12,1
06:16,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Nick Moore defensed by Eric Samuels.,12,1
05:53,3,Punt,5,Paul McCallum punts for 38 yards to Edm33. Jamal Miles return for 5 yards to Edm38. Tackled by Jordan Matechuk.,12,1
05:42,1,Pass,11,Mike Reilly pass to Nate Coehoorn for 11 yards to the Edm49. Tackled by Cameron Chism.,12,1
05:01,1,Rush,6,John White rush for 6 yards to the Edm55. Tackled by Solomon Elimimian.,12,1
04:24,2,Interception,0,Mike Reilly pass intended for Adarius Bowman INTERCEPTED by J.R. LaRose. No return. Tackled by Adarius Bowman.,12,1
03:39,1,Rush,54,Stefan Logan rush for 54 yards for a TOUCHDOWN.,12,7
03:31,0,Made Extra Point,0,Paul McCallum extra point is good.,12,8
03:31,0,Kickoff,33,Paul McCallum kicks off to the Edm19. Jamal Miles return for 33 yards to Edm52. Tackled by Kyle Jones.,12,8
03:24,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman defensed by Ryan Phillips.,12,8
03:00,2,Pass,45,Mike Reilly pass to Adarius Bowman for 45 yards to the BC13. Tackled by Cord Parks.,12,8
02:32,1,Rush,1,Mike Reilly rush for 1 yard to the BC12. Tackled by Adam Bighill.,12,8
02:27,2,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the BC7. Tackled by J.R. LaRose.,12,8
01:44,3,Missed Field Goal,14,14 yard field goal attempt is GOOD.,15,8
01:44,0,Kickoff,15,Grant Shaw kicks off to the BC20. Andrew Harris return for 15 yards to BC35. Tackled by Joash Gesse.,15,8
01:37,1,Rush,15,Buck Pierce rush for 15 yards to the BC50. Tackled by Rennie Curran.,15,8
01:29,1,Pass,20,Buck Pierce pass to Shawn Gore for 20 yards to the Edm40. Tackled by Marcus Howard.,15,8
01:03,1,Pass,20,Buck Pierce pass to Courtney Taylor for 20 yards to the Edm20. Tackled by Joe Burnett.,15,8
00:39,1,Roughing Passer,12,Buck Pierce pass to Shawn Gore for 5 yards to the Edm15. Tackled by Damaso Munoz. Penalty: Roughing Passer on Edmonton (Ted Laurent) 7 yards.,15,8
00:27,1,Pass,8,Buck Pierce pass to Andrew Harris for 8 yards for a TOUCHDOWN.,15,14
00:27,0,Made Extra Point,0,Paul McCallum extra point is good.,15,15
00:27,0,Kickoff,16,Paul McCallum kicks off to the Edm16. Jamal Miles return for 16 yards to Edm32. Tackled by Keynan Parker.,15,15
15:00,0,Kickoff,19,Grant Shaw kicks off to the BC14. Stefan Logan return for 19 yards to BC33. Tackled by Aaron Grymes.,15,15
14:53,1,Rush,35,Stefan Logan rush for 35 yards to the Edm42. Tackled by Donovan Alexander.,15,15
14:25,1,Rush,-1,Andrew Harris rush for a loss of 1 yard to the Edm43. Tackled by Almondo Sewell.,15,15
13:24,2,Pass,43,Buck Pierce pass to Emmanuel Arceneaux for 43 yards for a TOUCHDOWN.,15,21
13:07,0,Made Extra Point,0,Paul McCallum extra point is good.,15,22
13:07,0,Kickoff,17,Paul McCallum kicks off to the Edm17. Jamal Miles return for 17 yards to Edm34. Tackled by Lin-J Shell.,15,22
13:01,1,Rush,1,Hugh Charles rush for 1 yard to the Edm35. Tackled by  .,15,22
12:23,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn defensed by Korey Banks.,15,22
12:00,3,Punt,13,Grant Shaw punts for 38 yards to BC37. Andrew Harris return for 13 yards to BC50. Tackled by Nathan Kanya.,15,22
11:31,1,Rush,-4,Stefan Logan rush for a loss of 4 yards to the BC46. Tackled by T.J. Hill.,15,22
10:55,2,Pass,4,Buck Pierce pass to Courtney Taylor for 4 yards to the BC50. Tackled by Eric Samuels.,15,22
10:25,3,Punt,0,Paul McCallum punts for 34 yards to Edm26. No return.,15,22
10:12,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers defensed by J.R. LaRose.,15,22
09:56,2,Sack,-2,Sack at Edm24 for a loss of 2 yards by Chris Wilson.,15,22
09:23,3,Punt,4,Grant Shaw punts for 37 yards to BC49. Stefan Logan return for 4 yards to BC53. Tackled by Nathan Kanya.,15,22
08:59,1,Pass,5,Buck Pierce pass to Marco Iannuzzi for 5 yards to the Edm52. Tackled by Aaron Grymes.,15,22
08:25,2,Rush,11,Andrew Harris rush for 11 yards to the Edm41. Tackled by  .,15,22
07:44,0,Pass Interference,38,Penalty: Pass Interference on Edmonton (Joe Burnett) 38 yards.,15,22
07:19,1,Rush,1,Stefan Logan rush for 1 yard to the Edm2. Tackled by T.J. Hill.,15,22
06:15,2,Pass,2,Buck Pierce pass to Andrew Harris for 2 yards for a TOUCHDOWN.,15,28
06:05,0,Made Extra Point,0,Paul McCallum extra point is good.,15,29
06:05,0,Unnecessary Roughness,-3,Paul McCallum kicks off to the Edm18. Jamal Miles return for 12 yards to Edm30. Tackled by Kyle Jones. Penalty: Unnecessary Roughness on Edmonton (Elie Ngoyi) -15 yards.,15,29
05:59,1,Pass,6,Mike Reilly pass to Shamawd Chambers for 6 yards to the Edm21. Tackled by Cameron Chism.,15,29
05:26,2,Pass,5,Mike Reilly pass to Carlton Mitchell for 5 yards to the Edm26. Tackled by Dante Marsh.,15,29
04:45,1,Rush,7,John White rush for 7 yards to the Edm33. Tackled by Adam Bighill.,15,29
04:03,2,Rush,3,Hugh Charles rush for 3 yards to the Edm36. Tackled by Jermaine Reid.,15,29
03:21,1,Sack,-7,Sack at Edm29 for a loss of 7 yards by Solomon Elimimian.,15,29
02:44,2,Pass,9,Mike Reilly pass to Hugh Charles for 9 yards to the Edm38. Tackled by Solomon Elimimian.,15,29
02:10,3,No Yards,22,Grant Shaw punts for 37 yards to BC35. Penalty: No Yards on Edmonton (Rennie Curran) -15 yards.,15,29
01:45,1,Rush,1,Andrew Harris rush for 1 yard to the BC51. Tackled by Rennie Curran.,15,29
01:04,2,Sack,-6,Sack at BC45 for a loss of 6 yards by Almondo Sewell.,15,29
00:35,3,Punt,0,Paul McCallum punts for 45 yards to Edm20. Jamal Miles return for no gain to Edm20. Tackled by Jordan Matechuk.,15,29
00:16,1,Rush,11,Mike Reilly rush for 11 yards to the Edm31.,15,29
15:00,1,Rush,8,Mike Reilly rush for 8 yards to the Edm39. Tackled by Adam Bighill.,15,29
14:48,2,Rush,4,Mike Reilly rush for 4 yards to the Edm43. Tackled by Cord Parks.,15,29
14:20,1,Sack,-4,Sack at Edm39 for no gain by Chris Wilson Recovered by Edm (Mike Reilly),15,29
13:59,2,Interception,15,Mike Reilly pass intended for Shamawd Chambers INTERCEPTED by Cord Parks and returned for 15 yards. Tackled by Matthew O'Donnell.,15,29
13:25,1,Rush,8,Andrew Harris rush for 8 yards to the Edm27. Tackled by Damaso Munoz.,15,29
12:47,2,Rush,2,Stefan Logan rush for 2 yards to the Edm25. Tackled by Almondo Sewell.,15,29
12:04,3,Rush,1,Thomas DeMarco rush for 1 yard to the Edm24. Tackled by Damaso Munoz.,15,29
11:25,1,Rush,2,Stefan Logan rush for 2 yards to the Edm22. Tackled by Damaso Munoz.,15,29
10:43,2,Pass,20,Buck Pierce pass to Andrew Harris for 20 yards to the Edm2. Tackled by T.J. Hill.,15,29
09:34,1,Rush,2,Buck Pierce rush for 2 yards for a TOUCHDOWN.,15,35
09:18,0,Made Extra Point,0,Paul McCallum extra point is good.,15,36
09:18,0,Kickoff,30,Paul McCallum kicks off to the Edm16. Jamal Miles return for 30 yards to Edm46. Tackled by Seydou Junior Haidara.,15,36
09:05,1,Offside,-5,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards.,15,36
08:40,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Shamawd Chambers.,15,36
08:22,2,Pass,30,Mike Reilly pass to Adarius Bowman for 30 yards to the BC39. Tackled by Solomon Elimimian.,15,36
07:40,1,Pass,8,Mike Reilly pass to Shamawd Chambers for 8 yards to the BC31. Tackled by Cord Parks.,15,36
07:24,2,Pass,6,Mike Reilly pass to Shamawd Chambers for 6 yards to the BC25. Tackled by Dante Marsh.,15,36
06:45,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Carlton Mitchell defensed by Eric Taylor.,15,36
06:32,2,Pass,11,Mike Reilly pass to Calvin McCarty for 11 yards to the BC14. Tackled by J.R. LaRose.,15,36
05:28,1,Pass,14,Mike Reilly pass to Adarius Bowman for 14 yards for a TOUCHDOWN.,21,36
05:16,0,Made Extra Point,0,extra point is good.,22,36
05:16,0,Kickoff,20,Grant Shaw kicks off to the BC7. Stefan Logan return for 20 yards to BC27. Tackled by Calvin McCarty.,22,36
05:10,1,Rush,8,Andrew Harris rush for 8 yards to the BC35. Tackled by T.J. Hill.,22,36
04:30,2,Rush,8,Andrew Harris rush for 8 yards to the BC43. Tackled by Damaso Munoz.,22,36
03:50,1,Rush,3,Andrew Harris rush for 3 yards to the BC46. Tackled by Marcus Howard.,22,36
