Time,Down,Type,Yards,Details,Calgary,BC
15:00,0,Kickoff,14,Paul McCallum kicks off to the Cgy12. Clifton Smith return for 14 yards to Cgy26. Tackled by Korey Jones.,0,0
14:53,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jeff Fuller defensed by Cord Parks.,0,0
14:27,2,Rush,13,Kevin Glenn rush for 13 yards to the Cgy39. Tackled by Adam Bighill.,0,0
13:58,1,Rush,6,Jon Cornish rush for 6 yards to the Cgy45. Tackled by Lin-J Shell.,0,0
13:21,2,Rush,5,Jon Cornish rush for 5 yards to the Cgy50. Tackled by Eric Taylor.,0,0
12:43,1,Rush,10,Marquay McDaniel rush for 10 yards to the BC50. Tackled by Ryan Phillips.,0,0
11:59,1,Pass,6,Kevin Glenn pass to Marquay McDaniel for 6 yards to the BC44. Tackled by Josh Bell.,0,0
11:20,2,Pass,10,Kevin Glenn pass to Jeff Fuller for 10 yards to the BC34. Tackled by Lin-J Shell.,0,0
10:37,1,Rush,1,Jon Cornish rush for 1 yard to the BC33. Tackled by Eric Taylor.,0,0
10:02,2,Sack,-6,Sack at BC39 for a loss of 6 yards by Adam Bighill.,0,0
09:10,3,Missed Field Goal,46,Rene Paredes 46 yard field goal attempt is GOOD.,3,0
09:10,0,Kickoff,22,Rene Paredes kicks off to the BC11. Andrew Harris return for 22 yards to BC33. Tackled by Fred Bennett.,3,0
09:03,1,Interception,0,Buck Pierce pass intended for Courtney Taylor INTERCEPTED by Deron Mayo. No return. Tackled by Courtney Taylor.,3,0
08:40,1,Pass,17,Kevin Glenn pass to Jeff Fuller for 17 yards to the Cgy55. Tackled by Eric Taylor.,3,0
08:00,1,Rush,2,Jon Cornish rush for 2 yards to the BC53. Tackled by Josh Bell.,3,0
07:26,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price.,3,0
07:02,3,Punt,13,Rob Maver punts for 43 yards to BC10. Stefan Logan return for 13 yards to BC23. Tackled by Justin Phillips.,3,0
06:36,0,Pass Interference,37,Penalty: Pass Interference on Calgary (Brandon Smith) 37 yards.,3,0
06:22,1,Rush,11,Stefan Logan rush for 11 yards to the Cgy39. Tackled by Derrius Brooks.,3,0
05:38,1,Pass,14,Buck Pierce pass to Nick Moore for 14 yards to the Cgy25. Tackled by Chris Randle.,3,0
04:55,1,Rush,2,Stefan Logan rush for 2 yards to the Cgy23. Tackled by Demonte' Bolden.,3,0
04:15,2,Pass,8,Buck Pierce pass to Nick Moore for 8 yards to the Cgy15. Tackled by Derrius Brooks.,3,0
03:36,1,Offside,5,Penalty: Offside on Calgary (Micah Johnson) 5 yards.,3,0
03:10,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Nick Moore.,3,0
02:51,2,Pass,9,Buck Pierce pass to Shawn Gore for 9 yards to the Cgy1. Tackled by Keon Raymond.,3,0
01:42,1,Rush,1,Andrew Harris rush for 1 yard for a TOUCHDOWN.,3,6
01:32,0,Made Extra Point,0,Paul McCallum extra point is good.,3,7
01:32,0,Kickoff,34,Paul McCallum kicks off to the Cgy18. Matt Walter return for 34 yards to Cgy52. Tackled by Lin-J Shell.,3,7
01:24,1,Time Count,-5,Penalty: Time Count on Calgary (Kevin Glenn) -5 yards.,3,7
01:01,1,Pass,9,Kevin Glenn pass to Anthony Parker for 9 yards to the BC54. Tackled by Ryan Phillips.,3,7
00:36,2,Pass,3,Kevin Glenn pass to Anthony Parker for 3 yards to the BC51. Tackled by Ryan Phillips.,3,7
00:00,3,Punt Single,0,Rob Maver punts for 60 yards to BC0. No return (Single).,4,7
15:00,1,Sack,-2,Sack at BC33 for a loss of 2 yards by Micah Johnson.,4,7
14:22,2,Rush,13,Andrew Harris rush for 13 yards to the BC46. Tackled by Juwan Simpson.,4,7
13:42,1,Rush,21,Stefan Logan rush for 21 yards to the Cgy43. Tackled by Brandon Smith.,4,7
12:57,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Nick Moore defensed by Derrius Brooks.,4,7
12:38,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Courtney Taylor.,4,7
12:14,3,Punt,0,Paul McCallum punts for 31 yards to Cgy12. No return.,4,7
12:04,1,Rush,3,Matt Walter rush for 3 yards to the Cgy15. Tackled by Solomon Elimimian.,4,7
11:34,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Maurice Price.,4,7
11:11,3,Punt,3,Rob Maver punts for 38 yards to Cgy53. Stefan Logan return for 3 yards to Cgy50.,4,7
10:59,1,Pass,10,Buck Pierce pass to Stefan Logan for 10 yards to the Cgy40. Tackled by Derrius Brooks.,4,7
10:27,2,Rush,1,Thomas DeMarco rush for 1 yard to the Cgy39. Tackled by Brandon Smith.,4,7
09:41,1,Rush,1,Andrew Harris rush for 1 yard to the Cgy38. Tackled by Junior Turner.,4,7
09:17,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Shawn Gore.,4,7
08:37,3,Missed Field Goal,47,Paul McCallum 47 yard field goal attempt is GOOD.,4,10
