Time,Down,Type,Yards,Details,Montreal,Calgary
15:00,0,Kickoff,26,Rene Paredes kicks off to the Mtl10. Noel Devine return for 26 yards to Mtl36. Tackled by Jeff Hecht.,0,0
14:54,1,Rush,1,Brandon Whitaker rush for 1 yard to the Mtl37. Tackled by Geoff Tisdale.,0,0
14:10,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon Whitaker.,0,0
13:55,3,Punt,1,Sean Whyte punts for 39 yards to Cgy34. Larry Taylor return for 1 yard to Cgy35.,0,0
13:31,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy38. Tackled by Chip Cox.,0,0
13:13,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,0,0
12:43,3,Punt,6,Rob Maver punts for 50 yards to Mtl22. Noel Devine return for 6 yards to Mtl28. Tackled by Justin Phillips.,0,0
12:16,1,Pass,6,Anthony Calvillo pass to S.J. Green for 6 yards to the Mtl34. Tackled by Deron Mayo.,0,0
12:00,2,Pass,12,Anthony Calvillo pass to S.J. Green for 12 yards to the Mtl46. Tackled by Brandon Smith.,0,0
11:00,1,Rush,7,Noel Devine rush for 7 yards to the Mtl53. Tackled by Fred Bennett.,0,0
10:43,2,Pass,21,Anthony Calvillo pass to Arland Bruce for 21 yards to the Cgy36. Tackled by Keon Raymond.,0,0
10:17,1,Rush,7,Brandon Whitaker rush for 7 yards to the Cgy29. Tackled by Demonte' Bolden.,0,0
09:37,2,Pass,27,Anthony Calvillo pass to S.J. Green for 27 yards to the Cgy2. Tackled by Brandon Smith.,0,0
08:52,1,Rush,2,Brandon Whitaker rush for 2 yards for a TOUCHDOWN.,6,0
08:34,0,Made Extra Point,0,Sean Whyte extra point is good.,7,0
08:34,0,Kickoff,18,Sean Whyte kicks off to the Cgy3. Larry Taylor return for 18 yards to Cgy21. Tackled by Michael Carter.,7,0
08:20,1,Rush,7,Marquay McDaniel rush for 7 yards to the Cgy28. Tackled by Kyries Hebert.,7,0
07:54,2,Interception,0,Kevin Glenn pass intended for Marquay McDaniel INTERCEPTED by Chip Cox. No return. Tackled by Marquay McDaniel.,7,0
07:28,1,Rush,-1,Brandon Whitaker rush for a loss of 1 yard to the Cgy35. Tackled by Cordarro Law.,7,0
06:53,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon Whitaker.,7,0
06:03,3,Missed Field Goal,43,Sean Whyte 43 yard field goal attempt is GOOD.,10,0
06:03,1,Pass,3,Kevin Glenn pass to Brad Sinopoli for 3 yards to the Cgy38. Tackled by Shea Emry.,10,0
05:39,2,Pass,5,Kevin Glenn pass to Jon Cornish for 5 yards to the Cgy43. Tackled by Scooter Berry.,10,0
05:03,3,Punt,8,Rob Maver punts for 44 yards to Mtl23. Noel Devine return for 8 yards to Mtl31. Tackled by Alvin Bowen.,10,0
04:37,1,Pass,21,Anthony Calvillo pass to Jamel Richardson for 21 yards to the Mtl52. Tackled by Fred Bennett.,10,0
04:09,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,10,0
03:21,2,Pass,58,Anthony Calvillo pass to S.J. Green for 58 yards for a TOUCHDOWN.,16,0
03:01,0,Made Extra Point,0,Sean Whyte extra point is good.,17,0
03:01,0,Kickoff,18,Sean Whyte kicks off to the Cgy2. Keon Raymond return for 18 yards to Cgy20. Tackled by Ejiro Kuale.,17,0
02:54,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Stanley Bryant) -5 yards.,17,0
02:37,1,Sack,-7,Sack at Cgy8 for a loss of 7 yards by Chip Cox.,17,0
02:20,2,Pass,5,Kevin Glenn pass to Jon Cornish for 5 yards to the Cgy13. Tackled by Chip Cox.,17,0
01:44,3,Punt,41,Rob Maver punts for 50 yards to Mtl47. Noel Devine return for 41 yards to Cgy22. Tackled by Deron Mayo.,17,0
01:14,1,Rush,18,Jerome Messam rush for 18 yards to the Cgy4. Tackled by Brandon Smith.,17,0
00:40,1,Rush,0,Jerome Messam rush for no gain to the Cgy4. Tackled by Shawn Lemon.,17,0
00:00,2,Rush,4,Jerome Messam rush for 4 yards for a TOUCHDOWN.,23,0
00:00,0,Made Extra Point,0,Sean Whyte extra point is good.,24,0
15:00,0,Kickoff,22,Sean Whyte kicks off to the Cgy17. Larry Taylor return for 22 yards to Cgy39. Tackled by Marc-Olivier Brouillette.,24,0
14:52,1,Pass,8,Kevin Glenn pass to Larry Taylor for 8 yards to the Cgy47. Tackled by Chip Cox.,24,0
14:14,2,Rush,3,Jon Cornish rush for 3 yards to the Cgy50. Tackled by Chip Cox.,24,0
13:37,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Anthony Parker.,24,0
13:17,2,Pass,9,Kevin Glenn pass to Nik Lewis for 9 yards to the Mtl51. Tackled by Chip Cox.,24,0
12:44,3,Rush,2,Bo Levi Mitchell rush for 2 yards to the Mtl49. Tackled by Marc-Olivier Brouillette.,24,0
12:15,0,Roughing Passer,15,Penalty: Roughing Passer on Montreal (Kyries Hebert) 15 yards.,24,0
11:40,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,24,0
11:31,1,Pass,14,Kevin Glenn pass to Brad Sinopoli for 14 yards to the Mtl20. Tackled by Geoff Tisdale.,24,0
10:58,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Rob Cote.,24,0
10:23,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Nik Lewis.,24,0
09:47,3,Missed Field Goal,27,Rene Paredes 27 yard field goal attempt is GOOD.,24,3
09:47,1,Rush,13,Brandon Whitaker rush for 13 yards to the Mtl48. Tackled by Demetrice Morley.,24,3
09:23,1,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl50. Tackled by Deron Mayo.,24,3
08:52,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,24,3
08:14,3,No Yards,30,Sean Whyte punts for 35 yards to Cgy25. Penalty: No Yards on Montreal (Chip Cox) -5 yards.,24,3
07:53,1,Rush,13,Jon Cornish rush for 13 yards to the Cgy43. Tackled by Jerald Brown.,24,3
07:17,1,Rush,11,Jon Cornish rush for 11 yards to the Cgy54. Tackled by Chip Cox.,24,3
06:42,1,Roughing Passer,27,Kevin Glenn pass to Marquay McDaniel for 12 yards to the Mtl44. Tackled by Jerald Brown. Penalty: Roughing Passer on Montreal (Kyries Hebert) 15 yards.,24,3
06:26,1,Pass,12,Kevin Glenn pass to Rob Cote for 12 yards to the Mtl17. Tackled by Mike Edem.,24,3
06:03,1,Pass,4,Kevin Glenn pass to Joe West for 4 yards to the Mtl13. Tackled by Shea Emry.,24,3
05:31,2,Pass,12,Kevin Glenn pass to Anthony Parker for 12 yards to the Mtl1. Tackled by Billy Parker.,24,3
04:02,1,Pass,1,Bo Levi Mitchell pass to Tim St. Pierre for 1 yard for a TOUCHDOWN.,24,9
03:53,0,Made Extra Point,0,Rene Paredes extra point is good.,24,10
03:53,0,Holding,8,Rene Paredes kicks off to the Mtl0. Noel Devine return for 18 yards to Mtl16. Tackled by Tim St. Pierre. Penalty: Holding on Montreal (Shea Emry) -10 yards.,24,10
03:30,1,Rush,4,Brandon Whitaker rush for 4 yards to the Mtl12. Tackled by Demonte' Bolden.,24,10
03:04,2,Pass,10,Anthony Calvillo pass to Jamel Richardson for 10 yards to the Mtl22. Tackled by Quincy Butler.,24,10
02:43,1,Rush,4,Brandon Whitaker rush for 4 yards to the Mtl26. Tackled by Demonte' Bolden.,24,10
02:33,2,Pass,4,Anthony Calvillo pass to Jamel Richardson for 4 yards to the Mtl30. Tackled by Fred Bennett.,24,10
02:10,3,Punt,8,Sean Whyte punts for 37 yards to Cgy43. Larry Taylor return for 8 yards to Cgy51. Tackled by Daryl Townsend.,24,10
01:53,1,Pass,11,Kevin Glenn pass to Marquay McDaniel for 11 yards to the Mtl40. Tackled by Geoff Tisdale.,24,10
01:48,1,Pass,7,Kevin Glenn pass to Nik Lewis for 7 yards to the Mtl33. Tackled by Geoff Tisdale.,24,10
01:43,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,24,10
01:32,3,Missed Field Goal,41,Rene Paredes 41 yard field goal attempt is GOOD.,24,13
01:32,1,Sack,-8,Sack at Mtl27 for a loss of 8 yards by Shawn Lemon.,24,13
01:28,2,Pass,8,Anthony Calvillo pass to Brandon Whitaker for 8 yards to the Mtl35. Tackled by Deron Mayo.,24,13
01:04,3,No Yards,23,Sean Whyte punts for 38 yards to Cgy37. Penalty: No Yards on Montreal (Chip Cox) -15 yards.,24,13
00:38,1,Pass,7,Kevin Glenn pass to Nik Lewis for 7 yards to the Mtl51.,24,13
00:32,2,Pass,8,Kevin Glenn pass to Nik Lewis for 8 yards to the Mtl43. Tackled by Jerald Brown.,24,13
00:27,1,Pass,33,Kevin Glenn pass to Jabari Arthur for 33 yards to the Mtl10. Tackled by Byron Parker.,24,13
00:21,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jabari Arthur.,24,13
