Time,Down,Type,Yards,Details,Hamilton,Calgary
15:00,0,Kickoff,18,Rene Paredes kicks off to the Ham13. Tavoy Moore return for 18 yards to Ham31. Tackled by Yannick Carter.,0,0
14:55,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson defensed by Keon Raymond.,0,0
14:30,2,Pass,28,Henry Burris pass to Greg Ellingson for 28 yards to the Cgy51. Tackled by Juwan Simpson.,0,0
13:40,1,Pass,14,Henry Burris pass to C.J. Gable for 14 yards to the Cgy37. Tackled by Fred Bennett.,0,0
13:04,1,Pass,37,Henry Burris pass to Andy Fantuz for 37 yards for a TOUCHDOWN.,6,0
12:50,0,Made Extra Point,0,Luca Congi extra point is good.,7,0
12:50,0,Kickoff,33,Luca Congi kicks off to the Cgy11. Matt Walter return for 33 yards to Cgy44. Tackled by Neil King.,7,0
12:43,1,Rush,2,Jon Cornish rush for 2 yards to the Cgy46. Tackled by Brian Bulcke.,7,0
11:48,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Edwin Harrison) -5 yards.,7,0
11:44,2,Rush,19,Bo Levi Mitchell rush for 19 yards to the Ham50. Tackled by Eric Norwood.,7,0
11:22,1,Interception,27,Bo Levi Mitchell pass INTERCEPTED by Brandon Isaac and returned for 27 yards. Tackled by Tim St. Pierre.,7,0
10:55,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,7,0
10:46,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Onrea Jones.,7,0
10:21,3,Missed Field Goal,103,50 yard field goal attempt by Luca Congi is NO GOOD.  Missed field goal returned by Larry Taylor to the Ham17. Tackled by Hasan Hazime.,7,0
09:42,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Jabari Arthur defensed by Simoni Lawrence.,7,0
09:19,2,Pass,9,Bo Levi Mitchell pass to Marquay McDaniel for 9 yards to the Ham8. Tackled by Sam Scott.,7,0
08:28,3,Missed Field Goal,15,Rene Paredes 15 yard field goal attempt is GOOD.,7,3
08:28,0,Kickoff,11,Rene Paredes kicks off to the Ham0. Tavoy Moore return for 11 yards to Ham11. Tackled by Anthony Parker.,7,3
08:21,1,Pass,43,Henry Burris pass to Bakari Grant for 43 yards to the Ham54. Tackled by Derrius Brooks.,7,3
07:53,1,Rush,-7,Tavoy Moore rush for a loss of 7 yards to the Ham47. Tackled by Cordarro Law.,7,3
07:11,2,Rush,12,Henry Burris rush for 12 yards to the Cgy51. Tackled by Keon Raymond.,7,3
06:13,3,Punt Single,0,Josh Bartel punts for 69 yards to Cgy0. No return (Single).,8,3
06:13,1,Rush,18,Jon Cornish rush for 18 yards to the Cgy53. Tackled by Jamall Johnson.,8,3
05:51,1,Pass,7,Bo Levi Mitchell pass to Maurice Price for 7 yards to the Ham50. Tackled by Sam Scott.,8,3
05:21,2,Pass,0,Bo Levi Mitchell pass to Maurice Price for no gain to the Ham50. Tackled by Rico Murray.,8,3
04:42,3,Punt,0,Rob Maver punts for 49 yards to Ham1. No return.,8,3
04:20,1,Rush,7,C.J. Gable rush for 7 yards to the Ham8. Tackled by Cordarro Law.,8,3
03:49,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,8,3
03:16,3,Punt,5,Josh Bartel punts for 41 yards to Ham49. Larry Taylor return for 5 yards to Ham44. Tackled by Louie Richardson.,8,3
03:06,1,Rush,16,Jon Cornish rush for 16 yards to the Ham28. Tackled by Sam Scott.,8,3
02:25,1,Rush,6,Jon Cornish rush for 6 yards to the Ham22. Tackled by Jamall Johnson.,8,3
01:46,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Kenny Stafford.,8,3
01:08,3,Missed Field Goal,29,Rene Paredes 29 yard field goal attempt is GOOD.,8,6
01:08,1,Pass,12,Henry Burris pass to Andy Fantuz for 12 yards to the Ham47. Tackled by Fred Bennett.,8,6
00:23,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,8,6
00:07,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,8,6
15:00,3,Punt,70,Josh Bartel punts for 47 yards to Cgy16. Larry Taylor return for 70 yards to Ham24. Tackled by Neil King.,8,6
14:40,1,Rush,4,Marquay McDaniel rush for 4 yards to the Ham20. Tackled by Eric Norwood.,8,6
14:11,0,Illegal Contact,10,Penalty: Illegal Contact on Hamilton (Dee Webb) 10 yards.,8,6
13:37,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,8,6
13:25,0,Sack,-3,"FUMBLE Sack at Ham13 for a loss of 3 yards by Jamall Johnson., recovered by Ham (Brian Bulcke). Tackled by Jon Gott.",8,6
12:52,1,Rush,22,C.J. Gable rush for 22 yards to the Ham35. Tackled by Brandon Smith.,8,6
12:13,1,Rush,4,C.J. Gable rush for 4 yards to the Ham39. Tackled by Micah Johnson.,8,6
11:41,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,8,6
10:45,3,Illegal Block,0,Josh Bartel punts for 41 yards to Cgy30. Larry Taylor return for 10 yards to Cgy40. Penalty: Illegal Block on Calgary (Matt Walter) -10 yards.,8,6
10:28,1,Rush,0,Jon Cornish rush for no gain to the Cgy30. Tackled by Simoni Lawrence.,8,6
09:19,2,Pass,80,Bo Levi Mitchell pass to Maurice Price for 80 yards for a TOUCHDOWN.,8,12
09:19,0,Offside,5,Rene Paredes extra point is good. Penalty: Offside on Hamilton (Brian Bulcke) 5 yards.,8,13
09:06,0,Kickoff,26,Rene Paredes kicks off to the Ham1. Tavoy Moore return for 26 yards to Ham27. Tackled by Yannick Carter.,8,13
09:00,1,Pass,12,Henry Burris pass to C.J. Gable for 12 yards to the Ham39. Tackled by Deron Mayo.,8,13
08:07,1,Offside,5,Penalty: Offside on Calgary (Justin Phillips) 5 yards.,8,13
07:54,1,Rush,6,C.J. Gable rush for 6 yards to the Ham50. Tackled by Deron Mayo.,8,13
07:15,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Bakari Grant.,8,13
06:50,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Simon Charbonneau-Campeau defensed by Keon Raymond.,8,13
06:30,3,Punt,5,Josh Bartel punts for 42 yards to Cgy18. Larry Taylor return for 5 yards to Cgy23. Tackled by Emanuel Davis.,8,13
06:11,1,Rush,13,Jon Cornish rush for 13 yards to the Cgy36. Tackled by Adam Berger.,8,13
05:28,1,Pass,13,Bo Levi Mitchell pass to Maurice Price for 13 yards to the Cgy49. Tackled by Dee Webb.,8,13
04:49,1,Rush,1,Jon Cornish rush for 1 yard to the Cgy50. Tackled by Emanuel Davis.,8,13
04:34,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Edwin Harrison) -5 yards.,8,13
04:04,2,Rush,3,Bo Levi Mitchell rush for 3 yards to the Cgy48. Tackled by Simoni Lawrence.,8,13
03:52,3,Punt,13,Rob Maver punts for 52 yards to Ham10. Tavoy Moore return for 13 yards to Ham23. Tackled by Alvin Bowen.,8,13
03:09,1,Pass,4,Henry Burris pass to Bakari Grant for 4 yards to the Ham27. Tackled by Brandon Smith.,8,13
02:45,2,Pass,11,Henry Burris pass to Greg Ellingson for 11 yards to the Ham38. Tackled by Derrius Brooks.,8,13
02:33,1,Pass,11,Henry Burris pass to Tavoy Moore for 11 yards to the Ham49. Tackled by Keon Raymond.,8,13
02:10,1,Offside,5,Penalty: Offside on Calgary (Charleston Hughes) 5 yards.,8,13
01:50,1,Pass,17,Henry Burris pass to Andy Fantuz for 17 yards to the Cgy39. Tackled by Keon Raymond.,8,13
01:43,1,Pass,14,Henry Burris pass to Andy Fantuz for 14 yards to the Cgy25. Tackled by Keon Raymond.,8,13
01:36,1,Rush,2,C.J. Gable rush for 2 yards to the Cgy23. Tackled by  .,8,13
01:16,2,Pass,11,Henry Burris pass to Onrea Jones for 11 yards to the Cgy12. Tackled by Keon Raymond.,8,13
00:45,1,Rush,6,Henry Burris rush for 6 yards to the Cgy6. Tackled by Keon Raymond.,8,13
00:17,2,Pass,6,Henry Burris pass to Onrea Jones for 6 yards for a TOUCHDOWN.,14,13
00:17,0,Made Extra Point,0,Luca Congi extra point is good.,15,13
00:17,0,Kickoff,13,Luca Congi kicks off to the Cgy14. Matt Walter return for 13 yards to Cgy27. Tackled by Marc Beswick.,15,13
15:00,0,Kickoff,15,Luca Congi kicks off to the Cgy10. Matt Walter return for 15 yards to Cgy25. Tackled by Emanuel Davis.,15,13
14:53,1,Pass,6,Bo Levi Mitchell pass to Marquay McDaniel for 6 yards to the Cgy31. Tackled by Evan McCollough.,15,13
14:25,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel defensed by Emanuel Davis.,15,13
14:02,3,Punt,6,Rob Maver punts for 48 yards to Ham31. Tavoy Moore return for 6 yards to Ham37. Tackled by Randy Chevrier.,15,13
13:30,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Onrea Jones.,15,13
13:14,2,Sack,-2,Sack at Ham35 for a loss of 2 yards by Deron Mayo.,15,13
12:38,3,No Yards,25,Josh Bartel punts for 40 yards to Cgy35. Penalty: No Yards on Hamilton (Courtney Stephen) -15 yards.,15,13
12:25,1,Rush,-2,Jon Cornish rush for a loss of 2 yards to the Cgy48. Tackled by Simoni Lawrence.,15,13
11:53,2,Interception,0,Bo Levi Mitchell pass intended for Brad Sinopoli INTERCEPTED by Simoni Lawrence. No return. Tackled by Brad Sinopoli.,15,13
11:35,1,Rush,22,Tavoy Moore rush for 22 yards to the Ham53. Tackled by Jeff Hecht.,15,13
11:05,1,Pass,13,Henry Burris pass to C.J. Gable for 13 yards to the Cgy44. Tackled by Deron Mayo.,15,13
10:35,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz defensed by Fred Bennett.,15,13
10:16,2,Pass,18,Henry Burris pass to Greg Ellingson for 18 yards to the Cgy26. Tackled by Alvin Bowen.,15,13
09:26,1,Pass,13,Henry Burris pass to Bakari Grant for 13 yards to the Cgy13. Tackled by Jeff Hecht.,15,13
08:58,1,Unnecessary Roughness,8,Dan LeFevour rush for 4 yards to the Cgy9. Tackled by Deron Mayo. Penalty: Unnecessary Roughness on Calgary (Derrius Brooks) 4 yards.,15,13
08:29,1,Objectionable Conduct,15,C.J. Gable rush for 5 yards for a TOUCHDOWN. Penalty: Objectionable Conduct on Calgary (Fred Bennett) 10 yards.,21,13
07:50,0,Made Extra Point,0,Luca Congi extra point is good.,22,13
07:50,0,Kickoff,27,Luca Congi kicks off to the Cgy0. Matt Walter return for 27 yards to Cgy24. Tackled by Marcellus Bowman.,22,13
07:38,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy29. Tackled by Sam Scott.,22,13
07:01,2,Pass,-3,Bo Levi Mitchell pass to Jon Cornish for a loss of 3 yards to the Cgy26. Tackled by Sam Scott.,22,13
06:29,3,Pass,31,Rob Maver pass to Matt Walter for 31 yards to the Ham53. Tackled by Tavoy Moore.,22,13
06:06,1,Pass,10,Bo Levi Mitchell pass to Kenny Stafford for 10 yards to the Ham43. Tackled by Courtney Stephen.,22,13
05:48,1,Sack,-1,Sack at Ham44 for a loss of 1 yard by Simoni Lawrence.,22,13
05:27,2,Pass,8,Bo Levi Mitchell pass to Maurice Price for 8 yards to the Ham36. Tackled by Jamall Johnson.,22,13
04:33,3,Missed Field Goal,43,Rene Paredes 43 yard field goal attempt is GOOD.,22,16
04:33,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant defensed by Chris Randle.,22,16
04:19,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Brian Simmons) -5 yards.,22,16
04:01,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,22,16
