Time,Down,Type,Yards,Details,Calgary,Hamilton
15:00,0,Kickoff,11,Rene Paredes kicks off to the Ham25. Kendial Lawrence return for 11 yards to Ham36. Tackled by Yannick Carter.,0,0
14:54,1,Pass,22,Bakari Grant pass to Dave Stala for 22 yards to the Cgy52.,0,0
14:35,1,Rush,11,C.J. Gable rush for 11 yards to the Cgy41. Tackled by Keon Raymond.,0,0
13:56,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,0,0
13:21,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Luke Tasker defensed by Fred Bennett.,0,0
12:40,3,Missed Field Goal,46,56 yard field goal attempt by Brett Lauther is NO GOOD.  Missed field goal returned by Larry Taylor to the Cgy31.,0,0
12:07,1,Rush,3,Jon Cornish rush for 3 yards to the Cgy34. Tackled by Brian Bulcke.,0,0
11:55,2,Rush,8,Kevin Glenn rush for 8 yards to the Cgy42. Tackled by Simoni Lawrence.,0,0
11:50,1,Pass,11,Kevin Glenn pass to   for 11 yards to the Cgy53. Tackled by Emanuel Davis.,0,0
11:15,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel.,0,0
10:32,2,Sack,-3,Sack at Cgy50 for a loss of 3 yards by Eric Norwood.,0,0
10:06,3,Punt,5,Rob Maver punts for 42 yards to Ham18. Onrea Jones return for 5 yards to Ham23. Tackled by Justin Phillips.,0,0
09:35,1,Pass,11,Henry Burris pass to Bakari Grant for 11 yards to the Ham34. Tackled by Chris Randle.,0,0
09:20,1,Rush,3,C.J. Gable rush for 3 yards to the Ham37. Tackled by Deron Mayo.,0,0
08:38,2,Pass,13,Henry Burris pass to Andy Fantuz for 13 yards to the Ham50. Tackled by Eric Fraser.,0,0
08:00,1,Rush,4,C.J. Gable rush for 4 yards to the Ham54. Tackled by Demonte' Bolden.,0,0
07:23,2,Rush,11,Henry Burris rush for 11 yards to the Cgy45. Tackled by Charleston Hughes.,0,0
06:40,1,Pass,17,Henry Burris pass to Andy Fantuz for 17 yards to the Cgy28. Tackled by Eric Fraser.,0,0
06:03,0,Illegal Block,10,Penalty: Illegal Block on Calgary ( ) 10 yards.,0,0
05:43,1,Rush,1,Kendial Lawrence rush for 1 yard to the Cgy17. Tackled by Micah Johnson.,0,0
05:14,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant defensed by Juwan Simpson.,0,0
04:14,3,Field Goal Single,37,37 yard field goal attempt by Brett Lauther is NO GOOD (Single).,0,1
04:16,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Jon Gott) -5 yards.,0,1
04:06,1,Pass,-1,Kevin Glenn pass to Kenny Stafford for a loss of 1 yard to the Cgy29. Tackled by Eric Norwood.,0,1
03:48,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Kenny Stafford.,0,1
03:04,3,Punt,8,Rob Maver punts for 33 yards to Ham48. Onrea Jones return for 8 yards to Cgy54. Tackled by Randy Chevrier.,0,1
02:49,1,Offside,5,Penalty: Offside on Calgary (Cordarro Law) 5 yards.,0,1
02:29,1,Pass,4,Henry Burris pass to Kendial Lawrence for 4 yards to the Cgy45. Tackled by Jamar Wall.,0,1
