Time,Down,Type,Yards,Details,Calgary,Edmonton
15:00,0,Kickoff,17,Edmonton kicks off.   return for 17 yards to Cgy35.,0,0
14:54,1,Pass,10,pass to the Cgy45.,0,0
14:00,1,Incomplete Pass,0,incomplete pass.,0,0
13:37,2,Pass,4,pass to the Edm45.,0,0
13:04,3,Punt,0,punts for 43 yards to Edm2. No return.,0,0
11:32,1,Pass,15,pass to the Edm29.,0,0
10:25,2,Incomplete Pass,0,incomplete pass.,0,0
10:03,3,Punt,2,punts for 41 yards to Cgy39.   return for 2 yards to Cgy41.,0,0
09:09,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary -5 yards.,0,0
08:45,2,Pass,6,pass to the Cgy43.,0,0
08:13,3,Punt,13,punts for 49 yards to Edm18.   return for 13 yards to Edm31.,0,0
07:46,1,Incomplete Pass,0,incomplete pass.,0,0
07:29,2,Unnecessary Roughness,-8,pass INTERCEPTED and returned for 7 yards. Penalty: Unnecessary Roughness on Calgary -15 yards.,0,0
07:01,1,Incomplete Pass,0,incomplete pass.,0,0
06:10,3,Punt,0,punts for 35 yards to Edm10. No return.,0,0
05:30,2,Incomplete Pass,0,incomplete pass.,0,0
04:57,3,Punt,31,punts for 52 yards to Cgy42.   return for 31 yards to Edm37.,0,0
04:28,1,Pass,12,pass to the Edm25.,0,0
03:50,2,Pass,7,pass to the Edm20.,0,0
03:08,3,Missed Field Goal,27,27 yard field goal attempt is GOOD.,3,0
02:32,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton -5 yards.,3,0
02:16,2,Incomplete Pass,0,incomplete pass.,3,0
02:03,3,Illegal Participation,60,punts for 50 yards to Cgy27. Penalty: Illegal Participation on Calgary 10 yards.,3,0
01:33,1,Pass,10,pass to the Cgy27.,3,0
00:41,1,Incomplete Pass,0,incomplete pass.,3,0
00:01,2,Incomplete Pass,0,incomplete pass.,3,0
15:00,3,Punt,0,punts for 48 yards to Edm27.   return for no gain to Edm27.,3,0
14:46,1,Sack,-9,Sack at Edm18 for a loss of 9 yards.,3,0
14:06,2,Pass,48,pass to the Cgy44.,3,0
13:25,1,Pass,4,pass to the Cgy40.,3,0
12:36,2,Incomplete Pass,0,incomplete pass.,3,0
11:56,3,Missed Field Goal,47,47 yard field goal attempt is GOOD.,3,3
11:56,0,Kickoff,21,Edmonton kicks off.   return for 21 yards to Cgy32.,3,3
11:10,1,Pass,25,pass to the Edm34.,3,3
09:43,2,Pass,29,pass for a TOUCHDOWN.,9,3
09:36,0,Made Extra Point,0,extra point is good.,10,3
09:36,0,Kickoff,25,Calgary kicks off.   return for 25 yards to Edm36.,10,3
08:45,2,Sack,-5,Sack at Edm36 for a loss of 5 yards.,10,3
08:19,3,Punt,-2,punts for 52 yards to Cgy22.   return for a loss of 2 yards to Cgy20.,10,3
06:55,0,Illegal Block,-10,Penalty: Illegal Block on Calgary -10 yards.,10,3
