Time,Down,Type,Yards,Details,Saskatchewan,Calgary
15:00,0,Kickoff,19,Ricky Schmitt kicks off to the Cgy16. Larry Taylor return for 19 yards to Cgy35. Tackled by Craig Butler.,0,0
14:54,1,Pass,8,Kevin Glenn pass to Jeff Fuller for 8 yards to the Cgy43. Tackled by Tyron Brackenridge.,0,0
14:20,2,Fumble,-1,"Jon Cornish rush for a loss of 1 yard to the Cgy42. FUMBLE, recovered by Ssk (Alex Hall). Tackled by Jon Cornish.",0,0
14:07,1,Rush,3,Kory Sheets rush for 3 yards to the Cgy39. Tackled by Micah Johnson.,0,0
13:35,2,Pass,20,Darian Durant pass to Chris Getzlaf for 20 yards to the Cgy19. Tackled by Eric Fraser.,0,0
13:15,1,Sack,-5,Sack at Cgy24 for a loss of 5 yards by Charleston Hughes.,0,0
12:44,2,Pass,8,Darian Durant pass to Weston Dressler for 8 yards to the Cgy16. Tackled by Eric Fraser.,0,0
11:28,3,Missed Field Goal,23,Chris Milo 23 yard field goal attempt is GOOD.,3,0
11:28,0,Kickoff,20,Ricky Schmitt kicks off to the Cgy13. Larry Taylor return for 20 yards to Cgy33. Tackled by Brian Peters.,3,0
11:21,1,Unnecessary Roughness,23,Jon Cornish rush for 8 yards to the Cgy41. Tackled by Ricky Foley. Penalty: Unnecessary Roughness on Saskatchewan (Dwight Anderson) 15 yards.,3,0
10:54,0,Rush,4,"FUMBLE Jon Cornish rush for 4 yards to the Ssk50., recovered by Cgy (Marquay McDaniel).",3,0
10:15,2,Face Mask,17,Kevin Glenn rush for 2 yards to the Ssk48. Tackled by  . Penalty: Face Mask on Saskatchewan (John Chick) 15 yards.,3,0
09:56,1,Pass,15,Kevin Glenn pass to Maurice Price for 15 yards to the Ssk18. Tackled by Mike McCullough.,3,0
09:13,1,Sack,-10,Sack at Ssk28 for a loss of 10 yards by John Chick.,3,0
08:31,2,Interception,0,Kevin Glenn pass intended for Jon Cornish INTERCEPTED by Diamond Ferri. No return. Tackled by Jon Cornish.,3,0
08:08,1,Pass,4,Darian Durant pass to Weston Dressler for 4 yards to the Ssk40. Tackled by Derrius Brooks.,3,0
07:36,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,3,0
07:18,3,Punt,8,Ricky Schmitt punts for 45 yards to Cgy25. Larry Taylor return for 8 yards to Cgy33. Tackled by Neal Hughes.,3,0
