Time,Down,Type,Yards,Details,Edmonton,Montreal
15:00,0,Kickoff,34,Grant Shaw kicks off to the Mtl9. Arland Bruce return for 34 yards to Mtl43.,0,0
14:52,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon Whitaker.,0,0
14:33,2,Pass,7,Anthony Calvillo pass to Arland Bruce for 7 yards to the Mtl50. Tackled by Damaso Munoz.,0,0
13:59,3,Punt,8,Sean Whyte punts for 50 yards to Edm10. Cary Koch return for 8 yards to Edm18. Tackled by Daryl Townsend.,0,0
13:26,1,Pass,-2,Mike Reilly pass to Fred Stamps for a loss of 2 yards to the Edm16. Tackled by Billy Parker.,0,0
12:46,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Nate Coehoorn.,0,0
12:28,0,Fumble,5,", recovered by Edm (Jordan Verdone). Grant Shaw punts for 29 yards to Edm45. Noel Devine return for 5 yards to Edm40. FUMBLE",0,0
12:00,1,Rush,10,Brandon Whitaker rush for 10 yards to the Edm30. Tackled by T.J. Hill.,0,0
11:31,1,Rush,-2,Brandon Whitaker rush for a loss of 2 yards to the Edm32. Tackled by Don Oramasionwu.,0,0
10:51,2,Pass,7,Anthony Calvillo pass to Jamel Richardson for 7 yards to the Edm25. Tackled by Aaron Grymes.,0,0
10:02,3,Missed Field Goal,32,Sean Whyte 32 yard field goal attempt is GOOD.,0,3
10:02,1,Rush,1,Hugh Charles rush for 1 yard to the Edm36. Tackled by Jerald Brown.,0,3
09:40,2,Pass,11,Mike Reilly pass to Hugh Charles for 11 yards to the Edm47. Tackled by Chip Cox.,0,3
09:16,1,Pass,44,Mike Reilly pass to Fred Stamps for 44 yards to the Mtl19. Tackled by Billy Parker.,0,3
08:51,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,0,3
08:28,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Hugh Charles defensed by Jerald Brown.,0,3
07:46,3,Missed Field Goal,26,Grant Shaw 26 yard field goal attempt is GOOD.,3,3
07:46,1,Pass,11,Anthony Calvillo pass to Jamel Richardson for 11 yards to the Mtl46. Tackled by Marcell Young.,3,3
07:24,1,Rush,-2,Brandon Whitaker rush for a loss of 2 yards to the Mtl44. Tackled by T.J. Hill.,3,3
06:37,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Ryan Bomben) -5 yards.,3,3
06:14,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon Whitaker.,3,3
05:57,3,Punt,5,Sean Whyte punts for 54 yards to Edm17. Cary Koch return for 5 yards to Edm22. Tackled by Patrick Lavoie.,3,3
05:35,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Thaddeus Coleman) -5 yards.,3,3
05:22,1,Rush,0,John White rush for no gain to the Edm17. Tackled by Michael Klassen.,3,3
04:38,2,Taunting,11,Mike Reilly pass intended for Cary Koch INTERCEPTED by Shea Emry and returned for 21 yards. Tackled by Mike Reilly. Penalty: Taunting on Montreal (Shea Emry) -10 yards.,3,3
04:07,1,Rush,-8,Brandon Whitaker rush for a loss of 8 yards to the Edm26. Tackled by Ted Laurent.,3,3
03:39,2,Pass,24,Anthony Calvillo pass to S.J. Green for 24 yards to the Edm2. Tackled by Marcell Young.,3,3
03:00,1,Rush,1,Brandon Whitaker rush for 1 yard to the Edm1. Tackled by J.C. Sherritt.,3,3
01:56,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Patrick Lavoie) -5 yards.,3,3
01:13,2,Pass,6,Anthony Calvillo pass to S.J. Green for 6 yards for a TOUCHDOWN.,3,9
01:01,0,Made Extra Point,0,Sean Whyte extra point is good.,3,10
01:01,0,Kickoff,24,Sean Whyte kicks off to the Edm8. Hugh Charles return for 24 yards to Edm32. Tackled by Ameet Pall.,3,10
00:56,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Hugh Charles.,3,10
00:35,2,Pass,31,Mike Reilly pass to Cary Koch for 31 yards to the Mtl47. Tackled by Jerald Brown.,3,10
00:12,1,Rush,2,Hugh Charles rush for 2 yards to the Mtl45. Tackled by Kyries Hebert.,3,10
15:00,2,Sack,-9,Sack at Mtl54 for a loss of 9 yards by Kyries Hebert.,3,10
14:26,3,Holding,36,Grant Shaw punts for 41 yards to Mtl13. Penalty: Unnecessary Roughness on Edmonton (Ryan King) -15 yards. Penalty: Holding on Montreal (Patrick Lavoie) 10 yards.,3,10
14:13,1,Pass,6,Anthony Calvillo pass to Noel Devine for 6 yards to the Mtl24. Tackled by J.C. Sherritt.,3,10
13:43,2,Pass,13,Anthony Calvillo pass to Brandon Whitaker for 13 yards to the Mtl37. Tackled by Damaso Munoz.,3,10
13:21,1,Pass,8,Anthony Calvillo pass to Brandon London for 8 yards to the Mtl45. Tackled by Aaron Grymes.,3,10
12:45,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Jeff Perrett) -5 yards.,3,10
12:16,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,3,10
11:57,3,Punt,4,Sean Whyte punts for 51 yards to Edm19. Cary Koch return for 4 yards to Edm23. Tackled by Kyries Hebert.,3,10
11:44,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Marcus Henry.,3,10
11:32,2,Interception,5,Jonathan Crompton pass intended for Hugh Charles INTERCEPTED by Shea Emry and returned for 5 yards. Tackled by Hugh Charles.,3,10
11:08,1,Sack,-8,Sack at Edm30 for a loss of 8 yards by Ted Laurent.,3,10
10:39,2,Pass,11,Anthony Calvillo pass to Brandon Whitaker for 11 yards to the Edm19. Tackled by J.C. Sherritt.,3,10
09:56,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Jeff Perrett) -5 yards.,3,10
09:24,3,Missed Field Goal,31,Sean Whyte 31 yard field goal attempt is GOOD.,3,13
09:24,1,Unnecessary Roughness,0,Hugh Charles rush for 15 yards to the Edm50. Tackled by Kyries Hebert. Penalty: Unnecessary Roughness on Edmonton (Nate Coehoorn) -15 yards.,3,13
09:09,1,Offside,5,Penalty: Offside on Montreal (Mike Edem) 5 yards.,3,13
