Time,Down,Type,Yards,Details,Edmonton,Calgary
15:00,0,Kickoff,27,Grant Shaw kicks off to the Cgy7. Larry Taylor return for 27 yards to Cgy34. Tackled by Mike Cornell.,0,0
14:55,1,Rush,3,rush for 3 yards to the Cgy37. Tackled by Almondo Sewell.,0,0
14:18,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Jon Gott) -5 yards.,0,0
14:08,2,Offside,5,Penalty: Offside on Edmonton (Marcus Howard) 5 yards.,0,0
13:48,2,Pass,25,Kevin Glenn pass to Marquay McDaniel for 25 yards to the Edm48. Tackled by Marcell Young.,0,0
13:28,1,Rush,-2,rush for a loss of 2 yards to the Edm50. Tackled by Marcus Howard.,0,0
12:50,2,Pass,13,Kevin Glenn pass to Marquay McDaniel for 13 yards to the Edm37. Tackled by Marcell Young.,0,0
12:19,0,Pass Interference,36,Penalty: Pass Interference on Edmonton (Chris Rwabukamba) 36 yards.,0,0
11:37,1,Rush,1,Bo Levi Mitchell rush for 1 yard for a TOUCHDOWN.,0,6
11:22,0,Made Extra Point,0,Rene Paredes extra point is good.,0,7
11:22,0,Holding,3,Rene Paredes kicks off to the Edm8. Deante' Purvis return for 13 yards to Edm21. Penalty: Holding on Edmonton (Corbin Sharun) -10 yards.,0,7
11:15,1,Rush,-2,rush for a loss of 2 yards to the Edm9. Tackled by Charleston Hughes.,0,7
10:29,2,Offside,5,Penalty: Offside on Calgary (Cordarro Law) 5 yards.,0,7
10:20,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,0,7
10:03,3,Punt,19,Grant Shaw punts for 39 yards to Edm53. Marquay McDaniel return for 19 yards to Edm34. Tackled by Nate Coehoorn.,0,7
09:33,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Greg Carr.,0,7
09:15,2,Pass,1,Kevin Glenn pass to   for 1 yard to the Edm33. Tackled by Damaso Munoz.,0,7
08:18,3,Missed Field Goal,41,Rene Paredes 41 yard field goal attempt is GOOD.,0,10
08:18,1,Pass,12,Mike Reilly pass to Cary Koch for 12 yards to the Edm47. Tackled by Chris Randle.,0,10
07:45,1,Rush,0,rush for no gain to the Edm47. Tackled by Micah Johnson.,0,10
07:10,2,Sack,-9,Sack at Edm38 for a loss of 9 yards by Cordarro Law.,0,10
06:33,3,Punt,3,Grant Shaw punts for 46 yards to Cgy26. Larry Taylor return for 3 yards to Cgy29. Tackled by Mike Cornell.,0,10
06:09,1,Pass,-3,Kevin Glenn pass to Anthony Parker for a loss of 3 yards to the Cgy26. Tackled by Chris Thompson.,0,10
05:33,2,Sack,-4,Sack at Cgy22 for a loss of 4 yards by Don Oramasionwu.,0,10
04:50,3,Punt,1,Rob Maver punts for 53 yards to Edm35. Joe Burnett return for 1 yard to Edm36. Tackled by Chris Randle.,0,10
04:28,1,Interception,42,Mike Reilly pass intended for Nate Coehoorn INTERCEPTED by Fred Bennett and returned for 42 yards. Tackled by Mike Reilly.,0,10
03:52,1,Rush,5,rush for 5 yards to the Edm33. Tackled by Ted Laurent.,0,10
02:51,2,Pass,33,Kevin Glenn pass to Maurice Price for 33 yards for a TOUCHDOWN.,0,16
02:39,0,Made Extra Point,0,Rene Paredes extra point is good.,0,17
