Time,Down,Type,Yards,Details,Toronto,Edmonton
15:00,0,Kickoff,20,Grant Shaw kicks off to the Tor16. Trent Guy return for 20 yards to Tor36. Tackled by J.C. Sherritt.,0,0
14:54,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,0,0
14:34,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,0,0
14:08,3,Punt,2,Swayze Waters punts for 52 yards to Edm22. Jamal Miles return for 2 yards to Edm24. Tackled by Mike Bradwell.,0,0
13:38,1,Pass,14,Mike Reilly pass to Marcus Henry for 14 yards to the Edm38. Tackled by Marcus Ball.,0,0
12:58,1,Pass,7,Mike Reilly pass to Calvin McCarty for 7 yards to the Edm45. Tackled by Ricardo Colclough.,0,0
12:20,2,Pass,20,Mike Reilly pass to Adarius Bowman for 20 yards to the Tor45. Tackled by Pat Watkins.,0,0
11:40,1,Rush,4,John White rush for 4 yards to the Tor41. Tackled by David Lee.,0,0
11:05,2,Incomplete Pass,0,Mike Reilly incomplete pass intended for John White.,0,0
10:26,3,Punt Single,0,Grant Shaw punts for 46 yards to Tor0. No return (Single).,0,1
10:26,1,Rush,3,Chad Kackert rush for 3 yards to the Tor38. Tackled by Almondo Sewell.,0,1
10:04,2,Sack,-9,Sack at Tor29 for a loss of 9 yards by Ted Laurent.,0,1
09:10,3,Illegal Block,-3,Swayze Waters punts for 54 yards to Edm27. Jamal Miles return for 7 yards to Edm34. Penalty: Illegal Block on Edmonton (Joash Gesse) -10 yards.,0,1
08:56,1,Unnecessary Roughness,-3,Mike Reilly pass INTERCEPTED by Pat Watkins and returned for 12 yards. Tackled by John White. Penalty: Unnecessary Roughness on Toronto (Jonathan Williams) -15 yards.,0,1
08:22,1,Pass,7,Zach Collaros pass to John Chiles for 7 yards to the Edm45. Tackled by Joe Burnett.,0,1
08:04,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes defensed by Eric Samuels.,0,1
07:44,3,Punt,0,Swayze Waters punts for 33 yards to Edm12. No return.,0,1
07:36,1,Rush,2,John White rush for 2 yards to the Edm14. Tackled by Herve Tonye-Tonye.,0,1
07:18,2,Sack,-2,Sack at Edm12 for a loss of 2 yards by Cleyon Laing.,0,1
06:35,3,Punt,5,Grant Shaw punts for 44 yards to Tor54. Trent Guy return for 5 yards to Edm51. Tackled by Ryan Hinds.,0,1
06:11,1,Rush,5,Andre Durie rush for 5 yards to the Edm46. Tackled by Chris Thompson.,0,1
05:50,2,Pass,10,Zach Collaros pass to Spencer Watt for 10 yards to the Edm36. Tackled by Eric Samuels.,0,1
05:12,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes.,0,1
04:56,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles defensed by Ryan Hinds.,0,1
04:13,3,Field Goal Single,56,56 yard field goal attempt by Swayze Waters is NO GOOD (Single).,1,1
04:13,1,Rush,9,Mike Reilly rush for 9 yards to the Edm45. Tackled by Cleyon Laing.,1,1
03:35,2,Pass,5,Mike Reilly pass to Nate Coehoorn for 5 yards to the Edm50.,1,1
03:05,1,Pass,17,Mike Reilly pass to Adarius Bowman for 17 yards to the Tor43. Tackled by Alonzo Lawrence.,1,1
02:43,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,1,1
02:16,0,Face Mask,15,Penalty: Face Mask on Toronto (Ricardo Colclough) 15 yards.,1,1
01:51,0,Holding,-10,Penalty: Holding on Edmonton (Miles Mason) -10 yards.,1,1
01:16,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Marcus Henry.,1,1
01:00,2,Objectionable Conduct,21,Sack at Tor42 for a loss of 4 yards by Robert McCune. Penalty: Unnecessary Roughness on Toronto (Cleyon Laing) 15 yards. Penalty: Objectionable Conduct on Toronto (Alonzo Lawrence) 10 yards.,1,1
00:18,1,Pass,17,Mike Reilly pass to Shamawd Chambers for 17 yards for a TOUCHDOWN.,1,7
00:08,0,Made Extra Point,0,Hugh O'Neill extra point is good.,1,8
00:08,0,Kickoff,65,Grant Shaw kicks off to the Tor18. Trent Guy return for 65 yards to Edm27. Tackled by Marcell Young.,1,8
15:00,1,Pass,10,Zach Collaros pass to Spencer Watt for 10 yards to the Edm17. Tackled by Donovan Alexander.,1,8
14:14,1,Sack,-4,Sack at Edm21 for a loss of 4 yards by Marcus Howard.,1,8
14:00,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,1,8
13:39,3,Missed Field Goal,21,21 yard field goal attempt by Swayze Waters is NO GOOD.,1,8
13:20,1,Rush,7,John White rush for 7 yards to the Edm32. Tackled by Robert McCune.,1,8
12:41,2,Rush,3,John White rush for 3 yards to the Edm35. Tackled by Robert McCune.,1,8
12:10,1,Rush,5,John White rush for 5 yards to the Edm40. Tackled by Robert McCune.,1,8
11:30,2,Unnecessary Roughness,32,Kerry Joseph pass to John White for 17 yards to the Tor53. Tackled by Alonzo Lawrence. Penalty: Unnecessary Roughness on Toronto (Alonzo Lawrence) 15 yards.,1,8
11:11,1,Rush,0,John White rush for no gain to the Tor38. Tackled by Pat Watkins.,1,8
10:32,2,Rush,9,Kerry Joseph rush for 9 yards to the Tor29. Tackled by Robert McCune.,1,8
09:59,3,Rush,3,Kerry Joseph rush for 3 yards to the Tor26. Tackled by Jonathan Williams.,1,8
09:27,1,Pass,17,Kerry Joseph pass to Marcus Henry for 17 yards to the Tor9. Tackled by Matt Black.,1,8
08:41,1,Rush,3,John White rush for 3 yards to the Tor6. Tackled by Shane Horton.,1,8
07:50,2,Pass,6,Kerry Joseph pass to Fred Stamps for 6 yards for a TOUCHDOWN.,1,14
07:35,0,Made Extra Point,0,Hugh O'Neill extra point is good.,1,15
07:35,0,Kickoff,23,Grant Shaw kicks off to the Tor7. Trent Guy return for 23 yards to Tor30. Tackled by Eric Samuels.,1,15
07:27,1,Offside,5,Penalty: Offside on Edmonton 5 yards.,1,15
07:05,1,Rush,13,Chad Kackert rush for 13 yards to the Tor48. Tackled by T.J. Hill.,1,15
06:36,1,Pass,11,Zach Collaros pass to Jason Barnes for 11 yards to the Edm51. Tackled by Eric Samuels.,1,15
06:22,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Chad Kackert.,1,15
05:54,2,Pass,16,Zach Collaros pass to Jason Barnes for 16 yards to the Edm35. Tackled by Eric Samuels.,1,15
05:18,1,Interception,0,Zach Collaros pass INTERCEPTED by Marcell Young. No return. Tackled by Andre Durie.,1,15
04:53,1,Rush,3,John White rush for 3 yards to the Edm28. Tackled by Marcus Ball.,1,15
03:53,2,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Adarius Bowman.,1,15
03:35,0,Illegal Substitution,-10,Penalty: Illegal Substitution on Edmonton (Eric Samuels) -10 yards.,1,15
03:35,3,No Yards,46,Grant Shaw punts for 51 yards to Tor41. Penalty: No Yards on Edmonton (Nathan Kanya) -5 yards.,1,15
03:14,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,1,15
03:04,2,Sack,-11,Sack at Tor35 for a loss of 11 yards by Marcus Howard.,1,15
02:41,3,Punt,12,Swayze Waters punts for 39 yards to Edm36. Jamal Miles return for 12 yards to Edm48. Tackled by Jason Pottinger.,1,15
02:21,1,Incomplete Pass,0,Kerry Joseph incomplete pass intended for Nate Coehoorn.,1,15
