Time,Down,Type,Yards,Details,Hamilton,Montreal
15:00,0,Kickoff,28,Delbert Alvarado kicks off to the Mtl4. Noel Devine return for 28 yards to Mtl32. Tackled by Neil King.,0,0
14:47,1,Pass,50,Anthony Calvillo pass to Jamel Richardson for 50 yards to the Ham28. Tackled by Courtney Stephen.,0,0
13:54,1,Rush,3,Chris Jennings rush for 3 yards to the Ham25. Tackled by Ricardo Colclough.,0,0
13:16,0,Roughing Passer,13,Penalty: Roughing Passer on Hamilton (Shomari Williams) 13 yards.,0,0
13:07,0,Pass Interference,11,Penalty: Pass Interference on Hamilton (Terrance Parks) 11 yards.,0,0
12:33,1,Rush,1,Chris Jennings rush for 1 yard for a TOUCHDOWN.,0,6
12:25,0,Made Extra Point,0,Sean Whyte extra point is good.,0,7
12:25,0,Kickoff,18,Sean Whyte kicks off to the Ham18. Lindsey Lamar return for 18 yards to Ham36. Tackled by Bryn Roy.,0,7
12:14,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton -5 yards.,0,7
11:56,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Eric McCree.,0,7
11:41,2,Rush,0,Dan LeFevour rush for no gain to the Ham31. Tackled by Alan-Michael Cash.,0,7
10:55,2,No Yards,29,Delbert Alvarado punts for 34 yards to Mtl30. Penalty: No Yards on Hamilton (Nate Bussey) -5 yards.,0,7
10:39,0,Pass Interference,-10,Penalty: Pass Interference on Montreal (Wallace Wright) -10 yards.,0,7
10:28,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Michael Campbell.,0,7
10:08,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for David Clowney.,0,7
09:48,3,Punt,3,Sean Whyte punts for 43 yards to Ham27. Ouslet Volcy return for 3 yards to Ham30. Tackled by Bear Woods.,0,7
09:21,1,Pass,15,Dan LeFevour pass to Greg Ellingson for 15 yards to the Ham45. Tackled by Chip Cox.,0,7
08:45,1,Pass,37,Dan LeFevour pass to C.J. Gable for 37 yards to the Mtl28. Tackled by Jerald Brown.,0,7
08:00,1,Pass,7,Dan LeFevour pass to Onrea Jones for 7 yards to the Mtl21. Tackled by Billy Parker.,0,7
07:26,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Marc Dile) -5 yards.,0,7
07:10,2,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Ouslet Volcy.,0,7
06:32,2,Missed Field Goal,33,Delbert Alvarado 33 yard field goal attempt is GOOD.,3,7
06:32,0,Kickoff,19,Delbert Alvarado kicks off to the Mtl6. Noel Devine return for 19 yards to Mtl25. Tackled by Simon Charbonneau-Campeau.,3,7
06:23,1,Rush,-7,Chris Jennings rush for a loss of 7 yards to the Mtl18. Tackled by Ricardo Colclough.,3,7
05:33,2,Offside,5,Penalty: Offside on Hamilton (Shomari Williams) 5 yards.,3,7
05:10,2,Pass,15,Josh Neiswander pass to Wallace Wright for 15 yards to the Mtl38. Tackled by Ricardo Colclough.,3,7
04:41,1,Pass,6,Josh Neiswander pass to Michael Campbell for 6 yards to the Mtl44. Tackled by Jamall Johnson.,3,7
04:04,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Wallace Wright.,3,7
