Time,Down,Type,Yards,Details,Edmonton,Hamilton
15:00,0,Kickoff,21,"Luca Congi kicks off to the Edm19. Hugh Charles return for 21 yards to Edm40., recovered by Ham (Matt Bucknor). Tackled by Hugh Charles.",0,0
14:40,1,Pass,5,Henry Burris pass to Greg Ellingson for 5 yards to the Edm35. Tackled by T.J. Hill.,0,0
14:24,2,Offside,-5,Penalty: Offside on Hamilton (Simon Charbonneau-Campeau) -5 yards.,0,0
13:49,2,Pass,5,Henry Burris pass to C.J. Gable for 5 yards to the Edm35. Tackled by J.C. Sherritt.,0,0
13:13,3,Missed Field Goal,30,47 yard field goal attempt by Luca Congi is NO GOOD.  Missed field goal returned by Joe Burnett to the Edm18. Tackled by Craig Marshall.,0,0
12:47,1,Pass,6,Mike Reilly pass to Fred Stamps for 6 yards to the Edm24. Tackled by Evan McCollough.,0,0
12:37,2,Rush,16,Mike Reilly rush for 16 yards to the Edm40. Tackled by Delvin Breaux.,0,0
11:41,1,Rush,70,Hugh Charles rush for 70 yards for a TOUCHDOWN.,6,0
11:24,0,Made Extra Point,0,Grant Shaw extra point is good.,7,0
11:24,0,Unnecessary Roughness,35,Grant Shaw kicks off to the Ham0. Lindsey Lamar return for 20 yards to Ham20. Tackled by Eric Samuels. Penalty: Unnecessary Roughness on Edmonton (Elie Ngoyi) 15 yards.,7,0
11:18,1,Sack,-10,Sack at Ham25 for a loss of 10 yards by Odell Willis.,7,0
10:48,2,Offside,-5,Penalty: Offside on Hamilton (Simon Charbonneau-Campeau) -5 yards.,7,0
10:07,2,Time Count,-5,Penalty: Time Count on Hamilton (Henry Burris) -5 yards.,7,0
09:46,2,Sack,-14,Sack at Ham1 for a loss of 14 yards by Odell Willis.,7,0
09:30,3,Safety,-1,Safety,9,0
09:30,0,Kickoff,24,Luca Congi kicks off to the Edm25. Joe Burnett return for 24 yards to Edm49. Tackled by Arthur Hobbs.,9,0
09:18,1,Rush,18,Mike Reilly rush for 18 yards to the Ham43.,9,0
