Time,Down,Type,Yards,Details,Hamilton,Saskatchewan
15:00,0,Kickoff,7,Ricky Schmitt kicks off to the Ham0. Lindsey Lamar return for 7 yards to Ham7. Tackled by Eddie Russ.,0,0
14:51,1,Pass,14,Henry Burris pass to Samuel Giguere for 14 yards to the Ham21. Tackled by Prince Miller.,0,0
14:11,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson defensed by Dwight Anderson.,0,0
13:46,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Lindsey Lamar.,0,0
13:24,3,Punt,17,Josh Bartel punts for 48 yards to Ssk41. Jock Sanders return for 17 yards to Ham52. Tackled by Nate Bussey.,0,0
13:05,1,Rush,7,Kory Sheets rush for 7 yards to the Ham45. Tackled by Erik Harris.,0,0
12:31,2,Rush,6,Kory Sheets rush for 6 yards to the Ham39. Tackled by Terrence Moore.,0,0
12:06,1,Rush,-1,Kory Sheets rush for a loss of 1 yard to the Ham40. Tackled by Evan McCollough.,0,0
11:18,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,0,0
11:05,3,No Yards,6,Ricky Schmitt punts for 21 yards to Ham19. Penalty: No Yards on Saskatchewan (Cory Huclack) -15 yards.,0,0
10:47,1,Pass,12,Henry Burris pass to Bakari Grant for 12 yards to the Ham46. Tackled by Woodny Turenne.,0,0
10:33,1,Fumble,14,"Henry Burris pass to Greg Ellingson for 14 yards to the Ssk50. FUMBLE, recovered by Ssk (Weldon Brown). Tackled by John Delahunt.",0,0
09:49,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,0,0
09:47,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,0,0
09:26,3,Holding,34,Ricky Schmitt punts for 29 yards to Ham31. Penalty: No Yards on Saskatchewan (Daryl Stephenson) -5 yards. Penalty: Holding on Hamilton (Dahrran Diedrick) 10 yards.,0,0
09:07,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Justin Hilton.,0,0
08:54,2,Pass,9,Henry Burris pass to Greg Ellingson for 9 yards to the Ham35. Tackled by Prince Miller.,0,0
08:23,3,Punt,13,Josh Bartel punts for 67 yards to Ssk8. Jock Sanders return for 13 yards to Ssk21. Tackled by Shomari Williams.,0,0
08:00,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk26. Tackled by Evan McCollough.,0,0
07:29,2,Pass,9,Darian Durant pass to Chris Getzlaf for 9 yards to the Ssk35. Tackled by Rico Murray.,0,0
07:02,1,Rush,6,Kory Sheets rush for 6 yards to the Ssk41. Tackled by Rico Murray.,0,0
06:28,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,0,0
06:02,3,No Yards,23,Ricky Schmitt punts for 28 yards to Ham41. Penalty: No Yards on Saskatchewan (Diamond Ferri) -5 yards.,0,0
05:37,1,Pass,5,Henry Burris pass to Bakari Grant for 5 yards to the Ham51. Tackled by Woodny Turenne.,0,0
05:00,2,Pass,4,Henry Burris pass to Samuel Giguere for 4 yards to the Ham55. Tackled by Eddie Russ.,0,0
04:35,3,Unnecessary Roughness,16,Henry Burris rush for 1 yard to the Ssk54. Tackled by Jermaine McElveen. Penalty: Unnecessary Roughness on Saskatchewan (Hilee Taylor) 15 yards.,0,0
04:03,1,Rush,11,Kory Sheets rush for 11 yards to the Ssk50. Tackled by Courtney Stephen.,0,0
03:38,1,Rush,-2,Kory Sheets rush for a loss of 2 yards to the Ssk48. Tackled by Jamall Johnson.,0,0
03:08,2,Pass,16,Darian Durant pass to Weston Dressler for 16 yards to the Ham46. Tackled by Courtney Stephen.,0,0
02:30,1,Pass,6,Darian Durant pass to Geroy Simon for 6 yards to the Ham40. Tackled by Evan McCollough.,0,0
02:01,2,Offside,5,Penalty: Offside on Hamilton (Evan McCollough) 5 yards.,0,0
01:31,1,Pass,14,Darian Durant pass to Jock Sanders for 14 yards to the Ham21. Tackled by Evan McCollough.,0,0
01:05,1,Pass,15,Darian Durant pass to Scott McHenry for 15 yards to the Ham6. Tackled by Raymond Brown.,0,0
00:01,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Jock Sanders.,0,0
15:00,2,Incomplete Pass,0,Darian Durant incomplete pass.,0,0
