Time,Down,Type,Yards,Details,Hamilton,Winnipeg
15:00,0,Kickoff,15,Sandro DeAngelis kicks off to the Ham15. Chevon Walker return for 15 yards to Ham30. Tackled by Marty Markett.,0,0
14:56,1,Pass,10,Henry Burris pass to Onrea Jones for 10 yards to the Ham40. Tackled by Dan West.,0,0
14:35,1,Rush,2,C.J. Gable rush for 2 yards to the Ham42. Tackled by Ian Wild.,0,0
14:03,2,Pass,14,Henry Burris pass to Greg Ellingson for 14 yards to the Wpg54. Tackled by Cauchy Muamba.,0,0
13:21,1,Pass,23,Henry Burris pass to Greg Ellingson for 23 yards to the Wpg31. Tackled by Brandon Stewart.,0,0
12:38,1,Rush,-3,Samuel Giguere rush for a loss of 3 yards to the Wpg34. Tackled by Alex Suber.,0,0
11:56,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Andy Fantuz.,0,0
11:25,3,Missed Field Goal,41,Luca Congi 41 yard field goal attempt is GOOD.,3,0
11:25,1,Pass,19,Max Hall pass to Michel-Pierre Pontbriand for 19 yards to the Wpg54. Tackled by Dee Webb.,3,0
10:45,1,Rush,0,Chad Simpson rush for no gain to the Wpg54. Tackled by Simoni Lawrence.,3,0
10:07,2,Rush,2,Max Hall rush for 2 yards to the Ham54. Tackled by Eric Norwood.,3,0
09:25,3,Punt,3,Mike Renaud punts for 48 yards to Ham6. Onrea Jones return for 3 yards to Ham9. Tackled by James Green.,3,0
08:55,1,Pass,12,Henry Burris pass to Greg Ellingson for 12 yards to the Ham21. Tackled by Jovon Johnson.,3,0
08:21,1,Pass,9,Henry Burris pass to Andy Fantuz for 9 yards to the Ham30. Tackled by Ian Wild.,3,0
07:47,2,Pass,42,Henry Burris pass to C.J. Gable for 42 yards to the Wpg38. Tackled by Demond Washington.,3,0
06:49,1,Pass,10,Henry Burris pass to Chevon Walker for 10 yards to the Wpg28. Tackled by Desia Dunn.,3,0
06:25,1,Pass,8,Dan LeFevour pass to Andy Fantuz for 8 yards to the Wpg20. Tackled by Cauchy Muamba.,3,0
05:45,2,Rush,2,Chevon Walker rush for 2 yards to the Wpg18. Tackled by Henoc Muamba.,3,0
05:00,0,Pass Interference,17,Penalty: Pass Interference on Winnipeg (Alex Suber) 17 yards.,3,0
04:31,1,Pass,1,Dan LeFevour pass to John Delahunt for 1 yard for a TOUCHDOWN.,9,0
04:17,0,Made Extra Point,0,Luca Congi extra point is good.,10,0
04:17,0,Unnecessary Roughness,42,Luca Congi kicks off to the Wpg7. Aaron Woods return for 27 yards to Wpg34. Tackled by Chevon Walker. Penalty: Unnecessary Roughness on Hamilton (Samuel Giguere) 15 yards.,10,0
