Time,Down,Type,Yards,Details,Winnipeg,Hamilton
15:00,0,Kickoff,19,Luca Congi kicks off to the Wpg13. Aaron Woods return for 19 yards to Wpg32. Tackled by Frederic Plesius.,0,0
14:53,1,Pass,4,Max Hall pass to Terrence Edwards for 4 yards to the Wpg36. Tackled by Evan McCollough.,0,0
14:31,2,Incomplete Pass,0,Max Hall incomplete pass intended for Jade Etienne.,0,0
13:56,3,Illegal Punt,29,Mike Renaud punts for 39 yards to Ham35. Penalty: Illegal Punt on Winnipeg (Mike Renaud) -10 yards.,0,0
13:34,1,Pass,13,Henry Burris pass to Andy Fantuz for 13 yards to the Wpg52. Tackled by Alex Suber.,0,0
13:12,1,Pass,23,Henry Burris pass to Tavoy Moore for 23 yards to the Wpg29. Tackled by Desia Dunn.,0,0
11:44,1,Pass,29,Onrea Jones pass to Dan LeFevour for 29 yards for a TOUCHDOWN.,0,6
11:26,0,Made Extra Point,0,Luca Congi extra point is good.,0,7
11:26,0,Kickoff,17,Luca Congi kicks off to the Wpg18. Aaron Woods return for 17 yards to Wpg35. Tackled by Brandon Isaac.,0,7
11:19,1,Rush,5,Chad Simpson rush for 5 yards to the Wpg40. Tackled by Torrey Davis.,0,7
10:43,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for  .,0,7
10:28,3,Punt,4,Mike Renaud punts for 47 yards to Ham23. Tavoy Moore return for 4 yards to Ham27. Tackled by Pierre-Luc Labbe.,0,7
09:59,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,0,7
09:45,2,Pass,11,Henry Burris pass to Andy Fantuz for 11 yards to the Ham38. Tackled by Desia Dunn.,0,7
09:00,1,Pass,22,Henry Burris pass to Greg Ellingson for 22 yards to the Wpg50. Tackled by Henoc Muamba.,0,7
08:31,1,Rush,3,C.J. Gable rush for 3 yards to the Wpg47. Tackled by Henoc Muamba.,0,7
08:13,2,Offside,5,Penalty: Offside on Winnipeg (Alex Hall) 5 yards.,0,7
07:38,2,Rush,2,Tavoy Moore rush for 2 yards to the Wpg40. Tackled by Henoc Muamba.,0,7
07:18,1,Pass,5,Dan LeFevour pass to C.J. Gable for 5 yards to the Wpg35. Tackled by Henoc Muamba.,0,7
06:23,2,Pass,2,Dan LeFevour pass to C.J. Gable for 2 yards to the Wpg33. Tackled by Demond Washington.,0,7
05:27,3,Missed Field Goal,41,Luca Congi 41 yard field goal attempt is GOOD.,0,10
05:27,0,Kickoff,43,Luca Congi kicks off to the Wpg11. Aaron Woods return for 43 yards to Wpg54. Tackled by Frederic Plesius.,0,10
05:19,1,Fumble,25,"Buck Pierce pass to Michel-Pierre Pontbriand for 25 yards to the Ham31. FUMBLE, recovered by Ham (Dee Webb). Tackled by Carl Fitzgerald.",0,10
04:54,1,Pass,17,Henry Burris pass to Bakari Grant for 17 yards to the Ham48. Tackled by Demond Washington.,0,10
04:26,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Tavoy Moore.,0,10
04:10,2,Pass,11,Henry Burris pass to Bakari Grant for 11 yards to the Wpg51. Tackled by Jovon Johnson.,0,10
03:50,1,Rush,11,C.J. Gable rush for 11 yards to the Wpg40. Tackled by Ian Wild.,0,10
03:19,1,Pass,9,Henry Burris pass to Tavoy Moore for 9 yards to the Wpg31. Tackled by Henoc Muamba.,0,10
02:32,2,Rush,2,Dan LeFevour rush for 2 yards to the Wpg29. Tackled by Freddie Harris.,0,10
