Time,Down,Type,Yards,Details,BC,Hamilton
15:00,0,Kickoff,18,Luca Congi kicks off to the BC23. Marco Iannuzzi return for 18 yards to BC41. Tackled by Dee Webb.,0,0
14:56,1,Pass,4,Travis Lulay pass to Courtney Taylor for 4 yards to the BC45. Tackled by Courtney Stephen.,0,0
14:20,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore.,0,0
13:52,3,Punt,17,Paul McCallum punts for 40 yards to Ham25. Tavoy Moore return for 17 yards to Ham42. Tackled by Kyle Jones.,0,0
13:37,1,Rush,15,C.J. Gable rush for 15 yards to the BC53. Tackled by Korey Banks.,0,0
13:16,1,Pass,5,Henry Burris pass to Bakari Grant for 5 yards to the BC48. Tackled by Dante Marsh.,0,0
12:38,2,Pass,4,Henry Burris pass to Andy Fantuz for 4 yards to the BC44. Tackled by J.R. LaRose.,0,0
11:49,3,Rush,1,Dan LeFevour rush for 1 yard to the BC43. Tackled by Keron Williams.,0,0
11:30,1,Pass,23,Henry Burris pass to C.J. Gable for 23 yards to the BC20. Tackled by Keron Williams.,0,0
10:51,1,Rush,2,C.J. Gable rush for 2 yards to the BC18. Tackled by Josh Bell.,0,0
09:57,2,Sack,-4,Sack at BC22 for a loss of 4 yards by Adam Bighill.,0,0
08:48,3,Missed Field Goal,29,Luca Congi 29 yard field goal attempt is GOOD.,0,3
08:48,0,Kickoff,12,Luca Congi kicks off to the BC17. Marco Iannuzzi return for 12 yards to BC29. Tackled by Matt Bucknor.,0,3
08:45,1,Rush,3,Andrew Harris rush for 3 yards to the BC32. Tackled by Brian Bulcke.,0,3
08:14,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux defensed by Torrey Davis.,0,3
07:53,3,Punt,1,Paul McCallum punts for 46 yards to Ham32. Tavoy Moore return for 1 yard to Ham33. Tackled by Anton McKenzie.,0,3
07:37,1,Pass,13,Henry Burris pass to Greg Ellingson for 13 yards to the Ham46. Tackled by Cord Parks.,0,3
07:05,1,Pass,21,Henry Burris pass to Andy Fantuz for 21 yards to the BC43. Tackled by Cord Parks.,0,3
06:46,1,Face Mask,22,Henry Burris pass intended for Dave Stala INTERCEPTED by Cord Parks and returned for 7 yards. Tackled by Dave Stala. Penalty: Face Mask on Hamilton (Dave Stala) 15 yards.,0,3
06:00,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,0,3
05:43,2,Offside,5,Penalty: Offside on Hamilton (Jamall Johnson) 5 yards.,0,3
05:19,2,Pass,6,Travis Lulay pass to Courtney Taylor for 6 yards to the Ham42. Tackled by Dee Webb.,0,3
05:02,1,Sack,-2,Sack at Ham44 for a loss of 2 yards by Brandon Isaac.,0,3
04:00,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,0,3
03:23,3,Punt,0,Paul McCallum punts for 37 yards to Ham7. No return.,0,3
03:11,1,Pass,8,Henry Burris pass to Onrea Jones for 8 yards to the Ham15. Tackled by Dante Marsh.,0,3
02:55,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton ( ) -5 yards.,0,3
02:20,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,0,3
02:07,3,Safety,-10,Safety,2,3
02:07,0,Kickoff,25,Luca Congi kicks off to the BC26. Tim Brown return for 25 yards to BC51. Tackled by Frederic Plesius.,2,3
02:01,1,Offside,5,Penalty: Offside on Hamilton (Eric Norwood) 5 yards.,2,3
01:49,1,Roughing Passer,34,Travis Lulay pass to Emmanuel Arceneaux for 19 yards to the Ham35. Tackled by Jamall Johnson. Penalty: Roughing Passer on Hamilton (Brandon Isaac) 15 yards.,2,3
01:21,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Shawn Gore defensed by Hasan Hazime.,2,3
01:04,2,Pass,12,Travis Lulay pass to Courtney Taylor for 12 yards to the Ham8. Tackled by Brandon Isaac.,2,3
00:49,1,Pass,5,Travis Lulay pass to Nick Moore for 5 yards to the Ham3. Tackled by Evan McCollough.,2,3
15:00,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris defensed by Simoni Lawrence.,2,3
14:21,3,Missed Field Goal,10,Paul McCallum 10 yard field goal attempt is GOOD.,5,3
14:21,0,Kickoff,19,Paul McCallum kicks off to the Ham16. Tavoy Moore return for 19 yards to Ham35. Tackled by Lin-J Shell.,5,3
14:14,1,Pass,15,Henry Burris pass to Bakari Grant for 15 yards to the Ham50. Tackled by J.R. LaRose.,5,3
13:40,1,Pass,8,Henry Burris pass to Andy Fantuz for 8 yards to the BC52. Tackled by Cord Parks.,5,3
13:12,2,Pass,15,Henry Burris pass to C.J. Gable for 15 yards to the BC37. Tackled by Josh Bell.,5,3
12:03,1,Pass,37,Henry Burris pass to Andy Fantuz for 37 yards for a TOUCHDOWN.,5,9
11:44,0,Made Extra Point,0,Luca Congi extra point is good.,5,10
11:44,0,Kickoff,17,Luca Congi kicks off to the BC15. Marco Iannuzzi return for 17 yards to BC32. Tackled by Frederic Plesius.,5,10
11:39,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux defensed by Simoni Lawrence.,5,10
11:28,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,5,10
10:58,3,Punt,15,Paul McCallum punts for 43 yards to Ham35. Tavoy Moore return for 15 yards to Ham50. Tackled by Lin-J Shell.,5,10
