Time,Down,Type,Yards,Details,Toronto,Hamilton
15:00,0,Kickoff,12,Brett Lauther kicks off to the Tor18. Major Culbert return for 12 yards to Tor30. Tackled by Erik Harris.,0,0
14:54,1,Rush,8,Jerious Norwood rush for 8 yards to the Tor38. Tackled by Arthur Hobbs.,0,0
14:30,2,Rush,2,Jerious Norwood rush for 2 yards to the Tor40. Tackled by Evan McCollough.,0,0
13:45,3,Rush,1,Zach Collaros rush for 1 yard to the Tor41. Tackled by Hasan Hazime.,0,0
13:10,1,Pass,5,Ricky Ray pass to Chad Owens for 5 yards to the Tor46. Tackled by Brandon Boudreaux.,0,0
12:42,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Chad Owens defensed by Rico Murray.,0,0
12:24,3,Unnecessary Roughness,17,Swayze Waters punts for 49 yards to Ham15. Brandon Banks return for 2 yards to Ham17. Penalty: Unnecessary Roughness on Toronto (Marcus Ball) 15 yards.,0,0
12:12,1,Pass,7,Henry Burris pass to Bakari Grant for 7 yards to the Ham39. Tackled by Neiko Thorpe.,0,0
11:33,2,Pass,9,Henry Burris pass to Luke Tasker for 9 yards to the Ham48. Tackled by Ricardo Colclough.,0,0
10:59,1,Rush,3,C.J. Gable rush for 3 yards to the Ham51. Tackled by Major Culbert.,0,0
10:29,2,Pass,11,Henry Burris pass to Onrea Jones for 11 yards to the Tor48. Tackled by Ricardo Colclough.,0,0
09:52,0,Fumble,5,"FUMBLE, recovered by Tor (Neiko Thorpe). . Tackled by C.J. Gable",0,0
09:25,1,Pass,26,Ricky Ray pass to Dontrelle Inman for 26 yards to the Ham29. Tackled by Nate Bussey.,0,0
08:45,1,Pass,6,Ricky Ray pass to Andre Durie for 6 yards to the Ham23. Tackled by Rico Murray.,0,0
08:25,2,Rush,-5,Jerious Norwood rush for a loss of 5 yards to the Ham28. Tackled by Brandon Isaac.,0,0
07:53,3,Field Goal Single,40,40 yard field goal attempt by Swayze Waters is NO GOOD (Single).,1,0
07:53,1,Incomplete Pass,0,Dan LeFevour incomplete pass intended for Bakari Grant.,1,0
07:27,2,Pass,18,Henry Burris pass to Dobson Collins for 18 yards to the Ham53. Tackled by Jamie Robinson.,1,0
07:03,1,Rush,6,C.J. Gable rush for 6 yards to the Tor51. Tackled by Jamie Robinson.,1,0
06:28,2,Rush,4,C.J. Gable rush for 4 yards to the Tor47. Tackled by Marcus Ball.,1,0
06:01,1,Pass,7,Henry Burris pass to Andy Fantuz for 7 yards to the Tor40. Tackled by Ricardo Colclough.,1,0
04:49,2,Safety,38,"Henry Burris pass to Luke Tasker for 39 yards to the Tor1. FUMBLE, recovered by Tor (Jalil Carter) and returned for a loss of 1 yard. Safety.",1,2
04:49,0,Kickoff,27,Swayze Waters kicks off to the Ham29. Brandon Banks return for 27 yards to Tor54. Tackled by Swayze Waters.,1,2
04:41,1,Offside,5,Penalty: Offside on Toronto (Khalif Mitchell) 5 yards.,1,2
04:23,0,Pass Interference,10,Penalty: Pass Interference on Toronto (Ricardo Colclough) 10 yards.,1,2
03:51,1,Offside,5,Penalty: Offside on Toronto (Alonzo Lawrence) 5 yards.,1,2
03:39,1,Rush,4,Brandon Banks rush for 4 yards to the Tor30. Tackled by  .,1,2
03:00,2,Rush,7,C.J. Gable rush for 7 yards to the Tor23. Tackled by Marcus Ball.,1,2
02:28,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,1,2
01:50,2,Offside,-5,Penalty: Offside on Hamilton (Bakari Grant) -5 yards.,1,2
01:39,2,Pass,27,Henry Burris pass to Dobson Collins for 27 yards to the Tor1. Tackled by Jalil Carter.,1,2
00:58,1,Rush,1,Dan LeFevour rush for 1 yard for a TOUCHDOWN.,1,8
00:36,0,Made Extra Point,0,Brett Lauther extra point is good.,1,9
00:36,0,Kickoff,29,Brett Lauther kicks off to the Tor14. Major Culbert return for 29 yards to Tor43. Tackled by Onrea Jones.,1,9
00:27,1,Offside,-5,Penalty: Offside on Toronto (Spencer Watt) -5 yards.,1,9
00:07,1,Sack,-7,Sack at Tor31 for a loss of 7 yards by Brandon Boudreaux.,1,9
15:00,2,Pass,9,Ricky Ray pass to Dontrelle Inman for 9 yards to the Tor40. Tackled by Courtney Stephen.,1,9
14:38,3,Illegal Block,-9,Swayze Waters punts for 45 yards to Ham0. Brandon Banks return for 1 yard to Ham0. Penalty: Illegal Block on Hamilton (Brandon Isaac) -10 yards.,1,9
14:07,1,Pass,12,Henry Burris pass to C.J. Gable for 12 yards to the Ham28. Tackled by Robert McCune.,1,9
13:40,1,Pass,7,Henry Burris pass to C.J. Gable for 7 yards to the Ham35. Tackled by Alonzo Lawrence.,1,9
13:05,2,Rush,5,C.J. Gable rush for 5 yards to the Ham40. Tackled by Major Culbert.,1,9
12:42,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Luke Tasker.,1,9
11:58,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,1,9
11:47,3,Punt,10,Josh Bartel punts for 44 yards to Tor26. Chad Owens return for 10 yards to Tor36. Tackled by C.O. Prime.,1,9
11:33,1,Fumble,41,"Ricky Ray pass to Jason Barnes for 37 yards to the Ham37. FUMBLE, recovered by Ham (Arthur Hobbs) and returned for 4 yards. Tackled by Jason Barnes.",1,9
11:15,1,Pass,6,Henry Burris pass to Onrea Jones for 6 yards to the Ham47. Tackled by Alonzo Lawrence.,1,9
10:47,2,Pass,3,Henry Burris pass to Dobson Collins for 3 yards to the Ham50. Tackled by Neiko Thorpe.,1,9
10:16,3,Rush,2,Dan LeFevour rush for 2 yards to the Ham52. Tackled by Robert McCune.,1,9
09:40,1,Pass,3,Henry Burris pass to Luke Tasker for 3 yards to the Ham55. Tackled by Marcus Ball.,1,9
09:21,2,Pass,44,Henry Burris pass to Brandon Banks for 44 yards to the Tor11. Tackled by Jamie Robinson.,1,9
08:48,1,Pass,10,Henry Burris pass to Dahrran Diedrick for 10 yards to the Tor1. Tackled by Neiko Thorpe.,1,9
07:36,1,Rush,1,Dan LeFevour rush for 1 yard for a TOUCHDOWN.,1,15
07:15,0,Made Extra Point,0,Brett Lauther extra point is good.,1,16
07:15,0,Kickoff,15,Brett Lauther kicks off to the Tor19. Chad Owens return for 15 yards to Tor34. Tackled by C.O. Prime.,1,16
07:09,1,Pass,13,Ricky Ray pass to Jerious Norwood for 13 yards to the Tor47. Tackled by Brandon Isaac.,1,16
06:46,1,Rush,1,Jerious Norwood rush for 1 yard to the Tor48. Tackled by Hasan Hazime.,1,16
06:14,2,Objectionable Conduct,10,Ricky Ray incomplete pass intended for Spencer Watt. Penalty: Objectionable Conduct on Hamilton (Simoni Lawrence) 10 yards.,1,16
05:45,1,Sack,-6,Sack at Tor52 for a loss of 6 yards by Torrey Davis.,1,16
05:06,2,Pass,11,Ricky Ray pass to Andre Durie for 11 yards to the Ham47. Tackled by Rico Murray.,1,16
04:46,3,Objectionable Conduct,21,Swayze Waters punts for 43 yards to Ham4. Brandon Banks return for 11 yards to Ham15. Tackled by Herve Tonye-Tonye. Penalty: Objectionable Conduct on Toronto (Marcus Ball) 10 yards.,1,16
04:33,1,Rush,2,C.J. Gable rush for 2 yards to the Ham27. Tackled by Major Culbert.,1,16
04:00,2,Sack,-6,Sack at Ham21 for a loss of 6 yards by Khalif Mitchell.,1,16
03:25,3,Holding,58,Josh Bartel punts for 48 yards to Tor41. Penalty: Holding on Toronto (Curtis Steele) 10 yards.,1,16
02:52,1,Pass,-1,Ricky Ray pass to Chad Owens for a loss of 1 yard to the Tor30. Tackled by Emanuel Davis.,1,16
02:39,2,Pass,5,Ricky Ray pass to Andre Durie for 5 yards to the Tor35. Tackled by Brandon Isaac.,1,16
02:15,3,Punt,0,Swayze Waters punts for 34 yards to Ham41. No return.,1,16
02:02,1,Pass,10,Henry Burris pass to Bakari Grant for 10 yards to the Ham51. Tackled by Neiko Thorpe.,1,16
01:46,1,Unnecessary Roughness,52,Henry Burris pass intended for Andy Fantuz INTERCEPTED by Ricardo Colclough and returned for 37 yards. Tackled by C.J. Gable. Penalty: Unnecessary Roughness on Hamilton (Henry Burris) 15 yards.,1,16
01:33,0,Holding,-10,Penalty: Holding on Toronto (Joe Eppele) -10 yards.,1,16
01:25,1,Offside,-5,Penalty: Offside on Toronto (Dontrelle Inman) -5 yards.,1,16
01:19,1,Pass,32,Ricky Ray pass to Spencer Watt for 32 yards for a TOUCHDOWN.,7,16
01:19,0,Made Extra Point,0,Swayze Waters extra point is good.,8,16
01:19,0,Kickoff,24,Swayze Waters kicks off to the Ham4. Brandon Banks return for 24 yards to Ham28. Tackled by Neiko Thorpe.,8,16
01:13,1,Rush,9,C.J. Gable rush for 9 yards to the Ham37. Tackled by Robert McCune.,8,16
01:08,2,Rush,6,C.J. Gable rush for 6 yards to the Ham43. Tackled by Robert McCune.,8,16
00:53,1,Pass,13,Henry Burris pass to Dobson Collins for 13 yards to the Tor54. Tackled by Alonzo Lawrence.,8,16
00:28,1,Sack,-9,Sack at Ham47 for a loss of 9 yards by Cleyon Laing.,8,16
00:19,2,Rush,13,C.J. Gable rush for 13 yards to the Tor50. Tackled by Jalil Carter.,8,16
15:00,0,Kickoff,36,Swayze Waters kicks off to the Ham10. Brandon Banks return for 36 yards to Ham46. Tackled by Swayze Waters.,8,16
14:51,1,Pass,5,Henry Burris pass to Onrea Jones for 5 yards to the Ham51. Tackled by Alonzo Lawrence.,8,16
14:28,2,Pass,14,Henry Burris pass to Onrea Jones for 14 yards to the Tor45. Tackled by Alonzo Lawrence.,8,16
13:20,1,Pass,6,Henry Burris pass to Bakari Grant for 6 yards to the Tor39. Tackled by Ricardo Colclough.,8,16
12:48,2,Pass,14,Henry Burris pass to Luke Tasker for 14 yards to the Tor25. Tackled by Marcus Ball.,8,16
12:28,1,Pass,4,Henry Burris pass to C.J. Gable for 4 yards to the Tor21. Tackled by Ricardo Colclough.,8,16
