Time,Down,Type,Yards,Details,Montreal,Winnipeg
15:00,0,Kickoff,19,Justin Palardy kicks off to the Mtl22. Noel Devine return for 19 yards to Mtl41. Tackled by Demond Washington.,0,0
14:42,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,0,0
14:22,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Chris Jennings.,0,0
14:16,3,Punt,10,Sean Whyte punts for 46 yards to Wpg23. Jovon Johnson return for 10 yards to Wpg33. Tackled by Aaron Lavarias.,0,0
13:48,1,Interception,6,Buck Pierce pass intended for Clarence Denmark INTERCEPTED by Geoff Tisdale and returned for 6 yards. Tackled by Clarence Denmark.,0,0
13:31,1,Rush,11,Noel Devine rush for 11 yards to the Wpg29. Tackled by Terrell Parker.,0,0
12:57,1,Pass,26,Anthony Calvillo pass to S.J. Green for 26 yards to the Wpg3. Tackled by Demond Washington.,0,0
11:55,1,Rush,3,Chris Jennings rush for 3 yards for a TOUCHDOWN.,6,0
11:39,0,Made Extra Point,0,Sean Whyte extra point is good.,7,0
11:39,0,Kickoff,23,Sean Whyte kicks off to the Wpg8. Will Ford return for 23 yards to Wpg31. Tackled by Kyries Hebert.,7,0
11:24,1,Pass,3,Buck Pierce pass to Terrence Edwards for 3 yards to the Wpg34. Tackled by Billy Parker.,7,0
11:04,2,Rush,4,Chad Simpson rush for 4 yards to the Wpg38. Tackled by Billy Parker.,7,0
10:10,3,Punt,78,Mike Renaud punts for 40 yards to Mtl32. Tyron Carrier return for 78 yards to Wpg0 for a TOUCHDOWN.,13,0
09:58,0,Made Extra Point,0,Sean Whyte extra point is good.,14,0
09:58,0,Kickoff,24,Sean Whyte kicks off to the Wpg8. Will Ford return for 24 yards to Wpg32. Tackled by Nicolas Boulay.,14,0
09:44,1,Pass,46,Buck Pierce pass to Clarence Denmark for 46 yards to the Mtl32. Tackled by Geoff Tisdale.,14,0
09:07,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Clarence Denmark.,14,0
08:59,2,Offside,-5,Penalty: Offside on Winnipeg (Terrence Edwards) -5 yards.,14,0
08:25,2,Pass,9,Buck Pierce pass to Cory Watson for 9 yards to the Mtl28. Tackled by Kyries Hebert.,14,0
07:43,3,Missed Field Goal,35,Justin Palardy 35 yard field goal attempt is GOOD.,14,3
07:43,0,Kickoff,21,Justin Palardy kicks off to the Mtl10. Noel Devine return for 21 yards to Mtl31. Tackled by Freddie Harris.,14,3
07:28,1,Pass,13,Anthony Calvillo pass to Noel Devine for 13 yards to the Mtl44. Tackled by Brandon Stewart.,14,3
07:08,1,Pass,12,Anthony Calvillo pass to Arland Bruce for 12 yards to the Wpg54. Tackled by Brandon Stewart.,14,3
06:22,1,Rush,-1,Chris Jennings rush for a loss of 1 yard to the Mtl55. Tackled by Alex Hall.,14,3
05:37,2,Sack,-7,Sack at Mtl48 for a loss of 7 yards by Alex Hall.,14,3
05:06,3,Punt,1,Sean Whyte punts for 37 yards to Wpg25. Jovon Johnson return for 1 yard to Wpg26. Tackled by Jordan Verdone.,14,3
04:55,1,Rush,-2,Chad Simpson rush for a loss of 2 yards to the Wpg24. Tackled by John Bowman.,14,3
04:29,2,Pass,11,Buck Pierce pass to Terrence Edwards for 11 yards to the Wpg35. Tackled by Jerald Brown.,14,3
04:00,3,Punt,0,Mike Renaud punts for 54 yards to Mtl21. Tyron Carrier return for no gain to Mtl21. Tackled by Henoc Muamba.,14,3
03:35,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce.,14,3
03:13,2,Interception,46,Anthony Calvillo pass intended for Jamel Richardson INTERCEPTED by Demond Washington and returned for 46 yards. Tackled by Luc Brodeur-Jourdain.,14,3
02:33,1,Offside,3,Penalty: Offside on Montreal (Shea Emry) 3 yards.,14,3
02:28,1,Rush,0,Chad Simpson rush for no gain to the Mtl3. Tackled by Chip Cox.,14,3
02:15,2,Roughing Passer,18,Buck Pierce pass to Chris Matthews for 3 yards for a TOUCHDOWN. Penalty: Roughing Passer on Montreal (Shea Emry) 15 yards.,14,9
01:43,0,Made Extra Point,0,Justin Palardy extra point is good.,14,10
01:43,0,Kickoff,26,Justin Palardy kicks off to the Mtl3. Noel Devine return for 26 yards to Mtl29. Tackled by Henoc Muamba.,14,10
01:30,1,Rush,7,Noel Devine rush for 7 yards to the Mtl36. Tackled by Alex Suber.,14,10
01:11,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,14,10
00:55,3,Illegal Block,43,Sean Whyte punts for 48 yards to Wpg26. Penalty: Unnecessary Roughness on Montreal (Kyries Hebert) -15 yards. Penalty: Illegal Block on Winnipeg (Alex Suber) 10 yards.,14,10
00:40,1,Offside,5,Penalty: Offside on Montreal (Jerald Brown) 5 yards.,14,10
00:25,1,Unnecessary Roughness,27,Chad Simpson rush for 12 yards to the Wpg48. Tackled by Byron Parker. Penalty: Unnecessary Roughness on Montreal (Mike Edem) 15 yards.,14,10
00:07,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Terrence Edwards defensed by Jerald Brown.,14,10
15:00,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Terrence Edwards.,14,10
14:27,3,Punt Single,0,Mike Renaud punts for 63 yards to Mtl0. No return (Single).,14,11
14:25,1,Rush,16,Chris Jennings rush for 16 yards to the Mtl51. Tackled by Terrell Parker.,14,11
13:49,1,Rush,5,Noel Devine rush for 5 yards to the Wpg54. Tackled by Alex Suber.,14,11
13:13,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Eric Deslauriers.,14,11
12:48,3,Punt,3,Sean Whyte punts for 45 yards to Wpg9. Jovon Johnson return for 3 yards to Wpg12. Tackled by Chip Cox.,14,11
12:34,1,Interception,0,Buck Pierce pass intended for Terrence Edwards INTERCEPTED by Mike Edem. No return. Tackled by Terrence Edwards.,14,11
