Time,Down,Type,Yards,Details,Montreal,Saskatchewan
15:00,0,Kickoff,22,Ricky Schmitt kicks off to the Mtl10. Tyron Carrier return for 22 yards to Mtl32. Tackled by Renauld Williams.,0,0
14:50,1,Rush,3,Jerome Messam rush for 3 yards to the Mtl35. Tackled by John Chick.,0,0
14:23,2,Pass,6,Anthony Calvillo pass to D.L. Moore for 6 yards to the Mtl41. Tackled by Dwight Anderson.,0,0
13:47,3,No Yards,34,Sean Whyte punts for 39 yards to Ssk30. Penalty: No Yards on Montreal (Chip Cox) -5 yards.,0,0
13:29,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,0,0
13:08,2,Offside,5,Penalty: Offside on Montreal (Ed Gainey) 5 yards.,0,0
12:52,2,Pass,8,Darian Durant pass to Weston Dressler for 8 yards to the Ssk48. Tackled by Billy Parker.,0,0
12:22,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk51. Tackled by Michael Klassen.,0,0
11:44,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,0,0
11:27,3,Punt,6,Ricky Schmitt punts for 43 yards to Mtl16. Tyron Carrier return for 6 yards to Mtl22. Tackled by Paul Woldu.,0,0
11:09,1,Pass,6,Anthony Calvillo pass to Jerome Messam for 6 yards to the Mtl28. Tackled by Craig Butler.,0,0
11:00,2,Pass,74,Anthony Calvillo pass to S.J. Green for 74 yards to the Ssk8. Tackled by Dwight Anderson.,0,0
10:05,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,0,0
09:37,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,0,0
09:02,3,Missed Field Goal,15,Sean Whyte 15 yard field goal attempt is GOOD.,3,0
09:02,0,Kickoff,43,Sean Whyte kicks off to the Ssk8. Jock Sanders return for 43 yards to Ssk51. Tackled by Michael Carter.,3,0
08:51,1,Pass,27,Darian Durant pass to Chris Getzlaf for 27 yards to the Mtl32. Tackled by Jerald Brown.,3,0
08:32,1,Rush,0,Kory Sheets rush for no gain to the Mtl32. Tackled by Kyries Hebert.,3,0
07:59,2,Rush,11,Darian Durant rush for 11 yards to the Mtl21. Tackled by Mike Edem.,3,0
07:18,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,3,0
06:29,2,Pass,21,Darian Durant pass to Weston Dressler for 21 yards for a TOUCHDOWN.,3,6
06:13,0,Made Extra Point,0,Chris Milo extra point is good.,3,7
06:13,0,Kickoff,25,Ricky Schmitt kicks off to the Mtl15. Tyrell Sutton return for 25 yards to Mtl40. Tackled by Tyron Brackenridge.,3,7
06:07,1,Pass,-1,Anthony Calvillo pass to Tyron Carrier for a loss of 1 yard to the Mtl39. Tackled by Weldon Brown.,3,7
05:23,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green defensed by Macho Harris.,3,7
04:56,3,Punt,8,Sean Whyte punts for 49 yards to Ssk22. Jock Sanders return for 8 yards to Ssk30. Tackled by Chip Cox.,3,7
04:40,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk34. Tackled by Alan-Michael Cash.,3,7
04:10,2,Rush,6,Darian Durant rush for 6 yards to the Ssk40. Tackled by Aaron Lavarias.,3,7
03:30,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,3,7
03:10,2,Pass,3,Darian Durant pass to Kory Sheets for 3 yards to the Ssk43. Tackled by Chip Cox.,3,7
02:39,3,Illegal Punt,30,Ricky Schmitt punts for 40 yards to Mtl27. Penalty: Illegal Punt on Saskatchewan (Ricky Schmitt) -10 yards.,3,7
02:23,1,Rush,5,Jerome Messam rush for 5 yards to the Mtl42. Tackled by Hilee Taylor.,3,7
01:43,2,Rush,5,Jerome Messam rush for 5 yards to the Mtl47. Tackled by Renauld Williams.,3,7
01:10,3,Rush,4,Tanner Marsh rush for 4 yards to the Mtl51. Tackled by Weldon Brown.,3,7
00:35,1,Rush,18,Arland Bruce rush for 18 yards to the Ssk41. Tackled by Weldon Brown.,3,7
00:01,1,Rush,4,Jerome Messam rush for 4 yards to the Ssk37. Tackled by Craig Butler.,3,7
15:00,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,3,7
14:26,3,Field Goal Single,11,51 yard field goal attempt by Sean Whyte is NO GOOD.  Missed field goal returned by Weston Dressler to the Ssk0 (Single).,4,7
14:26,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk41. Tackled by Kyries Hebert.,4,7
14:26,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk41. Tackled by Kyries Hebert.,4,7
14:05,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler defensed by Byron Parker.,4,7
13:48,3,Illegal Block,-2,Ricky Schmitt punts for 39 yards to Mtl30. Tyron Carrier return for 8 yards to Mtl38. Penalty: Illegal Block on Montreal (Mike Edem) -10 yards.,4,7
13:32,1,Pass,-3,Josh Neiswander pass to S.J. Green for a loss of 3 yards to the Mtl25. Tackled by Terrell Maze.,4,7
13:06,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,4,7
12:42,3,Illegal Block,43,Sean Whyte punts for 38 yards to Ssk47. Penalty: No Yards on Montreal (Brandon Denson) -5 yards. Penalty: Illegal Block on Saskatchewan (Diamond Ferri) 10 yards.,4,7
12:23,1,Pass,13,Darian Durant pass to Chris Getzlaf for 13 yards to the Ssk55. Tackled by Byron Parker.,4,7
12:00,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,4,7
11:40,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,4,7
11:18,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Diamond Ferri) -5 yards.,4,7
10:52,3,Punt Single,68,Ricky Schmitt punts for 68 yards to Mtl0 (Single).,4,8
10:52,1,Rush,10,Jerome Messam rush for 10 yards to the Mtl45. Tackled by Macho Harris.,4,8
10:16,1,Rush,6,Jerome Messam rush for 6 yards to the Mtl51. Tackled by Keith Shologan.,4,8
09:35,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Brandon London.,4,8
09:03,3,Fumble,0,"Sean Whyte punts for 45 yards to Ssk14. FUMBLE, recovered by Ssk (Kyries Hebert). Jock Sanders return for no gain to Ssk14. Tackled by Jock Sanders.",4,8
08:24,1,Pass,9,Josh Neiswander pass to Brandon London for 9 yards to the Ssk8. Tackled by Dwight Anderson.,4,8
08:10,2,Rush,2,Jerome Messam rush for 2 yards to the Ssk6. Tackled by John Chick.,4,8
07:33,1,Rush,4,Jerome Messam rush for 4 yards to the Ssk2. Tackled by Craig Butler.,4,8
07:00,2,Rush,-1,Jerome Messam rush for a loss of 1 yard to the Ssk3. Tackled by Weldon Brown.,4,8
05:46,3,Missed Field Goal,11,Sean Whyte 11 yard field goal attempt is GOOD.,7,8
05:46,1,Rush,7,Kory Sheets rush for 7 yards to the Ssk42. Tackled by Shea Emry.,7,8
05:24,2,Rush,3,Kory Sheets rush for 3 yards to the Ssk45. Tackled by Aaron Lavarias.,7,8
04:46,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,7,8
04:27,2,Pass,10,Darian Durant pass to Geroy Simon for 10 yards to the Ssk55. Tackled by Kyries Hebert.,7,8
03:30,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Jock Sanders.,7,8
03:25,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,7,8
02:54,3,Punt,11,Ricky Schmitt punts for 42 yards to Mtl13. Tyron Carrier return for 11 yards to Mtl24. Tackled by Graig Newman.,7,8
02:47,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Brandon London defensed by Tyron Brackenridge.,7,8
02:38,2,Fumble,19,"Josh Neiswander pass to Brandon London for 19 yards to the Mtl43. FUMBLE, recovered by Mtl (Brandon London).",7,8
02:28,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers.,7,8
02:07,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers.,7,8
02:00,3,Punt,19,Sean Whyte punts for 45 yards to Ssk22. Jock Sanders return for 19 yards to Ssk41. Tackled by Jonathan Beaulieu-Richard.,7,8
01:46,1,Pass,8,Darian Durant pass to Chris Getzlaf for 8 yards to the Ssk49. Tackled by Chip Cox.,7,8
01:40,2,Rush,7,Kory Sheets rush for 7 yards to the Mtl54. Tackled by Marc-Olivier Brouillette.,7,8
