Time,Down,Type,Yards,Details,BC,Montreal
15:00,0,Kickoff,22,Sean Whyte kicks off to the BC13. Tim Brown return for 22 yards to BC35. Tackled by Daryl Townsend.,0,0
14:42,1,Sack,-10,Sack at BC25 for no gain by Geoff Tisdale Recovered by BC (Travis Lulay),0,0
14:30,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Andrew Harris.,0,0
13:52,3,Punt,8,Paul McCallum punts for 52 yards to Mtl33. Tyron Carrier return for 8 yards to Mtl41. Tackled by Seydou Junior Haidara.,0,0
13:40,1,Rush,9,Jerome Messam rush for 9 yards to the Mtl50. Tackled by Adam Bighill.,0,0
13:14,2,Rush,2,Tanner Marsh rush for 2 yards to the Mtl52. Tackled by Eric Taylor.,0,0
12:04,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,0,0
11:59,2,Interception,6,Josh Neiswander pass intended for Arland Bruce INTERCEPTED by Ryan Phillips and returned for 6 yards. Tackled by Arland Bruce.,0,0
11:38,1,Sack,-9,Sack at BC42 for no gain by Mike Edem Recovered by BC (Travis Lulay),0,0
11:12,2,Pass,17,Travis Lulay pass to Andrew Harris for 17 yards to the Mtl51. Tackled by Jerald Brown.,0,0
10:27,3,Offside,5,Penalty: Offside on Montreal (B.J. Scott) 5 yards.,0,0
10:10,1,Pass,3,Travis Lulay pass to Marco Iannuzzi for 3 yards to the Mtl43. Tackled by Aaron Lavarias.,0,0
09:46,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Dean Valli) -5 yards.,0,0
09:18,2,Rush,10,Travis Lulay rush for 10 yards to the Mtl38. Tackled by Alan-Michael Cash.,0,0
08:14,3,Missed Field Goal,45,Paul McCallum 45 yard field goal attempt is GOOD.,3,0
08:14,1,Rush,5,Jerome Messam rush for 5 yards to the Mtl40. Tackled by Adam Bighill.,3,0
07:58,2,Pass,3,Josh Neiswander pass to Eric Deslauriers for 3 yards to the Mtl43. Tackled by Cord Parks.,3,0
07:20,3,Fumble,-43,Safety FUMBLE Recovered by Mtl (Sean Whyte),5,0
06:53,0,Kickoff,17,Sean Whyte kicks off to the BC26. Tim Brown return for 17 yards to BC43. Tackled by B.J. Scott.,5,0
06:47,1,Rush,6,Andrew Harris rush for 6 yards to the BC49. Tackled by Chip Cox.,5,0
06:25,2,Pass,22,Travis Lulay pass to Emmanuel Arceneaux for 22 yards to the Mtl39. Tackled by Geoff Tisdale.,5,0
05:40,0,Pass Interference,10,Penalty: Pass Interference on Montreal (Michael Klassen) 10 yards.,5,0
05:05,1,Pass,19,Travis Lulay pass to Courtney Taylor for 19 yards to the Mtl10.,5,0
04:20,1,Pass,10,Travis Lulay pass to Shawn Gore for 10 yards for a TOUCHDOWN.,11,0
