Time,Down,Type,Yards,Details,Toronto,Montreal
15:00,0,Kickoff,20,Sean Whyte kicks off to the Tor18.   return for 20 yards to Tor38. Tackled by Bear Woods.,0,0
14:53,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,0,0
14:29,2,Pass,12,Zach Collaros pass to Dontrelle Inman for 12 yards to the Tor50. Tackled by Byron Parker.,0,0
13:36,1,Fumble,44,"Zach Collaros pass to John Chiles for a loss of 3 yards to the Tor47. FUMBLE, recovered by Mtl (Geoff Tisdale) and returned for 47 yards for a TOUCHDOWN.",0,6
13:24,0,Made Extra Point,0,Sean Whyte extra point is good.,0,7
13:24,0,Unnecessary Roughness,35,Sean Whyte kicks off to the Tor30. Quinn Porter return for 20 yards to Tor50. Penalty: Unnecessary Roughness on Montreal (Tyrell Sutton) 15 yards.,0,7
13:19,1,Offside,-5,Penalty: Offside on Toronto (Dontrelle Inman) -5 yards.,0,7
13:04,1,Pass,4,Zach Collaros pass to Andre Durie for 4 yards to the Mtl46. Tackled by Moton Hopkins.,0,7
12:25,2,Pass,11,Zach Collaros pass to Andre Durie for 11 yards to the Mtl35. Tackled by Chip Cox.,0,7
11:30,3,Field Goal Single,-2,45 yard field goal attempt by Noel Prefontaine is NO GOOD.  Missed field goal returned by Tyron Carrier to the Mtl0 (Single).,1,7
11:30,1,Rush,7,Tanner Marsh rush for 7 yards to the Mtl42. Tackled by Shane Horton.,1,7
11:01,2,Rush,-2,Jerome Messam rush for a loss of 2 yards to the Mtl40. Tackled by Marcus Ball.,1,7
10:22,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Daryl Townsend) -5 yards.,1,7
10:09,3,Punt,3,Sean Whyte punts for 40 yards to Tor35. Trent Guy return for 3 yards to Tor38. Tackled by Ed Gainey.,1,7
09:35,1,Rush,-2,rush for a loss of 2 yards to the Tor36. Tackled by Aaron Lavarias.,1,7
09:06,2,Sack,-4,Sack at Tor32 for a loss of 4 yards by John Bowman.,1,7
08:31,3,Punt,17,Noel Prefontaine punts for 45 yards to Mtl33. Tyron Carrier return for 17 yards to Mtl50.,1,7
08:11,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,1,7
07:46,2,Pass,12,Tanner Marsh pass to S.J. Green for 12 yards to the Tor48. Tackled by Jermaine Gabriel.,1,7
07:15,1,Rush,5,Jerome Messam rush for 5 yards to the Tor43. Tackled by Jamie Robinson.,1,7
06:43,2,Rush,5,Tanner Marsh rush for 5 yards to the Tor38.,1,7
06:20,3,Rush,2,Tanner Marsh rush for 2 yards to the Tor36. Tackled by Robert McCune.,1,7
05:45,1,Rush,3,Jerome Messam rush for 3 yards to the Tor33. Tackled by Jamie Robinson.,1,7
05:25,2,Pass,15,Tanner Marsh pass to Arland Bruce for 15 yards to the Tor18. Tackled by Jermaine Gabriel.,1,7
04:18,1,Pass,2,Tanner Marsh pass to S.J. Green for 2 yards to the Tor16. Tackled by Jalil Carter.,1,7
03:48,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Brandon London.,1,7
03:05,3,Missed Field Goal,23,Sean Whyte 23 yard field goal attempt is GOOD.,1,10
03:05,0,Kickoff,13,Sean Whyte kicks off to the Tor23.   return for 13 yards to Tor36. Tackled by Anwar Stewart.,1,10
03:00,1,Pass,4,Zach Collaros pass to Dontrelle Inman for 4 yards to the Tor40. Tackled by Geoff Tisdale.,1,10
02:30,2,Offside,5,Penalty: Offside on Montreal (Shea Emry) 5 yards.,1,10
02:07,2,Rush,1,Zach Collaros rush for 1 yard to the Tor46. Tackled by Aaron Lavarias.,1,10
01:38,1,Rush,18,rush for 18 yards to the Mtl46. Tackled by Aaron Lavarias.,1,10
01:12,1,Rush,0,rush for no gain to the Mtl46. Tackled by Michael Klassen.,1,10
00:43,2,Pass,7,Zach Collaros pass to John Chiles for 7 yards to the Mtl39. Tackled by Geoff Tisdale.,1,10
00:00,3,Field Goal Single,10,51 yard field goal attempt by Noel Prefontaine is NO GOOD.  Missed field goal returned by Tyron Carrier to the Mtl0 (Single).,2,10
15:00,1,Pass,33,Tanner Marsh pass to Duron Carter for 33 yards to the Tor38. Tackled by Pat Watkins.,2,10
14:39,1,Pass,11,Tanner Marsh pass to Jerome Messam for 11 yards to the Tor27. Tackled by Marcus Ball.,2,10
14:06,1,Rush,1,Jerome Messam rush for 1 yard to the Tor26. Tackled by Ivan Brown.,2,10
13:29,2,Sack,-8,Sack at Tor34 for a loss of 8 yards by Shane Horton.,2,10
12:32,3,Missed Field Goal,41,Sean Whyte 41 yard field goal attempt is GOOD.,2,13
12:32,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie.,2,13
12:18,2,Pass,9,Zach Collaros pass to Jason Barnes for 9 yards to the Tor44. Tackled by Billy Parker.,2,13
11:44,3,Punt,0,Noel Prefontaine punts for 40 yards to Mtl26. No return.,2,13
11:18,1,Interception,9,Tanner Marsh pass intended for Arland Bruce INTERCEPTED by Marcus Ball and returned for 9 yards. Tackled by Arland Bruce.,2,13
10:53,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes.,2,13
10:41,2,Interception,0,Zach Collaros pass intended for Dontrelle Inman INTERCEPTED by Geoff Tisdale. No return. Tackled by Dontrelle Inman.,2,13
10:12,1,Rush,-1,Jerome Messam rush for a loss of 1 yard to the Mtl24. Tackled by Khalif Mitchell.,2,13
09:30,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Jerome Messam.,2,13
