Time,Down,Type,Yards,Details,Montreal,BC
15:00,0,Kickoff,47,Sean Whyte kicks off to the BC16. Tim Brown return for 47 yards to Mtl47. Tackled by Moton Hopkins.,0,0
14:51,1,Pass,5,Travis Lulay pass to Nick Moore for 5 yards to the Mtl42. Tackled by Shea Emry.,0,0
14:26,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,0,0
14:05,3,Punt,0,Paul McCallum punts for 36 yards to Mtl6. No return.,0,0
13:55,1,Rush,3,Jerome Messam rush for 3 yards to the Mtl9. Tackled by Khreem Smith.,0,0
13:20,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Duron Carter.,0,0
12:35,3,Safety,-9,Safety,0,2
12:35,0,Kickoff,29,Sean Whyte kicks off to the BC24. Tim Brown return for 29 yards to BC53. Tackled by Mike Edem.,0,2
12:27,1,Rush,6,Travis Lulay rush for 6 yards to the Mtl51. Tackled by Billy Parker.,0,2
11:46,2,Pass,9,Travis Lulay pass to Emmanuel Arceneaux for 9 yards to the Mtl42. Tackled by Scott Paxson.,0,2
11:19,1,Rush,15,Andrew Harris rush for 15 yards to the Mtl27. Tackled by Mike Edem.,0,2
10:59,1,Pass,11,Travis Lulay pass to Shawn Gore for 11 yards to the Mtl16. Tackled by Marc-Olivier Brouillette.,0,2
10:18,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,0,2
09:53,2,Pass,0,Travis Lulay pass to Emmanuel Arceneaux for no gain to the Mtl16. Tackled by Jerald Brown.,0,2
08:51,3,Missed Field Goal,23,Paul McCallum 23 yard field goal attempt is GOOD.,0,5
08:51,1,Rush,8,Jerome Messam rush for 8 yards to the Mtl43. Tackled by Eric Taylor.,0,5
08:35,2,Rush,2,Jerome Messam rush for 2 yards to the Mtl45. Tackled by Keron Williams.,0,5
07:36,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal -5 yards.,0,5
07:11,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,0,5
06:46,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Arland Bruce.,0,5
06:23,3,Illegal Block,53,Sean Whyte punts for 43 yards to BC27. Penalty: Illegal Block on BC (Keynan Parker) 10 yards.,0,5
05:58,1,Rush,12,Andrew Harris rush for 12 yards to the BC29. Tackled by Chip Cox.,0,5
05:26,1,Pass,-3,Travis Lulay pass to Andrew Harris for a loss of 3 yards to the BC26. Tackled by Chip Cox.,0,5
04:46,2,Offside,5,Penalty: Offside on Montreal (Moton Hopkins) 5 yards.,0,5
04:19,2,Sack,-1,Sack at BC30 for a loss of 1 yard by Aaron Lavarias.,0,5
03:28,3,Punt,0,Paul McCallum punts for 46 yards to Mtl34. Tyron Carrier return for no gain to Mtl34. Tackled by Seydou Junior Haidara.,0,5
03:11,1,Sack,-5,Sack at Mtl29 for a loss of 5 yards by Keron Williams.,0,5
02:30,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Arland Bruce.,0,5
02:11,3,No Yards,24,Sean Whyte punts for 39 yards to BC42. Penalty: No Yards on Montreal (Tyrell Sutton) -15 yards.,0,5
01:53,1,Fumble,-5,Recovered by Mtl (Marc-Olivier Brouillette) FUMBLE,0,5
01:33,1,Rush,3,Jerome Messam rush for 3 yards to the BC49. Tackled by Keron Williams.,0,5
00:56,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,0,5
00:33,3,Offside,-5,Penalty: Offside on Montreal (Duron Carter) -5 yards.,0,5
00:15,3,Holding,47,Sean Whyte punts for 40 yards to BC14. Penalty: Holding on BC (Jason Arakgi) 7 yards.,0,5
00:01,1,Rush,-2,Andrew Harris rush for a loss of 2 yards to the BC5. Tackled by Shea Emry.,0,5
15:00,2,Pass,13,Travis Lulay pass to Courtney Taylor for 13 yards to the BC18. Tackled by Chip Cox.,0,5
14:11,1,Pass,13,Travis Lulay pass to Courtney Taylor for 13 yards to the BC31. Tackled by Mike Edem.,0,5
13:29,1,Rush,4,Andrew Harris rush for 4 yards to the BC35. Tackled by Marc-Olivier Brouillette.,0,5
12:48,2,Pass,10,Travis Lulay pass to Nick Moore for 10 yards to the BC45. Tackled by Ed Gainey.,0,5
12:28,1,Pass,5,Travis Lulay pass to Emmanuel Arceneaux for 5 yards to the BC50. Tackled by Mike Edem.,0,5
11:51,2,Pass,10,Travis Lulay pass to Nick Moore for 10 yards to the Mtl50. Tackled by Mike Edem.,0,5
11:10,1,Pass,11,Travis Lulay pass to Seydou Junior Haidara for 11 yards to the Mtl39. Tackled by Ed Gainey.,0,5
10:46,1,Pass,3,Travis Lulay pass to Emmanuel Arceneaux for 3 yards to the Mtl36. Tackled by Ed Gainey.,0,5
10:12,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Nick Moore.,0,5
09:31,3,Missed Field Goal,43,Paul McCallum 43 yard field goal attempt is GOOD.,0,8
09:31,1,Rush,7,Arland Bruce rush for 7 yards to the Mtl42. Tackled by Ryan Phillips.,0,8
09:05,2,Rush,1,Arland Bruce rush for 1 yard to the Mtl43. Tackled by Anton McKenzie.,0,8
08:22,3,Illegal Block,-7,Sean Whyte punts for 46 yards to BC21. Tim Brown return for 3 yards to BC24. Penalty: Illegal Block on BC (Dante Marsh) -10 yards.,0,8
08:00,1,Rush,9,Andrew Harris rush for 9 yards to the BC23. Tackled by Chip Cox.,0,8
07:15,2,Rush,1,Thomas DeMarco rush for 1 yard to the BC24. Tackled by Mike Edem.,0,8
06:39,3,Rush,1,Thomas DeMarco rush for 1 yard to the BC25. Tackled by Shea Emry.,0,8
06:01,1,Pass,0,Travis Lulay pass to Andrew Harris for no gain to the BC25. Tackled by Jerald Brown.,0,8
05:37,2,Pass,11,Travis Lulay pass to Shawn Gore for 11 yards to the BC36. Tackled by Jerald Brown.,0,8
04:56,1,Rush,2,Andrew Harris rush for 2 yards to the BC38. Tackled by Marc-Olivier Brouillette.,0,8
04:26,2,Pass,58,Travis Lulay pass to Courtney Taylor for 58 yards to the Mtl14. Tackled by Bear Woods.,0,8
03:07,1,Pass,14,Travis Lulay pass to Shawn Gore for 14 yards for a TOUCHDOWN.,0,14
02:47,0,Made Extra Point,0,Paul McCallum extra point is good.,0,15
02:47,0,Kickoff,16,Paul McCallum kicks off to the Mtl13. Tyron Carrier return for 16 yards to Mtl29. Tackled by Brandon Jordan.,0,15
02:40,1,Pass,-2,Tanner Marsh pass to Jerome Messam for a loss of 2 yards to the Mtl27. Tackled by Anton McKenzie.,0,15
02:33,2,Pass,28,Tanner Marsh pass to Arland Bruce for 28 yards to the Mtl55. Tackled by Lin-J Shell.,0,15
02:03,1,Pass,6,Tanner Marsh pass to S.J. Green for 6 yards to the BC49. Tackled by Cord Parks.,0,15
01:53,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green defensed by Josh Bell.,0,15
01:34,3,Punt,0,Sean Whyte punts for 36 yards to BC13. No return.,0,15
01:28,1,Pass,19,Travis Lulay pass to Andrew Harris for 19 yards to the BC32. Tackled by Mike Edem.,0,15
01:19,1,Unnecessary Roughness,-10,Travis Lulay pass intended for Marco Iannuzzi INTERCEPTED by Jerald Brown and returned for 5 yards. Tackled by Courtney Taylor. Penalty: Unnecessary Roughness on BC (Patrick Kabongo) 15 yards. Penalty: Unnecessary Roughness on Montreal (Ben Wells) -15 yards. Penalty: Unnecessary Roughness on Montreal (Shea Emry) -15 yards.,0,15
01:03,1,Pass,9,Tanner Marsh pass to Jerome Messam for 9 yards to the Mtl32. Tackled by Eric Taylor.,0,15
00:56,2,Fumble,13,"Jerome Messam rush for 13 yards to the Mtl45. FUMBLE, recovered by BC (Cord Parks). Tackled by Josh Bourke.",0,15
00:45,1,Pass,9,Travis Lulay pass to Andrew Harris for 9 yards to the Mtl36. Tackled by Marc-Olivier Brouillette.,0,15
00:39,2,Incomplete Pass,0,Thomas DeMarco incomplete pass intended for Andrew Harris defensed by Mike Edem.,0,15
00:33,3,Fumble,8,"Andrew Harris rush for 8 yards to the Mtl28. FUMBLE, recovered by Mtl (Mike Edem). Tackled by Shawn Gore.",0,15
00:29,1,Rush,4,Jerome Messam rush for 4 yards to the Mtl32. Tackled by Adam Bighill.,0,15
00:17,2,Pass,13,Tanner Marsh pass to S.J. Green for 13 yards to the Mtl45. Tackled by Adam Bighill.,0,15
15:00,0,Kickoff,17,Paul McCallum kicks off to the Mtl10. Tyron Carrier return for 17 yards to Mtl27. Tackled by Seydou Junior Haidara.,0,15
14:53,1,Pass,4,Tanner Marsh pass to Jerome Messam for 4 yards to the Mtl31. Tackled by Adam Bighill.,0,15
14:05,2,Offside,-5,Penalty: Offside on Montreal (Arland Bruce) -5 yards.,0,15
13:39,2,Rush,0,Tanner Marsh rush for no gain to the Mtl26. Tackled by Khreem Smith.,0,15
13:15,3,Punt,-1,Sean Whyte punts for 41 yards to BC43. Tim Brown return for a loss of 1 yard to BC42. Tackled by Daryl Townsend.,0,15
12:44,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi.,0,15
12:32,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Marco Iannuzzi defensed by Shea Emry.,0,15
