Time,Down,Type,Yards,Details,Montreal,Toronto
15:00,0,Kickoff,33,Sean Whyte kicks off to the Tor11. Branden Smith return for 33 yards to Tor44. Tackled by Mike Edem.,0,0
14:51,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Darvin Adams.,0,0
14:30,2,Sack,-7,Sack at Tor37 for a loss of 7 yards by Chip Cox.,0,0
14:04,3,Punt,10,Quinn Sharp punts for 35 yards to Mtl38. Bo Bowling return for 10 yards to Mtl48. Tackled by Jermaine Gabriel.,0,0
13:28,1,Rush,8,Tyrell Sutton rush for 8 yards to the Tor54. Tackled by Major Culbert.,0,0
13:08,2,Rush,4,Tyrell Sutton rush for 4 yards to the Tor50. Tackled by James Yurichuk.,0,0
12:34,1,Incomplete Pass,0,Troy Smith incomplete pass intended for Eric Deslauriers.,0,0
11:34,2,Interception,62,Troy Smith pass intended for S.J. Green INTERCEPTED by Matt Black and returned for 62 yards for a TOUCHDOWN.,0,6
11:14,0,Made Extra Point,0,Quinn Sharp extra point is good.,0,7
11:14,0,Kickoff,21,Quinn Sharp kicks off to the Mtl6. Arland Bruce return for 21 yards to Mtl27. Tackled by James Yurichuk.,0,7
11:08,1,Rush,6,Tyrell Sutton rush for 6 yards to the Mtl33. Tackled by Jonathan Williams.,0,7
10:46,0,Pass Interference,10,Penalty: Pass Interference on Toronto ( ) 10 yards.,0,7
10:14,1,Pass,3,Troy Smith pass to Tyrell Sutton for 3 yards to the Mtl46. Tackled by Major Culbert.,0,7
09:51,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Tyrell Sutton defensed by Jalil Carter.,0,7
09:21,3,Holding,-2,Burke Dales punts for 46 yards to Tor18. Branden Smith return for 8 yards to Tor26. Penalty: Holding on Toronto (Lance Milton) -10 yards.,0,7
08:55,1,Rush,60,Jerious Norwood rush for 60 yards to the Mtl34. Tackled by Kyries Hebert.,0,7
08:34,1,Sack,-10,Sack at Mtl44 for a loss of 10 yards by Kyries Hebert.,0,7
08:11,0,Illegal Contact,10,Penalty: Illegal Contact on Montreal (Shea Emry) 10 yards.,0,7
07:30,2,Pass,11,Zach Collaros pass to Darvin Adams for 11 yards to the Mtl23. Tackled by Byron Parker.,0,7
07:09,1,Pass,2,Zach Collaros pass to Darvin Adams for 2 yards to the Mtl21. Tackled by Billy Parker.,0,7
06:34,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles defensed by Byron Parker.,0,7
06:01,3,Missed Field Goal,21,21 yard field goal attempt by Quinn Sharp is NO GOOD.,0,7
05:41,1,Incomplete Pass,0,Troy Smith incomplete pass intended for S.J. Green defensed by  .,0,7
