Time,Down,Type,Yards,Details,Saskatchewan,Edmonton
15:00,0,Fumble,9,"Chris Milo kicks off to the Edm17. Tavoy Moore return for 9 yards to Edm26. FUMBLE, recovered by Edm (Tavoy Moore).",0,0
14:54,1,Pass,9,Matt Nichols pass to Tavoy Moore for 9 yards to the Edm35. Tackled by Abraham Kromah.,0,0
14:12,1,Rush,1,Tavoy Moore rush for 1 yard to the Edm27. Tackled by Tearrius George.,0,0
13:50,3,Rush,1,Matt Nichols rush for 1 yard to the Edm37. Tackled by John Chick.,0,0
13:00,1,Pass,6,Matt Nichols pass to Calvin McCarty for 6 yards to the Edm43. Tackled by Jermaine McElveen.,0,0
12:26,2,Pass,18,Matt Nichols pass to Ed Gant for 18 yards to the Ssk49. Tackled by Carlos Thomas.,0,0
12:00,1,Rush,-4,John White rush for a loss of 4 yards to the Ssk53. Tackled by Terrell Maze.,0,0
11:20,2,Sack,-2,Sack at Edm55 for a loss of 2 yards by Tearrius George.,0,0
11:10,3,Punt,0,Tomas Silva punts for 25 yards to Ssk30. No return.,0,0
10:41,1,Pass,26,Drew Willy pass to Taj Smith for 26 yards to the Edm54. Tackled by Aaron Grymes.,0,0
10:33,1,Rush,8,Kory Sheets rush for 8 yards to the Edm46. Tackled by Rennie Curran.,0,0
10:18,2,Rush,5,Kory Sheets rush for 5 yards to the Edm41. Tackled by Ted Laurent.,0,0
09:45,1,Rush,2,Kory Sheets rush for 2 yards to the Edm39. Tackled by Clint Kent.,0,0
09:10,2,Pass,7,Drew Willy pass to Kory Sheets for 7 yards to the Edm32. Tackled by Aaron Grymes.,0,0
08:35,3,Missed Field Goal,40,Chris Milo 40 yard field goal attempt is GOOD.,3,0
08:35,0,Kickoff,16,Chris Milo kicks off to the Edm15. Tracy Lampley return for 16 yards to Edm31. Tackled by Samuel Hurl.,3,0
08:30,1,Sack,-6,Sack at Edm25 for a loss of 6 yards by Tearrius George.,3,0
07:44,2,Pass,15,Matt Nichols pass to John White for 15 yards to the Edm40. Tackled by Abraham Kromah.,3,0
07:17,3,Punt,18,Tomas Silva punts for 45 yards to Ssk25. Jock Sanders return for 18 yards to Ssk43. Tackled by Elie Ngoyi.,3,0
