Time,Down,Type,Yards,Details,Calgary,Saskatchewan
15:00,0,Fumble,23,"Ricky Schmitt kicks off to the Cgy16. LaMarcus Coker return for 22 yards to Cgy38., recovered by Ssk (Taj Smith). FUMBLE",0,0
14:41,1,Pass,13,Darian Durant pass to Kory Sheets for 13 yards to the Cgy24. Tackled by Brandon Smith.,0,0
14:02,1,Rush,5,Kory Sheets rush for 5 yards to the Cgy19. Tackled by Charleston Hughes.,0,0
13:35,2,Pass,6,Darian Durant pass to Rob Bagg for 6 yards to the Cgy13. Tackled by Fred Bennett.,0,0
13:07,1,Rush,11,Kory Sheets rush for 11 yards to the Cgy2. Tackled by Jamar Wall.,0,0
12:47,1,Rush,1,Kory Sheets rush for 1 yard to the Cgy1. Tackled by Malik Jackson.,0,0
11:54,2,Rush,1,Kory Sheets rush for 1 yard for a TOUCHDOWN.,0,6
11:45,0,Made Extra Point,0,Chris Milo extra point is good.,0,7
11:45,0,Kickoff,25,Ricky Schmitt kicks off to the Cgy9. LaMarcus Coker return for 25 yards to Cgy34. Tackled by Scott McHenry.,0,7
11:33,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy38. Tackled by Tearrius George.,0,7
11:03,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Nik Lewis defensed by Renauld Williams.,0,7
10:44,3,Punt,7,Rob Maver punts for 53 yards to Ssk19. Jock Sanders return for 7 yards to Ssk26. Tackled by Deron Mayo.,0,7
10:22,1,Pass,11,Darian Durant pass to Taj Smith for 11 yards to the Ssk37. Tackled by Derrius Brooks.,0,7
09:50,1,Pass,4,Darian Durant pass to Weston Dressler for 4 yards to the Ssk41. Tackled by Brandon Smith.,0,7
09:15,2,Rush,2,Darian Durant rush for 2 yards to the Ssk43. Tackled by Demonte' Bolden.,0,7
08:35,3,Punt,10,Ricky Schmitt punts for 49 yards to Cgy18. LaMarcus Coker return for 10 yards to Cgy28. Tackled by Graig Newman.,0,7
08:19,1,Pass,11,Drew Tate pass to Maurice Price for 11 yards to the Cgy39. Tackled by Macho Harris.,0,7
08:05,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy44. Tackled by Renauld Williams.,0,7
07:34,2,Rush,8,Drew Tate rush for 8 yards to the Cgy52.,0,7
07:10,2,Pass,28,Drew Tate pass to Nik Lewis for 28 yards to the Ssk30. Tackled by Tyron Brackenridge.,0,7
06:37,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Marquay McDaniel.,0,7
06:19,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Nik Lewis.,0,7
05:46,3,Missed Field Goal,37,Rene Paredes 37 yard field goal attempt is GOOD.,3,7
05:46,0,Unnecessary Roughness,52,Rene Paredes kicks off to the Ssk5. Jock Sanders return for 37 yards to Ssk42. Tackled by Fred Bennett. Penalty: Unnecessary Roughness on Calgary (Rene Paredes) 15 yards.,3,7
05:34,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Derrius Brooks.,3,7
05:13,2,Illegal Block,10,Darian Durant pass INTERCEPTED by Demonte' Bolden. No return. Tackled by Darian Durant. Penalty: Illegal Block on Saskatchewan (Ben Heenan) 10 yards.,3,7
04:50,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Marquay McDaniel defensed by Macho Harris.,3,7
04:34,2,Pass,9,Drew Tate pass to Maurice Price for 9 yards to the Ssk38.,3,7
04:09,3,Rush,1,Bo Levi Mitchell rush for 1 yard to the Ssk37. Tackled by Tyron Brackenridge.,3,7
03:36,1,Time Count,-5,Penalty: Time Count on Calgary (Drew Tate) -5 yards.,3,7
03:12,0,Illegal Contact,0,Penalty: Illegal Contact on Saskatchewan (Terrell Maze) 0 yards.,3,7
02:57,1,Rush,12,Jon Cornish rush for 12 yards to the Ssk20. Tackled by Renauld Williams.,3,7
02:10,1,Pass,20,Drew Tate pass to Rob Cote for 20 yards for a TOUCHDOWN.,9,7
01:57,0,Made Extra Point,0,Rene Paredes extra point is good.,10,7
01:57,0,Kickoff,22,Rene Paredes kicks off to the Ssk8. Jock Sanders return for 22 yards to Ssk30. Tackled by Deron Mayo.,10,7
01:50,1,Rush,3,Kory Sheets rush for 3 yards to the Ssk33. Tackled by Juwan Simpson.,10,7
01:17,2,Pass,9,Darian Durant pass to Chris Getzlaf for 9 yards to the Ssk42. Tackled by Jamar Wall.,10,7
00:38,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,10,7
00:14,2,Pass,-1,Darian Durant pass to Kory Sheets for a loss of 1 yard to the Ssk41. Tackled by Malik Jackson.,10,7
15:00,3,Punt,0,Ricky Schmitt punts for 48 yards to Cgy21. No return.,10,7
14:44,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy25. Tackled by Renauld Williams.,10,7
14:15,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Khalil Paden defensed by Carlos Thomas.,10,7
13:52,3,Punt,0,Rob Maver punts for 44 yards to Ssk41. Jock Sanders return for no gain to Ssk41. Tackled by Rob Cote.,10,7
13:29,1,Sack,-1,Sack at Ssk40 for a loss of 1 yard by Micah Johnson.,10,7
12:32,2,Sack,-8,Sack at Ssk32 for a loss of 8 yards by Shawn Lemon.,10,7
12:12,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Craig Butler) -5 yards.,10,7
12:04,3,Punt,0,Ricky Schmitt punts for 38 yards to Cgy45. No return.,10,7
11:52,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Tim Hawthorne.,10,7
11:41,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Tim Hawthorne.,10,7
11:23,3,Punt,7,Rob Maver punts for 53 yards to Ssk12. Jock Sanders return for 7 yards to Ssk19. Tackled by Karl McCartney.,10,7
11:01,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk23. Tackled by Micah Johnson.,10,7
10:29,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,10,7
10:06,3,Punt,3,Ricky Schmitt punts for 48 yards to Cgy39. Jonathan Williams return for 3 yards to Cgy42. Tackled by Samuel Hurl.,10,7
09:52,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Maurice Price.,10,7
09:38,2,Pass,6,Drew Tate pass to Maurice Price for 6 yards to the Cgy48. Tackled by Macho Harris.,10,7
08:35,3,Punt Single,0,Rob Maver punts for 63 yards to Ssk0. No return. Rob Maver 0 yard punt single attempt is GOOD.,11,7
08:30,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk40. Tackled by Cordarro Law.,11,7
07:56,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler defensed by Jamar Wall.,11,7
07:39,3,No Yards,47,Ricky Schmitt punts for 52 yards to Cgy18. Penalty: No Yards on Saskatchewan (Samuel Hurl) -5 yards.,11,7
07:18,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy28. Tackled by John Chick.,11,7
06:48,2,Pass,11,Drew Tate pass to Jabari Arthur for 11 yards to the Cgy39. Tackled by Renauld Williams.,11,7
06:32,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy43. Tackled by Renauld Williams.,11,7
06:02,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Jabari Arthur.,11,7
05:35,3,Punt,8,Rob Maver punts for 47 yards to Ssk20. Jock Sanders return for 8 yards to Ssk28. Tackled by Rob Cote.,11,7
05:09,1,Rush,7,Darian Durant rush for 7 yards to the Ssk35. Tackled by Malik Jackson.,11,7
04:47,2,Sack,-7,Sack at Ssk28 for a loss of 7 yards by Shawn Lemon.,11,7
03:50,3,Punt,9,Ricky Schmitt punts for 33 yards to Cgy49. Jonathan Williams return for 9 yards to Ssk52.,11,7
