Time,Down,Type,Yards,Details,Saskatchewan,Hamilton
15:00,0,Kickoff,22,Ricky Schmitt kicks off to the Ham4. Lindsey Lamar return for 22 yards to Ham26. Tackled by Paul Woldu.,0,0
14:49,1,Rush,18,Lindsey Lamar rush for 18 yards to the Ham44. Tackled by Ricky Foley.,0,0
14:14,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Lindsey Lamar.,0,0
13:47,2,Pass,51,Henry Burris pass to Bakari Grant for 51 yards to the Ssk15. Tackled by Tyron Brackenridge.,0,0
12:55,1,Rush,1,Lindsey Lamar rush for 1 yard to the Ssk14. Tackled by Diamond Ferri.,0,0
12:18,2,Pass,6,Henry Burris pass to Samuel Giguere for 6 yards to the Ssk8.,0,0
11:37,3,Missed Field Goal,15,Luca Congi 15 yard field goal attempt is GOOD.,0,3
11:37,0,Holding,6,Luca Congi kicks off to the Ssk7. Jock Sanders return for 16 yards to Ssk23. Penalty: Holding on Saskatchewan (Daryl Stephenson) -10 yards.,0,3
11:29,1,Rush,4,Kory Sheets rush for 4 yards to the Ssk17. Tackled by Nate Bussey.,0,3
10:59,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Taj Smith defensed by Delvin Breaux.,0,3
10:42,3,Punt,2,Ricky Schmitt punts for 46 yards to Ham47. Lindsey Lamar return for 2 yards to Ham49. Tackled by Tyron Brackenridge.,0,3
10:26,1,Rush,5,Lindsey Lamar rush for 5 yards to the Ham54. Tackled by Renauld Williams.,0,3
09:45,2,Rush,9,Henry Burris rush for 9 yards to the Ssk47.,0,3
09:13,1,Pass,30,Henry Burris pass to Onrea Jones for 30 yards to the Ssk17. Tackled by Craig Butler.,0,3
08:14,1,Pass,17,Henry Burris pass to Lindsey Lamar for 17 yards for a TOUCHDOWN.,0,9
07:52,0,Made Extra Point,0,Luca Congi extra point is good.,0,10
07:52,0,Kickoff,29,Luca Congi kicks off to the Ssk9. Jock Sanders return for 29 yards to Ssk38. Tackled by Nate Bussey.,0,10
07:45,1,Pass,11,Drew Willy pass to Weston Dressler for 11 yards to the Ssk49. Tackled by Nate Bussey.,0,10
07:24,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk50. Tackled by Brian Bulcke.,0,10
06:44,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Taj Smith.,0,10
06:23,3,Punt,2,Ricky Schmitt punts for 42 yards to Ham18. Lindsey Lamar return for 2 yards to Ham20. Tackled by Ricky Foley.,0,10
05:59,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Onrea Jones.,0,10
05:39,2,Sack,-11,Sack at Ham9 for a loss of 11 yards by Tearrius George.,0,10
05:16,3,Punt,10,Josh Bartel punts for 43 yards to Ham52. Jock Sanders return for 10 yards to Ham42. Tackled by Jamall Johnson.,0,10
04:51,1,Sack,-5,Sack at Ham47 for a loss of 5 yards by Brandon Isaac.,0,10
04:10,2,Pass,14,Drew Willy pass to Rob Bagg for 14 yards to the Ham33. Tackled by Emanuel Davis.,0,10
03:28,3,Unnecessary Roughness,21,Kory Sheets rush for 9 yards to the Ham24. Tackled by Delvin Breaux. Penalty: Unnecessary Roughness on Hamilton (Delvin Breaux) 12 yards.,0,10
03:12,1,Rush,2,Kory Sheets rush for 2 yards to the Ham10. Tackled by Eric Norwood.,0,10
02:20,2,Incomplete Pass,0,Drew Willy incomplete pass.,0,10
01:48,3,Missed Field Goal,17,Chris Milo 17 yard field goal attempt is GOOD.,3,10
01:48,0,Kickoff,29,Ricky Schmitt kicks off to the Ham13. Lindsey Lamar return for 29 yards to Ham42. Tackled by Renauld Williams.,3,10
01:41,1,Rush,3,Lindsey Lamar rush for 3 yards to the Ham45. Tackled by Tearrius George.,3,10
01:29,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere.,3,10
00:43,3,Punt,14,Josh Bartel punts for 42 yards to Ssk23. Jock Sanders return for 14 yards to Ssk37. Tackled by Neil King.,3,10
00:30,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk38. Tackled by Brandon Isaac.,3,10
00:01,2,Fumble,7,"Drew Willy pass to Rob Bagg for 7 yards to the Ssk45. FUMBLE, recovered by Ssk (Rob Bagg).",3,10
15:00,3,Holding,63,Ricky Schmitt punts for 61 yards to Ham4. Penalty: Holding on Hamilton (Delvin Breaux) 2 yards.,3,10
14:45,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson defensed by Dwight Anderson.,3,10
14:25,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,3,10
13:37,3,Safety,-2,Safety,5,10
13:37,0,Kickoff,19,Luca Congi kicks off to the Ssk27. Jock Sanders return for 19 yards to Ssk46. Tackled by Courtney Stephen.,5,10
13:29,1,Rush,7,Kory Sheets rush for 7 yards to the Ssk53. Tackled by Arthur Hobbs.,5,10
12:49,2,Rush,3,Kory Sheets rush for 3 yards to the Ham54. Tackled by Eric Norwood.,5,10
12:10,1,Pass,24,Drew Willy pass to Weston Dressler for 24 yards to the Ham30. Tackled by Nate Bussey.,5,10
11:28,1,Pass,30,Drew Willy pass to Geroy Simon for 30 yards for a TOUCHDOWN.,11,10
11:15,0,Made Extra Point,0,Chris Milo extra point is good.,12,10
11:15,0,Kickoff,16,Ricky Schmitt kicks off to the Ham0. Lindsey Lamar return for 16 yards to Ham12. Tackled by Eddie Russ.,12,10
11:04,1,Rush,5,C.J. Gable rush for 5 yards to the Ham17. Tackled by Ricky Foley.,12,10
10:30,2,Pass,8,Henry Burris pass to C.J. Gable for 8 yards to the Ham25. Tackled by Weldon Brown.,12,10
09:48,1,Illegal Block,20,Henry Burris pass to Greg Ellingson for 30 yards to the Ham55. Tackled by Craig Butler. Penalty: Illegal Block on Hamilton (Onrea Jones) -10 yards.,12,10
09:22,1,Pass,13,Henry Burris pass to Samuel Giguere for 13 yards to the Ssk52. Tackled by Diamond Ferri.,12,10
08:43,1,Rush,13,C.J. Gable rush for 13 yards to the Ssk39. Tackled by Dwight Anderson.,12,10
07:32,1,Pass,39,Henry Burris pass to Greg Ellingson for 39 yards for a TOUCHDOWN.,12,16
07:15,0,Made Extra Point,0,Luca Congi extra point is good.,12,17
07:15,0,Kickoff,14,Luca Congi kicks off to the Ssk20. Jock Sanders return for 14 yards to Ssk34. Tackled by Marc Beswick.,12,17
07:05,1,Pass,4,Drew Willy pass to Geroy Simon for 4 yards to the Ssk38. Tackled by Raymond Brown.,12,17
06:28,2,Pass,17,Drew Willy pass to Chris Getzlaf for 17 yards to the Ssk55. Tackled by Arthur Hobbs.,12,17
05:53,1,Rush,20,Kory Sheets rush for 20 yards to the Ham35. Tackled by Arthur Hobbs.,12,17
05:15,1,Rush,17,Kory Sheets rush for 17 yards to the Ham18. Tackled by Arthur Hobbs.,12,17
04:36,1,Pass,18,Drew Willy pass to Chris Getzlaf for 18 yards for a TOUCHDOWN.,18,17
04:21,0,Made Extra Point,0,Chris Milo extra point is good.,19,17
04:21,0,Kickoff,26,Ricky Schmitt kicks off to the Ham10. Onrea Jones return for 26 yards to Ham36. Tackled by Spencer Moore.,19,17
04:13,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Onrea Jones.,19,17
03:50,2,Sack,-9,Sack at Ham27 for a loss of 9 yards by John Chick.,19,17
03:17,3,Punt,0,Josh Bartel punts for 32 yards to Ssk51. No return.,19,17
03:02,1,Rush,0,Kory Sheets rush for no gain to the Ssk51. Tackled by Brian Bulcke.,19,17
02:41,2,Pass,35,Drew Willy pass to Geroy Simon for 35 yards to the Ham24. Tackled by Courtney Stephen.,19,17
02:25,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Chris Getzlaf.,19,17
02:08,2,Pass,24,Drew Willy pass to Weston Dressler for 24 yards for a TOUCHDOWN.,25,17
02:08,0,Made Extra Point,0,Chris Milo extra point is good.,26,17
02:08,0,Kickoff,25,Ricky Schmitt kicks off to the Ham4. Onrea Jones return for 25 yards to Ham29. Tackled by Paul Woldu.,26,17
02:01,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,26,17
01:56,2,Pass,9,Henry Burris pass to Onrea Jones for 9 yards to the Ham38. Tackled by Dwight Anderson.,26,17
01:50,3,Punt,8,Josh Bartel punts for 47 yards to Ssk25. Weston Dressler return for 8 yards to Ssk33. Tackled by C.J. Gable.,26,17
01:37,1,Sack,-3,Sack at Ssk30 for no gain by Raymond Brown Recovered by Ssk (Dominic Picard),26,17
01:20,2,Rush,2,Drew Willy rush for 2 yards to the Ssk32. Tackled by Craig Marshall.,26,17
01:09,3,Punt,8,Ricky Schmitt punts for 55 yards to Ham23. Onrea Jones return for 8 yards to Ham31. Tackled by Diamond Ferri.,26,17
00:38,1,Sack,-8,Sack at Ham23 for a loss of 8 yards by Renauld Williams.,26,17
00:29,2,Rush,6,C.J. Gable rush for 6 yards to the Ham29. Tackled by Renauld Williams.,26,17
00:24,3,No Yards,27,Josh Bartel punts for 42 yards to Ssk39. Penalty: No Yards on Hamilton (Ryan Hinds) -15 yards.,26,17
00:01,1,Pass,19,Drew Willy pass to Kory Sheets for 19 yards to the Ham37. Tackled by Jamall Johnson.,26,17
15:00,0,Kickoff,21,Luca Congi kicks off to the Ssk16. Jock Sanders return for 21 yards to Ssk37. Tackled by Simon Charbonneau-Campeau.,26,17
14:51,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Chris Getzlaf.,26,17
14:29,2,Sack,-9,Sack at Ssk28 for a loss of 9 yards by Rico Murray.,26,17
13:59,3,Punt,5,Ricky Schmitt punts for 49 yards to Ham33. Onrea Jones return for 5 yards to Ham38. Tackled by Cory Huclack.,26,17
13:35,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Dave Stala.,26,17
13:08,2,Fumble,-6,"Sack at Ham32 for a loss of 6 yards by Tearrius George. FUMBLE, recovered by Ssk (Craig Butler).",26,17
12:55,1,Rush,20,Kory Sheets rush for 20 yards to the Ham12. Tackled by Courtney Stephen.,26,17
12:34,1,Rush,2,Kory Sheets rush for 2 yards to the Ham10. Tackled by Brian Bulcke.,26,17
11:59,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Geroy Simon.,26,17
11:23,3,Missed Field Goal,17,Chris Milo 17 yard field goal attempt is GOOD.,29,17
11:23,1,Pass,8,Henry Burris pass to Bakari Grant for 8 yards to the Ham43. Tackled by Woodny Turenne.,29,17
10:54,2,Rush,7,C.J. Gable rush for 7 yards to the Ham50. Tackled by Ricky Foley.,29,17
10:20,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,29,17
09:52,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere defensed by Eddie Russ.,29,17
09:27,3,Punt,6,Josh Bartel punts for 39 yards to Ssk21. Weston Dressler return for 6 yards to Ssk27. Tackled by Ryan Hinds.,29,17
09:18,1,Rush,6,Kory Sheets rush for 6 yards to the Ssk33. Tackled by Hasan Hazime.,29,17
08:45,2,Rush,9,Kory Sheets rush for 9 yards to the Ssk42. Tackled by Rico Murray.,29,17
08:16,1,Rush,0,Kory Sheets rush for no gain to the Ssk42. Tackled by Terrence Moore.,29,17
07:30,2,Pass,11,Drew Willy pass to Geroy Simon for 11 yards to the Ssk53. Tackled by Jamall Johnson.,29,17
07:00,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Taj Smith defensed by Emanuel Davis.,29,17
06:45,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Weston Dressler.,29,17
06:23,3,Punt,6,Ricky Schmitt punts for 46 yards to Ham11. Onrea Jones return for 6 yards to Ham17. Tackled by Tristan Black.,29,17
06:04,1,Pass,7,Henry Burris pass to Onrea Jones for 7 yards to the Ham24. Tackled by Dwight Anderson.,29,17
05:47,2,Pass,8,Henry Burris pass to Bakari Grant for 8 yards to the Ham32. Tackled by Prince Miller.,29,17
05:09,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,29,17
04:44,2,Fumble,-7,"Sack at Ham25 for a loss of 7 yards by Hilee Taylor. FUMBLE, recovered by Ssk (Tearrius George). Tackled by Tim O'Neill.",29,17
04:17,1,Rush,18,Kory Sheets rush for 18 yards to the Ham7. Tackled by Jamall Johnson.,29,17
03:25,1,Rush,2,Kory Sheets rush for 2 yards to the Ham5. Tackled by Brian Bulcke.,29,17
03:11,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Taj Smith defensed by Courtney Stephen.,29,17
02:20,3,Missed Field Goal,12,Chris Milo 12 yard field goal attempt is GOOD.,32,17
02:20,1,Pass,7,Henry Burris pass to C.J. Gable for 7 yards to the Ham42. Tackled by Tyron Brackenridge.,32,17
02:04,2,Rush,6,Henry Burris rush for 6 yards to the Ham48. Tackled by Hilee Taylor.,32,17
01:21,1,Pass,25,Henry Burris pass to Greg Ellingson for 25 yards to the Ssk37. Tackled by Prince Miller.,32,17
00:38,1,Pass,-3,Henry Burris pass to C.J. Gable for a loss of 3 yards to the Ssk40. Tackled by Renauld Williams.,32,17
00:01,2,Pass,11,Henry Burris pass to Samuel Giguere for 11 yards to the Ssk29. Tackled by Dwight Anderson.,32,17
14:45,3,Missed Field Goal,36,Luca Congi 36 yard field goal attempt is GOOD.,32,20
14:45,1,Rush,0,Kory Sheets rush for no gain to the Ssk35. Tackled by Nate Bussey.,32,20
14:30,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Geroy Simon.,32,20
13:50,3,No Yards,20,Ricky Schmitt punts for 35 yards to Ham40. Penalty: No Yards on Saskatchewan (Samuel Hurl) -15 yards.,32,20
13:27,1,Pass,17,Henry Burris pass to Samuel Giguere for 17 yards to the Ssk38. Tackled by Weldon Brown.,32,20
12:52,1,Pass,13,Henry Burris pass to Dave Stala for 13 yards to the Ssk25. Tackled by Woodny Turenne.,32,20
12:38,1,Pass,4,Henry Burris pass to Bakari Grant for 4 yards to the Ssk21. Tackled by Woodny Turenne.,32,20
12:00,2,Pass,11,Henry Burris pass to Onrea Jones for 11 yards to the Ssk10. Tackled by Eddie Russ.,32,20
11:22,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Bakari Grant.,32,20
10:59,2,Pass,9,Henry Burris pass to C.J. Gable for 9 yards to the Ssk1. Tackled by Tyron Brackenridge.,32,20
10:30,3,Rush,0,Henry Burris rush for no gain to the Ssk1. Tackled by Dan Clark.,32,20
09:40,1,Pass,45,Drew Willy pass to Geroy Simon for 45 yards to the Ssk46. Tackled by Arthur Hobbs.,32,20
08:57,1,Rush,-1,Kory Sheets rush for a loss of 1 yard to the Ssk45. Tackled by Jamall Johnson.,32,20
08:19,2,Pass,10,Drew Willy pass to Kory Sheets for 10 yards to the Ssk55. Tackled by Delvin Breaux.,32,20
