Time,Down,Type,Yards,Details,Saskatchewan,Calgary
15:00,0,Kickoff,23,Ricky Schmitt kicks off to the Cgy9. Larry Taylor return for 23 yards to Cgy32. Tackled by Diamond Ferri.,0,0
14:52,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for   defensed by  .,0,0
14:25,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel.,0,0
14:11,3,Holding,68,Rob Maver punts for 58 yards to Ssk20. Penalty: Holding on Saskatchewan (Prince Miller) 10 yards.,0,0
13:42,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk11. Tackled by Charleston Hughes.,0,0
13:01,2,Fumble,3,"Darian Durant pass to Kory Sheets for 3 yards to the Ssk14. FUMBLE, recovered by Cgy (Brandon Smith).",0,0
12:18,1,Rush,14,Jon Cornish rush for 14 yards for a TOUCHDOWN.,0,6
12:02,0,Made Extra Point,0,Rene Paredes extra point is good.,0,7
12:02,0,Kickoff,20,Rene Paredes kicks off to the Ssk4. Jock Sanders return for 20 yards to Ssk24. Tackled by Yannick Carter.,0,7
11:55,1,Rush,1,Kory Sheets rush for 1 yard to the Ssk25. Tackled by Justin Phillips.,0,7
11:18,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,0,7
10:54,3,Punt,10,Ricky Schmitt punts for 45 yards to Cgy40. Larry Taylor return for 10 yards to Cgy50. Tackled by Ricky Foley.,0,7
10:38,1,Pass,9,Kevin Glenn pass to Marquay McDaniel for 9 yards to the Ssk51. Tackled by  .,0,7
09:47,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for  .,0,7
09:32,3,Rush,1,Bo Levi Mitchell rush for 1 yard to the Ssk50. Tackled by Ricky Foley.,0,7
08:50,1,Rush,10,Jon Cornish rush for 10 yards to the Ssk40. Tackled by Weldon Brown.,0,7
08:00,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Saskatchewan (Tearrius George) 15 yards.,0,7
07:44,1,Rush,9,Jon Cornish rush for 9 yards to the Ssk16. Tackled by Dwight Anderson.,0,7
07:05,2,Rush,14,Jon Cornish rush for 14 yards to the Ssk2. Tackled by Tyron Brackenridge.,0,7
06:05,1,Rush,2,Jon Cornish rush for 2 yards for a TOUCHDOWN.,0,13
06:05,0,Holding,-10,Penalty: Holding on Calgary (Deron Mayo) -10 yards.,0,13
05:51,0,Blocked Extra Point,0,Rene Paredes extra point is NO GOOD.  extra point is BLOCKED.,0,13
05:23,0,Kickoff,24,Rene Paredes kicks off to the Ssk2. Jock Sanders return for 24 yards to Ssk26. Tackled by Justin Phillips.,0,13
05:16,1,Pass,7,Darian Durant pass to Weston Dressler for 7 yards to the Ssk33. Tackled by Juwan Simpson.,0,13
04:36,2,Pass,11,Darian Durant pass to Geroy Simon for 11 yards to the Ssk44. Tackled by Brandon Smith.,0,13
03:52,1,Rush,-4,Kory Sheets rush for a loss of 4 yards to the Ssk40. Tackled by Fred Bennett.,0,13
03:26,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,0,13
03:03,3,Punt,11,Ricky Schmitt punts for 44 yards to Cgy26. Larry Taylor return for 11 yards to Cgy37. Tackled by Neal Hughes.,0,13
02:41,0,Roughing Passer,15,Penalty: Roughing Passer on Saskatchewan (John Chick) 15 yards.,0,13
02:29,1,Rush,3,Kevin Glenn rush for 3 yards to the Cgy55. Tackled by John Chick.,0,13
01:50,2,Pass,17,Kevin Glenn pass to Jon Cornish for 17 yards to the Ssk38. Tackled by Tyron Brackenridge.,0,13
01:08,1,Rush,3,Jon Cornish rush for 3 yards to the Ssk35. Tackled by Tyron Brackenridge.,0,13
00:32,2,Rush,8,Kevin Glenn rush for 8 yards to the Ssk27. Tackled by Craig Butler.,0,13
00:03,1,Rush,6,Jon Cornish rush for 6 yards to the Ssk21. Tackled by Keith Shologan.,0,13
15:00,2,Rush,1,Bo Levi Mitchell rush for 1 yard to the Ssk20. Tackled by Hilee Taylor.,0,13
13:51,3,Missed Field Goal,27,Rene Paredes 27 yard field goal attempt is GOOD.,0,16
13:51,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith defensed by Chris Randle.,0,16
13:28,2,Offside,-5,Penalty: Offside on Saskatchewan (Chris Getzlaf) -5 yards.,0,16
13:03,2,Pass,42,Darian Durant pass to Weston Dressler for 42 yards to the Cgy38. Tackled by Eric Fraser.,0,16
12:17,0,Holding,-10,Penalty: Holding on Saskatchewan (Xavier Fulton) -10 yards.,0,16
12:02,1,Fumble,18,"Darian Durant pass to Rob Bagg for 18 yards to the Cgy30. FUMBLE, recovered by Ssk (Rob Bagg).",0,16
11:33,2,Rush,10,Kory Sheets rush for 10 yards to the Cgy20. Tackled by Chris Randle.,0,16
09:56,1,Pass,20,Darian Durant pass to Chris Getzlaf for 20 yards for a TOUCHDOWN.,6,16
09:45,0,Made Extra Point,0,Chris Milo extra point is good.,7,16
09:45,0,Kickoff,24,Ricky Schmitt kicks off to the Cgy8. Larry Taylor return for 24 yards to Cgy32. Tackled by Craig Butler.,7,16
09:37,1,Pass,23,Kevin Glenn pass to Brad Sinopoli for 23 yards to the Cgy55. Tackled by Macho Harris.,7,16
09:13,1,Rush,3,Jon Cornish rush for 3 yards to the Ssk52. Tackled by Keith Shologan.,7,16
08:33,2,Pass,5,Kevin Glenn pass to   for 5 yards to the Ssk47. Tackled by Prince Miller.,7,16
08:06,3,Punt,0,Rob Maver punts for 40 yards to Ssk7. No return.,7,16
07:44,1,Rush,6,Weston Dressler rush for 6 yards to the Ssk13. Tackled by Karl McCartney.,7,16
07:21,2,Pass,20,Darian Durant pass to Chris Getzlaf for 20 yards to the Ssk33. Tackled by  .,7,16
06:58,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Kory Sheets.,7,16
06:46,2,Offside,5,Penalty: Offside on Calgary (Charleston Hughes) 5 yards.,7,16
06:26,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,7,16
