Time,Down,Type,Yards,Details,Saskatchewan,Montreal
15:00,0,Kickoff,24,Ricky Schmitt kicks off to the Mtl7. Tyron Carrier return for 24 yards to Mtl31. Tackled by Ricky Foley.,0,0
14:42,1,Rush,7,Jerome Messam rush for 7 yards to the Mtl38. Tackled by Tyron Brackenridge.,0,0
14:16,2,Rush,4,Jerome Messam rush for 4 yards to the Mtl42. Tackled by Diamond Ferri.,0,0
13:42,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green.,0,0
13:31,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Duron Carter.,0,0
13:12,3,No Yards,21,Sean Whyte punts for 26 yards to Ssk42. Penalty: No Yards on Montreal (Chip Cox) -5 yards.,0,0
12:56,1,Rush,4,Chris Garrett rush for 4 yards to the Ssk51. Tackled by Mike Edem.,0,0
12:15,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf defensed by Billy Parker.,0,0
11:52,3,Punt,2,Ricky Schmitt punts for 39 yards to Mtl20. Tyron Carrier return for 2 yards to Mtl22. Tackled by Diamond Ferri.,0,0
11:36,1,Pass,46,Josh Neiswander pass to Duron Carter for 46 yards to the Ssk42. Tackled by Craig Butler.,0,0
10:56,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for S.J. Green defensed by Terrell Maze.,0,0
10:23,2,Pass,12,Josh Neiswander pass to S.J. Green for 12 yards to the Ssk30. Tackled by Dwight Anderson.,0,0
10:02,1,Rush,5,Jerome Messam rush for 5 yards to the Ssk25. Tackled by Keith Shologan.,0,0
09:16,2,Pass,1,Josh Neiswander pass to Jerome Messam for 1 yard to the Ssk24. Tackled by Mike McCullough.,0,0
08:42,3,Missed Field Goal,24,24 yard field goal attempt by Sean Whyte is NO GOOD.,0,0
08:28,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,0,0
08:13,2,Pass,17,Darian Durant pass to Taj Smith for 17 yards to the Ssk42. Tackled by Geoff Tisdale.,0,0
07:39,1,Rush,1,Chris Garrett rush for 1 yard to the Ssk43. Tackled by Shea Emry.,0,0
07:03,2,Pass,10,Darian Durant pass to Weston Dressler for 10 yards to the Ssk53. Tackled by Billy Parker.,0,0
06:27,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,0,0
05:56,2,Pass,7,Darian Durant pass to Geroy Simon for 7 yards to the Mtl50. Tackled by Jerald Brown.,0,0
04:56,3,Punt Single,0,Ricky Schmitt punts for 59 yards to Mtl0. No return (Single).,1,0
04:56,1,Pass,12,Josh Neiswander pass to S.J. Green for 12 yards to the Mtl47. Tackled by Craig Butler.,1,0
04:27,1,Rush,0,Jerome Messam rush for no gain to the Mtl47. Tackled by Ricky Foley.,1,0
03:50,2,Pass,12,Josh Neiswander pass to Arland Bruce for 12 yards to the Ssk51. Tackled by Prince Miller.,1,0
03:20,1,Rush,0,Jerome Messam rush for no gain to the Ssk51. Tackled by  .,1,0
02:42,2,Rush,5,Josh Neiswander rush for 5 yards to the Ssk46. Tackled by Craig Butler.,1,0
01:48,3,Punt Single,0,Sean Whyte punts for 52 yards to Ssk0. No return (Single).,1,1
01:42,1,Pass,72,Darian Durant pass to Chris Getzlaf for 72 yards to the Mtl3. Tackled by Kyries Hebert.,1,1
00:44,1,Rush,2,Chris Garrett rush for 2 yards to the Mtl1. Tackled by Chip Cox.,1,1
00:22,2,Rush,0,Drew Willy rush for no gain to the Mtl1. Tackled by John Bowman.,1,1
15:00,3,Rush,0,Chris Garrett rush for no gain to the Mtl1. Tackled by Kyries Hebert.,1,1
14:36,1,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Eric Deslauriers.,1,1
14:24,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Duron Carter.,1,1
13:39,3,Safety,-1,Safety,3,1
13:39,0,Kickoff,20,Sean Whyte kicks off to the Ssk22. Tristan Jackson return for 20 yards to Ssk42. Tackled by Walter Spencer.,3,1
13:22,1,Pass,10,Darian Durant pass to Chris Getzlaf for 10 yards to the Ssk52.,3,1
13:09,1,Pass,23,Darian Durant pass to Chris Getzlaf for 23 yards to the Mtl35. Tackled by Kyries Hebert.,3,1
12:32,1,Rush,2,Chris Garrett rush for 2 yards to the Mtl33. Tackled by Chip Cox.,3,1
12:08,2,Objectionable Conduct,10,Darian Durant incomplete pass intended for Chris Getzlaf. Penalty: Objectionable Conduct on Montreal (Jerald Brown) 10 yards.,3,1
11:31,1,Interception,0,Darian Durant pass intended for Chris Getzlaf INTERCEPTED by Geoff Tisdale. No return. Tackled by Chris Getzlaf.,3,1
11:05,1,Rush,13,Jerome Messam rush for 13 yards to the Mtl38. Tackled by Craig Butler.,3,1
10:40,1,Rush,2,Jerome Messam rush for 2 yards to the Mtl40. Tackled by Ricky Foley.,3,1
09:56,2,Incomplete Pass,0,Josh Neiswander incomplete pass intended for Duron Carter.,3,1
