Time,Down,Type,Yards,Details,BC,Saskatchewan
15:00,0,Kickoff,1,Paul McCallum kicks off to the Ssk31. Tristan Jackson return for 1 yard to Ssk32. Tackled by Korey Jones.,0,0
14:54,1,Rush,6,rush for 6 yards to the Ssk38. Tackled by  .,0,0
14:26,2,Pass,6,Darian Durant pass to Geroy Simon for 6 yards to the Ssk44. Tackled by Josh Bell.,0,0
13:50,1,Pass,7,Darian Durant pass to Weston Dressler for 7 yards to the Ssk51. Tackled by Adam Bighill.,0,0
13:32,2,Rush,5,rush for 5 yards to the BC54. Tackled by Adam Bighill.,0,0
12:50,1,Sack,-3,Sack at Ssk53 for a loss of 3 yards by Khreem Smith.,0,0
12:17,2,Rush,9,rush for 9 yards to the BC48. Tackled by J.R. LaRose.,0,0
11:47,3,Punt,6,Ricky Schmitt punts for 34 yards to BC14. Stefan Logan return for 6 yards to BC20. Tackled by Kevin Regimbald-Gagne.,0,0
11:24,1,Incomplete Pass,0,Travis Lulay incomplete pass intended for Emmanuel Arceneaux.,0,0
11:08,2,Incomplete Pass,0,Travis Lulay incomplete pass intended for Courtney Taylor.,0,0
10:49,3,No Yards,18,Paul McCallum punts for 33 yards to BC53. Penalty: No Yards on BC (Korey Jones) -15 yards.,0,0
10:25,1,Pass,1,Darian Durant pass to Rob Bagg for 1 yard to the BC37. Tackled by Ryan Phillips.,0,0
10:00,2,Rush,6,Darian Durant rush for 6 yards to the BC31. Tackled by Lin-J Shell.,0,0
09:14,3,Missed Field Goal,38,38 yard field goal attempt by Chris Milo is NO GOOD.,0,0
08:50,1,Rush,-1,Stefan Logan rush for a loss of 1 yard to the BC24. Tackled by Keith Shologan.,0,0
08:20,2,Pass,13,Travis Lulay pass to Andrew Harris for 13 yards to the BC37. Tackled by Ricky Foley.,0,0
07:43,1,Rush,13,Andrew Harris rush for 13 yards to the BC50. Tackled by Dwight Anderson.,0,0
07:06,1,Pass,2,Travis Lulay pass to Nick Moore for 2 yards to the BC52. Tackled by Dwight Anderson.,0,0
