Time,Down,Type,Yards,Details,Toronto,Montreal
15:00,0,Kickoff,16,"Noel Prefontaine kicks off to the Mtl14. Noel Devine return for 16 yards to Mtl30., recovered by Tor (Shane Horton). Tackled by Bryn Roy.",0,0
14:53,1,Fumble,19,"Ricky Ray pass to Andre Durie for 19 yards to the Mtl11. FUMBLE, recovered by Tor (Chad Owens).",0,0
13:42,1,Pass,11,Ricky Ray pass to John Chiles for 11 yards for a TOUCHDOWN.,6,0
13:32,0,Made Extra Point,0,Noel Prefontaine extra point is good.,7,0
13:32,0,Kickoff,19,Noel Prefontaine kicks off to the Mtl15. Noel Devine return for 19 yards to Mtl34. Tackled by Jason Pottinger.,7,0
13:25,1,Pass,1,Anthony Calvillo pass to Arland Bruce for 1 yard to the Mtl35. Tackled by Alonzo Lawrence.,7,0
13:06,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,7,0
12:31,3,No Yards,33,Sean Whyte punts for 38 yards to Tor37. Penalty: No Yards on Montreal (Chip Cox) -5 yards.,7,0
12:10,1,Rush,8,Chad Owens rush for 8 yards to the Tor50. Tackled by Billy Parker.,7,0
11:46,2,Rush,19,Andre Durie rush for 19 yards to the Mtl41. Tackled by Chip Cox.,7,0
11:03,1,Time Count,-5,Penalty: Time Count on Toronto (Ricky Ray) -5 yards.,7,0
10:26,1,Pass,-4,Ricky Ray pass to Curtis Steele for a loss of 4 yards to the Mtl50. Tackled by Chip Cox.,7,0
10:14,2,Pass,9,Ricky Ray pass to Curtis Steele for 9 yards to the Mtl41. Tackled by Kyries Hebert.,7,0
09:33,3,Punt,12,Noel Prefontaine punts for 37 yards to Mtl4. Noel Devine return for 12 yards to Mtl16. Tackled by Jamie Robinson.,7,0
09:07,1,Rush,2,Noel Devine rush for 2 yards to the Mtl18. Tackled by Shane Horton.,7,0
08:53,2,Pass,12,Anthony Calvillo pass to S.J. Green for 12 yards to the Mtl30. Tackled by Matt Black.,7,0
08:13,1,Fumble,-6,"Anthony Calvillo pass to Noel Devine for a loss of 6 yards to the Mtl24. FUMBLE, recovered by Tor (Alonzo Lawrence). Tackled by Jeff Perrett.",7,0
07:30,1,Pass,5,Ricky Ray pass to Andre Durie for 5 yards to the Mtl19. Tackled by Jerald Brown.,7,0
06:43,2,Pass,19,Ricky Ray pass to John Chiles for 19 yards for a TOUCHDOWN.,13,0
06:31,0,Made Extra Point,0,Noel Prefontaine extra point is good.,14,0
06:31,0,Kickoff,24,Noel Prefontaine kicks off to the Mtl15. Tyrell Sutton return for 24 yards to Mtl39. Tackled by Herve Tonye-Tonye.,14,0
06:25,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for D.L. Moore.,14,0
06:06,0,Pass Interference,26,Penalty: Pass Interference on Toronto (Pat Watkins) 26 yards.,14,0
05:39,1,Rush,4,rush for 4 yards to the Tor41. Tackled by Marcus Ball.,14,0
05:16,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,14,0
04:03,3,Missed Field Goal,118,49 yard field goal attempt by Sean Whyte is NO GOOD.  Missed field goal returned by Chad Owens for a TOUCHDOWN.,20,0
03:49,0,Made Extra Point,0,Noel Prefontaine extra point is good.,21,0
03:49,0,Kickoff,21,Noel Prefontaine kicks off to the Mtl21. Tyrell Sutton return for 21 yards to Mtl42. Tackled by Jeff Johnson.,21,0
03:43,1,Fumble,35,"Anthony Calvillo pass to Tyrell Sutton for 29 yards to the Tor39. FUMBLE, recovered by Tor (Alonzo Lawrence) and returned for 6 yards. Tackled by Tyrell Sutton.",21,0
03:08,1,Rush,2,Curtis Steele rush for 2 yards to the Tor47. Tackled by Geoff Tisdale.,21,0
02:39,2,Pass,20,Ricky Ray pass to Jason Barnes for 20 yards to the Mtl43. Tackled by Mike Edem.,21,0
02:00,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,21,0
01:25,2,Pass,0,Ricky Ray pass to Curtis Steele for no gain to the Mtl43. Tackled by Chip Cox.,21,0
01:00,3,Punt,0,Noel Prefontaine punts for 40 yards to Mtl3. No return.,21,0
00:31,1,Rush,7,rush for 7 yards to the Mtl10. Tackled by Jamie Robinson.,21,0
00:02,2,Rush,4,rush for 4 yards to the Mtl14. Tackled by Kiante Tripp.,21,0
15:00,1,Pass,6,Anthony Calvillo pass to Brandon London for 6 yards to the Mtl20. Tackled by Marcus Ball.,21,0
14:44,2,Offside,5,Penalty: Offside on Toronto (Robert McCune) 5 yards.,21,0
14:01,1,Pass,17,Anthony Calvillo pass to S.J. Green for 17 yards to the Mtl42. Tackled by Janzen Jackson.,21,0
13:41,1,Rush,5,rush for 5 yards to the Mtl47. Tackled by Marcus Ball.,21,0
13:07,2,Pass,3,Anthony Calvillo pass to   for 3 yards to the Mtl50. Tackled by Pat Watkins.,21,0
12:53,3,Holding,0,Sean Whyte punts for 46 yards to Tor14. Chad Owens return for 7 yards to Tor21. Penalty: Holding on Toronto (Matt Black) -7 yards.,21,0
12:30,1,Pass,8,Ricky Ray pass to John Chiles for 8 yards to the Tor15. Tackled by Geoff Tisdale.,21,0
12:00,2,Rush,13,Zach Collaros rush for 13 yards to the Tor28. Tackled by Mike Edem.,21,0
11:36,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie.,21,0
10:55,2,Pass,12,Ricky Ray pass to Curtis Steele for 12 yards to the Tor40. Tackled by Chip Cox.,21,0
