Time,Down,Type,Yards,Details,Calgary,Toronto
15:00,0,Kickoff,19,Noel Prefontaine kicks off to the Cgy17. Larry Taylor return for 19 yards to Cgy36. Tackled by Jonathan Hood.,0,0
14:55,1,Fumble,29,"Kevin Glenn pass to Marquay McDaniel for 29 yards to the Tor45. FUMBLE, recovered by Tor (Cleyon Laing). Tackled by Marquay McDaniel.",0,0
14:25,1,Pass,11,Ricky Ray pass to Dontrelle Inman for 11 yards to the Cgy54. Tackled by Jamar Wall.,0,0
13:50,1,Pass,9,Ricky Ray pass to Jason Barnes for 9 yards to the Cgy45. Tackled by Jamar Wall.,0,0
13:23,2,Rush,2,Zach Collaros rush for 2 yards to the Cgy43. Tackled by Juwan Simpson.,0,0
12:40,1,Pass,9,Ricky Ray pass to Andre Durie for 9 yards to the Cgy34. Tackled by Brandon Smith.,0,0
12:10,2,Rush,2,Zach Collaros rush for 2 yards to the Cgy32. Tackled by Justin Phillips.,0,0
11:43,1,Pass,8,Ricky Ray pass to Zander Robinson for 8 yards to the Cgy24. Tackled by Fred Bennett.,0,0
10:55,2,Rush,5,Zach Collaros rush for 5 yards to the Cgy19. Tackled by Junior Turner.,0,0
09:50,1,Pass,19,Ricky Ray pass to Jason Barnes for 19 yards for a TOUCHDOWN.,0,6
09:39,0,Made Extra Point,0,Noel Prefontaine extra point is good.,0,7
09:39,0,Holding,17,Noel Prefontaine kicks off to the Cgy13. Larry Taylor return for 27 yards to Cgy40. Penalty: Holding on Calgary (Alvin Bowen) -10 yards.,0,7
09:32,1,Rush,10,Jonathan Williams rush for 10 yards to the Cgy40. Tackled by Matt Black.,0,7
08:54,1,Rush,4,Jonathan Williams rush for 4 yards to the Cgy44. Tackled by Jalil Carter.,0,7
08:33,2,Pass,7,Kevin Glenn pass to Greg Carr for 7 yards to the Cgy51. Tackled by Jamie Robinson.,0,7
07:56,1,Rush,8,Jonathan Williams rush for 8 yards to the Tor51. Tackled by Robert McCune.,0,7
07:15,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jonathan Williams.,0,7
06:52,3,Punt,0,Rob Maver punts for 38 yards to Tor13. No return.,0,7
06:37,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Curtis Steele.,0,7
06:19,2,Sack,-6,Sack at Tor7 for a loss of 6 yards by Deron Mayo.,0,7
05:36,3,Safety,-7,Safety,2,7
05:36,0,Kickoff OOB,30,Noel Prefontaine kicks off to the Cgy22. Penalty: Kickoff OOB on Toronto (Noel Prefontaine) -33 yards.,2,7
05:36,1,Rush,2,Matt Walter rush for 2 yards to the Tor53. Tackled by Robert McCune.,2,7
05:09,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Marquay McDaniel.,2,7
04:40,3,Punt,0,Rob Maver punts for 48 yards to Tor5. No return.,2,7
04:27,1,Sack,-3,Sack at Tor2 for a loss of 3 yards by Cordarro Law.,2,7
03:44,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,2,7
03:03,3,Safety,-2,Safety,4,7
03:03,0,Kickoff,25,Noel Prefontaine kicks off to the Cgy27. Larry Taylor return for 25 yards to Cgy52. Tackled by Jason Pottinger.,4,7
02:50,1,Pass,8,Bo Levi Mitchell pass to Marquay McDaniel for 8 yards to the Tor50. Tackled by Alonzo Lawrence.,4,7
02:20,2,Rush,10,Jonathan Williams rush for 10 yards to the Tor40. Tackled by Major Culbert.,4,7
01:36,0,Roughing Passer,15,Penalty: Roughing Passer on Toronto (Jalil Carter) 15 yards.,4,7
01:12,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Tim Hawthorne.,4,7
00:49,2,Pass,19,Kevin Glenn pass to Jabari Arthur for 19 yards to the Tor6. Tackled by Herve Tonye-Tonye.,4,7
00:02,0,Unnecessary Roughness,-15,Penalty: Unnecessary Roughness on Calgary (Rob Cote) -15 yards.,4,7
00:01,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Anthony Parker.,4,7
15:00,0,Pass Interference,20,Penalty: Pass Interference on Toronto (Jamie Robinson) 20 yards.,4,7
14:39,1,Rush,0,Bo Levi Mitchell rush for no gain to the Tor1. Tackled by Jason Pottinger.,4,7
13:48,2,Rush,-2,Matt Walter rush for a loss of 2 yards to the Tor3. Tackled by Ivan Brown.,4,7
13:07,3,Missed Field Goal,10,Rene Paredes 10 yard field goal attempt is GOOD.,7,7
13:07,0,Holding,8,Rene Paredes kicks off to the Tor7. Chad Owens return for 18 yards to Tor25. Penalty: Holding on Toronto (James Yurichuk) -10 yards.,7,7
12:59,1,Pass,10,Zach Collaros pass to Chad Owens for 10 yards to the Tor25. Tackled by Chris Randle.,7,7
12:19,1,Pass,-3,Zach Collaros pass to Curtis Steele for a loss of 3 yards to the Tor22. Tackled by Cordarro Law.,7,7
11:30,2,Time Count,-5,Penalty: Time Count on Toronto (Zach Collaros) -5 yards.,7,7
11:24,2,Pass,10,Zach Collaros pass to Chad Owens for 10 yards to the Tor27. Tackled by Keon Raymond.,7,7
11:11,3,Punt,0,Noel Prefontaine punts for 41 yards to Cgy42. No return.,7,7
10:51,1,Pass,13,Kevin Glenn pass to Greg Carr for 13 yards to the Cgy55. Tackled by Jalil Carter.,7,7
10:30,1,Rush,1,Jonathan Williams rush for 1 yard to the Tor54. Tackled by  .,7,7
09:52,2,Pass,9,Kevin Glenn pass to Marquay McDaniel for 9 yards to the Tor45. Tackled by Jamie Robinson.,7,7
09:14,1,Rush,6,Jonathan Williams rush for 6 yards to the Tor39. Tackled by Jamie Robinson.,7,7
08:38,2,Rush,19,Jonathan Williams rush for 19 yards to the Tor20. Tackled by Robert McCune.,7,7
07:33,1,Pass,20,Kevin Glenn pass to Marquay McDaniel for 20 yards for a TOUCHDOWN.,13,7
07:10,0,Made Extra Point,0,Rene Paredes extra point is good.,14,7
07:10,0,Kickoff,28,Rene Paredes kicks off to the Tor9. Chad Owens return for 28 yards to Tor37. Tackled by Jonathan Hefney.,14,7
07:01,1,Pass,12,Zach Collaros pass to Andre Durie for 12 yards to the Tor49. Tackled by Keon Raymond.,14,7
06:42,1,Rush,1,Curtis Steele rush for 1 yard to the Tor50. Tackled by Cordarro Law.,14,7
06:06,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles defensed by Fred Bennett.,14,7
05:45,3,Punt,6,Noel Prefontaine punts for 42 yards to Cgy18. Larry Taylor return for 6 yards to Cgy24.,14,7
05:28,1,Rush,0,Jonathan Williams rush for no gain to the Cgy24. Tackled by Robert McCune.,14,7
04:50,0,Illegal Block,-10,Penalty: Illegal Block on Calgary (Stanley Bryant) -10 yards.,14,7
04:25,2,Pass,13,Kevin Glenn pass to Jabari Arthur for 13 yards to the Cgy27. Tackled by Alonzo Lawrence.,14,7
04:03,3,Punt,3,Rob Maver punts for 46 yards to Tor37. Chad Owens return for 3 yards to Tor40. Tackled by Alvin Bowen.,14,7
03:40,1,Pass,39,Zach Collaros pass to Jason Barnes for 39 yards to the Cgy31. Tackled by Jonathan Hefney.,14,7
03:10,1,Pass,17,Zach Collaros pass to John Chiles for 17 yards to the Cgy14. Tackled by Brandon Smith.,14,7
02:44,1,Rush,7,Zach Collaros rush for 7 yards to the Cgy7. Tackled by Charleston Hughes.,14,7
02:27,2,Pass,5,Zach Collaros pass to Chad Owens for 5 yards to the Cgy2. Tackled by Brandon Smith.,14,7
01:52,1,Rush,2,Curtis Steele rush for 2 yards for a TOUCHDOWN.,14,13
01:52,0,Made Extra Point,0,Noel Prefontaine extra point is good.,14,14
01:52,0,Kickoff,33,Noel Prefontaine kicks off to the Cgy15. Larry Taylor return for 33 yards to Cgy48. Tackled by Jeff Johnson.,14,14
01:44,1,Pass,32,Kevin Glenn pass to Anthony Parker for 32 yards to the Tor30. Tackled by Robert McCune.,14,14
01:35,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Brad Sinopoli defensed by Pat Watkins.,14,14
01:16,2,Pass,30,Kevin Glenn pass to Tim Hawthorne for 30 yards for a TOUCHDOWN.,20,14
01:16,0,Made Extra Point,0,Rene Paredes extra point is good.,21,14
01:16,0,Kickoff,21,Rene Paredes kicks off to the Tor7. Chad Owens return for 21 yards to Tor28. Tackled by Jeff Hecht.,21,14
01:09,1,Pass,14,Zach Collaros pass to Andre Durie for 14 yards to the Tor42. Tackled by Chris Randle.,21,14
01:00,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes defensed by Keon Raymond.,21,14
00:49,2,Pass,18,Zach Collaros pass to Jason Barnes for 18 yards to the Cgy50.,21,14
00:42,1,Interception,2,Zach Collaros pass intended for Jason Barnes INTERCEPTED by Jamar Wall and returned for 2 yards.,21,14
00:33,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel defensed by Pat Watkins.,21,14
00:28,2,Rush,6,Matt Walter rush for 6 yards to the Cgy46. Tackled by Robert McCune.,21,14
00:22,3,Punt,-8,Rob Maver punts for 45 yards to Tor19. Chad Owens return for a loss of 8 yards to Tor11. Tackled by Jeff Hecht.,21,14
15:00,0,Kickoff,19,Rene Paredes kicks off to the Tor0. Chad Owens return for 19 yards to Tor0. Tackled by Chris Randle.,21,14
14:48,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie defensed by Deron Mayo.,21,14
14:33,2,Rush,17,Zach Collaros rush for 17 yards to the Tor46.,21,14
14:08,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Andre Durie defensed by  .,21,14
13:53,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Chad Owens.,21,14
13:32,3,Illegal Block,54,Noel Prefontaine punts for 44 yards to Cgy20. Penalty: Illegal Block on Calgary (Eric Fraser) 10 yards.,21,14
13:16,1,Rush,6,Jonathan Williams rush for 6 yards to the Cgy16. Tackled by Auston English.,21,14
12:45,2,Rush,2,Jonathan Williams rush for 2 yards to the Cgy18. Tackled by  .,21,14
12:14,3,Punt,11,Rob Maver punts for 45 yards to Tor47. Chad Owens return for 11 yards to Cgy52. Tackled by  .,21,14
11:48,1,Rush,0,Zach Collaros rush for no gain to the Cgy52. Tackled by Charleston Hughes.,21,14
11:15,2,Rush,1,Zach Collaros rush for 1 yard to the Cgy51. Tackled by Justin Phillips.,21,14
10:41,3,Punt,0,Noel Prefontaine punts for 38 yards to Cgy13. No return.,21,14
10:29,1,Pass,8,Kevin Glenn pass to Brad Sinopoli for 8 yards to the Cgy21.,21,14
10:16,2,Rush,3,Bo Levi Mitchell rush for 3 yards to the Cgy24. Tackled by Khalif Mitchell.,21,14
09:42,1,Pass,22,Kevin Glenn pass to Marquay McDaniel for 22 yards to the Cgy46. Tackled by Jermaine Gabriel.,21,14
09:08,1,Fumble,-1,"Jonathan Williams rush for a loss of 1 yard to the Cgy45. FUMBLE, recovered by Cgy (Stanley Bryant).",21,14
07:56,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jabari Arthur defensed by Alonzo Lawrence.,21,14
