Time,Down,Type,Yards,Details,Montreal,Toronto
15:00,0,Offside on Kickoff,5,Penalty: Offside on Kickoff on Montreal (Michael Carter) 5 yards.,0,0
14:53,0,Kickoff,30,Sean Whyte kicks off to the Tor19. Chad Owens return for 30 yards to Tor49. Tackled by Mike Edem.,0,0
14:42,1,Rush,2,Curtis Steele rush for 2 yards to the Tor51. Tackled by Marc-Olivier Brouillette.,0,0
14:04,0,Pass Interference,29,Penalty: Pass Interference on Montreal (Byron Parker) 29 yards.,0,0
13:35,1,Pass,4,Zach Collaros pass to Curtis Steele for 4 yards to the Mtl26. Tackled by Chip Cox.,0,0
13:05,2,Rush,3,Zach Collaros rush for 3 yards to the Mtl23. Tackled by Chip Cox.,0,0
12:21,3,Field Goal Single,43,43 yard field goal attempt by Noel Prefontaine is NO GOOD (Single).,0,1
12:21,1,Rush,3,rush for 3 yards to the Mtl38. Tackled by Cleyon Laing.,0,1
11:48,2,Sack,-9,Sack at Mtl29 for a loss of 9 yards by Matt Black.,0,1
11:23,3,Punt,41,Sean Whyte punts for 41 yards to Tor40.,0,1
11:10,0,Rush,3,"FUMBLE Zach Collaros rush for 3 yards to the Tor43., recovered by Tor (Zach Collaros).",0,1
10:54,2,Pass,56,Zach Collaros pass to Dontrelle Inman for 56 yards to the Mtl11. Tackled by Chip Cox.,0,1
09:54,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Chad Owens.,0,1
09:42,2,Sack,-2,Sack at Mtl13 for a loss of 2 yards by Marc-Olivier Brouillette.,0,1
09:03,3,Rush,10,Trevor Harris rush for 10 yards to the Mtl3. Tackled by Billy Parker.,0,1
08:49,1,Pass,13,Tanner Marsh pass to Duron Carter for 13 yards to the Mtl16. Tackled by Auston English.,0,1
08:17,1,Pass,11,Tanner Marsh pass to Duron Carter for 11 yards to the Mtl27. Tackled by Jalil Carter.,0,1
07:42,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Patrick Lavoie.,0,1
07:18,2,Sack,-3,Sack at Mtl24 for a loss of 3 yards by Robert McCune.,0,1
06:35,3,Punt,24,Sean Whyte punts for 52 yards to Tor34. Chad Owens return for 24 yards to Mtl52. Tackled by Ed Gainey.,0,1
06:15,1,Rush,18,Chad Owens rush for 18 yards to the Mtl34. Tackled by Mike Edem.,0,1
05:45,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jason Barnes.,0,1
04:59,2,Pass,34,Zach Collaros pass to John Chiles for 34 yards for a TOUCHDOWN.,0,7
04:46,0,Made Extra Point,0,Noel Prefontaine extra point is good.,0,8
04:46,0,Kickoff,15,Noel Prefontaine kicks off to the Mtl10. Tyron Carrier return for 15 yards to Mtl25. Tackled by Jason Pottinger.,0,8
04:39,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for Patrick Lavoie.,0,8
04:17,2,Pass,11,Tanner Marsh pass to S.J. Green for 11 yards to the Mtl36. Tackled by Alonzo Lawrence.,0,8
03:31,1,Rush,3,rush for 3 yards to the Mtl39. Tackled by Jonathan Williams.,0,8
02:52,1,Fumble,55,"Tanner Marsh pass to S.J. Green for 55 yards to the Tor16. FUMBLE, recovered by Tor (Ricardo Colclough). Tackled by  .",0,8
02:15,1,Rush,2,Zach Collaros rush for 2 yards to the Tor18. Tackled by Chip Cox.,0,8
01:45,2,Pass,5,Zach Collaros pass to Andre Durie for 5 yards to the Tor23. Tackled by Marc-Olivier Brouillette.,0,8
01:12,3,Punt,0,Noel Prefontaine punts for 45 yards to Mtl42. Tyron Carrier return for no gain to Mtl42. Tackled by Shane Horton.,0,8
00:52,1,Rush,3,Arland Bruce rush for 3 yards to the Mtl45. Tackled by Ricardo Colclough.,0,8
00:20,2,Pass,11,Tanner Marsh pass to S.J. Green for 11 yards to the Tor54. Tackled by Jalil Carter.,0,8
15:00,1,Rush,9,rush for 9 yards to the Tor45. Tackled by Jalil Carter.,0,8
14:31,2,Rush,20,rush for 20 yards to the Tor25. Tackled by Robert McCune.,0,8
13:53,1,Rush,-2,Arland Bruce rush for a loss of 2 yards to the Tor27. Tackled by Alonzo Lawrence.,0,8
13:06,2,Unnecessary Roughness,20,Tanner Marsh rush for 2 yards to the Tor25. Tackled by Khalif Mitchell. Penalty: Face Mask on Toronto (Khalif Mitchell) 12 yards. Penalty: Unnecessary Roughness on Toronto (Matt Black) 6 yards.,0,8
12:47,1,Rush,2,rush for 2 yards to the Tor5. Tackled by Khalif Mitchell.,0,8
11:59,2,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,0,8
11:23,3,Missed Field Goal,12,Sean Whyte 12 yard field goal attempt is GOOD.,3,8
11:23,0,Kickoff,24,Sean Whyte kicks off to the Tor5. Chad Owens return for 24 yards to Tor29. Tackled by Anwar Stewart.,3,8
11:16,1,Pass,6,Zach Collaros pass to Chad Owens for 6 yards to the Tor35. Tackled by Chip Cox.,3,8
10:42,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Zander Robinson) -5 yards.,3,8
10:21,0,Unnecessary Roughness,15,Penalty: Unnecessary Roughness on Montreal (Chip Cox) 15 yards.,3,8
09:59,1,Rush,0,Curtis Steele rush for no gain to the Tor45. Tackled by Anwar Stewart.,3,8
09:26,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Dontrelle Inman.,3,8
09:09,3,No Yards,31,Noel Prefontaine punts for 36 yards to Mtl29. Penalty: No Yards on Toronto (Jermaine Gabriel) -5 yards.,3,8
08:43,1,Pass,34,Tanner Marsh pass to S.J. Green for 34 yards to the Tor42. Tackled by Jalil Carter.,3,8
08:18,1,Rush,3,rush for 3 yards to the Tor39. Tackled by Shane Horton.,3,8
07:37,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Jalil Carter) 10 yards.,3,8
06:53,1,Rush,1,rush for 1 yard to the Tor28. Tackled by Shane Horton.,3,8
06:08,2,Pass,28,Tanner Marsh pass to Arland Bruce for 28 yards for a TOUCHDOWN.,9,8
05:58,0,Made Extra Point,0,Sean Whyte extra point is good.,10,8
05:58,0,Kickoff,3,Sean Whyte kicks off to the Tor3. Chad Owens return for 3 yards to Tor6. Tackled by Daryl Townsend.,10,8
05:48,1,Pass,9,Zach Collaros pass to Dontrelle Inman for 9 yards to the Tor15. Tackled by Shea Emry.,10,8
05:20,2,Rush,1,Zach Collaros rush for 1 yard to the Tor16. Tackled by Aaron Lavarias.,10,8
04:41,3,Rush,1,Zach Collaros rush for 1 yard to the Tor17. Tackled by Marc-Olivier Brouillette.,10,8
04:01,1,Unnecessary Roughness,-8,Curtis Steele rush for no gain to the Tor17. Tackled by Marc-Olivier Brouillette. Penalty: Unnecessary Roughness on Toronto (Tony Washington) -8 yards.,10,8
03:37,2,Pass,13,Zach Collaros pass to John Chiles for 13 yards to the Tor22. Tackled by Geoff Tisdale.,10,8
03:20,3,Holding,56,Noel Prefontaine punts for 46 yards to Mtl42. Penalty: Holding on Montreal (Steven Lumbala) 10 yards.,10,8
03:04,1,Incomplete Pass,0,Tanner Marsh incomplete pass intended for S.J. Green.,10,8
02:49,2,Pass,10,Tanner Marsh pass to Jerome Messam for 10 yards to the Mtl42. Tackled by Matt Black.,10,8
02:37,3,Rush,2,Tanner Marsh rush for 2 yards to the Mtl44. Tackled by Jason Pottinger.,10,8
