Time,Down,Type,Yards,Details,Toronto,Calgary
15:00,0,Kickoff,15,Swayze Waters kicks off to the Cgy12. Larry Taylor return for 15 yards to Cgy27. Tackled by Jermaine Gabriel.,0,0
14:53,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jabari Arthur.,0,0
14:20,2,Sack,-8,Sack at Cgy19 for a loss of 8 yards by Khalif Mitchell.,0,0
14:07,3,Punt,12,Rob Maver punts for 46 yards to Tor45. Trent Guy return for 12 yards to Cgy53. Tackled by Jeff Hecht.,0,0
13:31,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for John Chiles.,0,0
13:25,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Spencer Watt.,0,0
13:01,3,Punt,3,Swayze Waters punts for 39 yards to Cgy14. Larry Taylor return for 3 yards to Cgy17. Tackled by Jermaine Gabriel.,0,0
12:49,1,Rush,-1,Jon Cornish rush for a loss of 1 yard to the Cgy16. Tackled by Khalif Mitchell.,0,0
12:19,2,Interception,25,Kevin Glenn pass intended for Jabari Arthur INTERCEPTED by Pat Watkins and returned for 25 yards. Tackled by Stanley Bryant.,0,0
11:53,1,Sack,-1,Sack at Cgy4 for a loss of 1 yard by Justin Phillips.,0,0
11:18,2,Pass,4,Zach Collaros pass to John Chiles for 4 yards for a TOUCHDOWN.,6,0
11:00,0,Made Extra Point,0,Swayze Waters extra point is good.,7,0
11:00,0,Kickoff,19,Swayze Waters kicks off to the Cgy14. Larry Taylor return for 19 yards to Cgy33. Tackled by Shane Horton.,7,0
10:54,1,Rush,18,Jon Cornish rush for 18 yards to the Cgy51. Tackled by Jermaine Gabriel.,7,0
10:17,1,Pass,7,Kevin Glenn pass to Brad Sinopoli for 7 yards to the Tor52. Tackled by Demetrice Morley.,7,0
09:48,2,Rush,4,Jon Cornish rush for 4 yards to the Tor48. Tackled by Jonathan Williams.,7,0
09:16,1,Pass,8,Kevin Glenn pass to Jabari Arthur for 8 yards to the Tor40. Tackled by Ricardo Colclough.,7,0
08:38,2,Sack,-5,Sack at Tor45 for a loss of 5 yards by Alonzo Lawrence.,7,0
07:51,3,Missed Field Goal,52,Rene Paredes 52 yard field goal attempt is GOOD.,7,3
07:51,1,Pass,5,Zach Collaros pass to Andre Durie for 5 yards to the Tor40. Tackled by Brandon Smith.,7,3
07:39,0,Sack,-3,FUMBLE  Sack at Tor27 for 5 yards by Jarriel King,7,3
07:08,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Alric Arnett.,7,3
07:00,2,Pass,13,Kevin Glenn pass to Jon Cornish for 13 yards to the Tor14. Tackled by Jalil Carter.,7,3
06:21,1,Rush,3,Jon Cornish rush for 3 yards to the Tor11. Tackled by Robert McCune.,7,3
05:15,2,Pass,11,Kevin Glenn pass to Jabari Arthur for 11 yards for a TOUCHDOWN.,7,9
04:57,0,Made Extra Point,0,Rene Paredes extra point is good.,7,10
04:57,0,Kickoff,18,Rene Paredes kicks off to the Tor9. Trent Guy return for 18 yards to Tor27. Tackled by Cordarro Law.,7,10
04:51,1,Rush,6,Jerious Norwood rush for 6 yards to the Tor33. Tackled by Deron Mayo.,7,10
04:19,2,Pass,6,Zach Collaros pass to Andre Durie for 6 yards to the Tor39. Tackled by Keon Raymond.,7,10
03:57,1,Rush,2,Jerious Norwood rush for 2 yards to the Tor41. Tackled by Micah Johnson.,7,10
03:19,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Jerious Norwood.,7,10
02:58,3,No Yards,19,Swayze Waters punts for 34 yards to Cgy35. Penalty: No Yards on Toronto (Jermaine Gabriel) -15 yards.,7,10
02:36,1,Rush,2,Jon Cornish rush for 2 yards to the Cgy52. Tackled by Marcus Ball.,7,10
02:05,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Jabari Arthur.,7,10
01:14,3,Punt Single,0,Rob Maver punts for 59 yards to Tor0. No return (Single).,7,11
01:14,1,Rush,9,Jerious Norwood rush for 9 yards to the Tor44. Tackled by Cordarro Law.,7,11
00:20,2,Rush,1,Zach Collaros rush for 1 yard to the Tor45. Tackled by Juwan Simpson.,7,11
00:03,1,Pass,5,Zach Collaros pass to Spencer Watt for 5 yards to the Tor50. Tackled by  .,7,11
15:00,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Dontrelle Inman.,7,11
14:29,3,Punt Single,0,Swayze Waters punts for 80 yards to Cgy0. No return (Single).,8,11
14:29,1,Rush,0,Jon Cornish rush for no gain to the Cgy35. Tackled by Ivan Brown.,8,11
14:00,2,Pass,7,Kevin Glenn pass to Anthony Parker for 7 yards to the Cgy42. Tackled by Ricardo Colclough.,8,11
13:33,3,Punt,16,Rob Maver punts for 47 yards to Tor21. Trent Guy return for 16 yards to Tor37. Tackled by Rob Cote.,8,11
13:11,1,Incomplete Pass,0,Zach Collaros incomplete pass intended for Spencer Watt.,8,11
12:59,2,Fumble,-9,"Sack at Tor28 for a loss of 9 yards by Charleston Hughes. FUMBLE, recovered by Cgy (Juwan Simpson). Tackled by SirVincent Rogers.",8,11
12:37,1,Pass,8,Kevin Glenn pass to Jabari Arthur for 8 yards to the Tor20. Tackled by Pat Watkins.,8,11
12:10,2,Rush,3,Jon Cornish rush for 3 yards to the Tor17. Tackled by David Lee.,8,11
11:40,1,Offside,5,Penalty: Offside on Toronto (Demetrice Morley) 5 yards.,8,11
