Time,Down,Type,Yards,Details,Winnipeg,Toronto
15:00,0,Kickoff,12,Sandro DeAngelis kicks off to the Tor18. Chad Owens return for 12 yards to Tor30. Tackled by Ian Wild.,0,0
14:55,1,Pass,15,Ricky Ray pass to Andre Durie for 15 yards to the Tor45. Tackled by Pierre-Luc Labbe.,0,0
14:25,1,Rush,0,rush for no gain to the Tor45. Tackled by Kenny Mainor.,0,0
13:37,2,Pass,7,Ricky Ray pass to Romby Bryant for 7 yards to the Tor52. Tackled by Johnny Sears.,0,0
13:16,3,Punt,7,Swayze Waters punts for 46 yards to Wpg12. Jovon Johnson return for 7 yards to Wpg19. Tackled by Jonathan Hood.,0,0
12:50,1,Pass,39,Max Hall pass to   for 39 yards to the Tor52. Tackled by Jamie Robinson.,0,0
12:26,1,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,0,0
12:11,2,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,0,0
11:45,3,Punt,0,Mike Renaud punts for 41 yards to Tor11. Chad Owens return for no gain to Tor11. Tackled by Johnny Sears.,0,0
11:20,1,Pass,11,Ricky Ray pass to Jason Barnes for 11 yards to the Tor22. Tackled by Brandon Stewart.,0,0
11:06,1,Pass,11,Ricky Ray pass to Chad Owens for 11 yards to the Tor33. Tackled by Ian Wild.,0,0
10:44,1,Rush,14,rush for 14 yards to the Tor47. Tackled by Demond Washington.,0,0
10:10,1,Pass,32,Ricky Ray pass to Dontrelle Inman for 32 yards to the Wpg31.,0,0
09:23,1,Pass,31,Ricky Ray pass to Romby Bryant for 31 yards for a TOUCHDOWN.,0,6
09:09,0,Made Extra Point,0,Swayze Waters extra point is good.,0,7
09:09,0,Kickoff,19,Swayze Waters kicks off to the Wpg5. Will Ford return for 19 yards to Wpg24. Tackled by Jason Pottinger.,0,7
09:04,1,Rush,0,Will Ford rush for no gain to the Wpg24. Tackled by Robert McCune.,0,7
08:18,2,Incomplete Pass,0,Max Hall incomplete pass intended for Cory Watson.,0,7
07:59,3,Punt,11,Mike Renaud punts for 48 yards to Tor38. Chad Owens return for 11 yards to Tor49. Tackled by Mario Fannin.,0,7
07:34,1,Pass,6,Ricky Ray pass to Chad Owens for 6 yards to the Tor55. Tackled by Ian Wild.,0,7
07:11,2,Pass,17,Ricky Ray pass to Chad Owens for 17 yards to the Wpg38. Tackled by Ian Wild.,0,7
06:40,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Jonathan Hood.,0,7
06:16,2,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Wpg29. Tackled by Johnny Sears.,0,7
05:02,3,Missed Field Goal,36,Swayze Waters 36 yard field goal attempt is GOOD.,0,10
05:02,1,Pass,9,Max Hall pass to Clarence Denmark for 9 yards to the Wpg44. Tackled by Ricardo Colclough.,0,10
04:37,2,Rush,1,Jason Boltus rush for 1 yard to the Wpg45. Tackled by Marcus Thomas.,0,10
