Time,Down,Type,Yards,Details,Hamilton,Toronto
15:00,0,Kickoff,16,"Luca Congi kicks off to the Tor19. Andre Durie return for 16 yards to Tor35., recovered by Ham (Frederic Plesius). Tackled by Andre Durie.",0,0
14:50,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Samuel Giguere.,0,0
14:24,2,Pass,11,Henry Burris pass to   for 11 yards to the Tor24. Tackled by Pat Watkins.,0,0
13:46,1,Pass,16,Henry Burris pass to Andy Fantuz for 16 yards to the Tor8. Tackled by Aaron Maybin.,0,0
13:00,1,Sack,-1,Sack at Tor9 for a loss of 1 yard by Marcus Ball.,0,0
12:08,2,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable.,0,0
11:36,3,Missed Field Goal,16,Luca Congi 16 yard field goal attempt is GOOD.,3,0
11:36,0,Kickoff,18,Luca Congi kicks off to the Tor28. Zander Robinson return for 18 yards to Tor46. Tackled by Frederic Plesius.,3,0
11:20,1,Pass,23,Ricky Ray pass to Chad Owens for 23 yards to the Ham41. Tackled by Evan McCollough.,3,0
10:55,1,Pass,11,Ricky Ray pass to Dontrelle Inman for 11 yards to the Ham30. Tackled by Simoni Lawrence.,3,0
10:25,1,Pass,-1,Ricky Ray pass to Dontrelle Inman for a loss of 1 yard to the Ham31. Tackled by Courtney Stephen.,3,0
09:53,2,Pass,16,Ricky Ray pass to John Chiles for 16 yards to the Ham15. Tackled by Emanuel Davis.,3,0
09:23,1,Pass,7,Ricky Ray pass to Dontrelle Inman for 7 yards to the Ham8. Tackled by Rico Murray.,3,0
08:02,2,Pass,8,Ricky Ray pass to Spencer Watt for 8 yards for a TOUCHDOWN.,3,6
07:47,0,Made Extra Point,0,Swayze Waters extra point is good.,3,7
07:47,0,Kickoff,31,Swayze Waters kicks off to the Ham3. Brandon Banks return for 31 yards to Ham34. Tackled by Pat Watkins.,3,7
07:36,1,Incomplete Pass,0,Henry Burris incomplete pass intended for C.J. Gable defensed by Marcus Ball.,3,7
07:11,2,Sack,-8,Sack at Ham26 for a loss of 8 yards by Aaron Maybin.,3,7
06:39,3,Punt,5,Josh Bartel punts for 48 yards to Tor36. Chad Owens return for 5 yards to Tor41. Tackled by Neil King.,3,7
06:18,1,Pass,5,Ricky Ray pass to Jerious Norwood for 5 yards to the Tor46. Tackled by Brian Bulcke.,3,7
05:55,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Andre Durie defensed by Hasan Hazime.,3,7
05:12,3,Punt,8,Swayze Waters punts for 52 yards to Ham12. Brandon Banks return for 8 yards to Ham20. Tackled by James Yurichuk.,3,7
05:07,1,Rush,1,C.J. Gable rush for 1 yard to the Ham21. Tackled by Jonathan Williams.,3,7
04:34,2,Pass,9,Henry Burris pass to Andy Fantuz for 9 yards to the Ham30. Tackled by Demetrice Morley.,3,7
03:54,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Greg Ellingson.,3,7
03:32,1,Pass,49,Henry Burris pass to Samuel Giguere for 49 yards to the Tor31. Tackled by Jamie Robinson.,3,7
03:04,0,Illegal Contact,10,Penalty: Illegal Contact on Toronto (Alonzo Lawrence) 10 yards.,3,7
