Time,Down,Type,Yards,Details,Winnipeg,Montreal
15:00,0,Kickoff,22,Sean Whyte kicks off to the Wpg11. Clarence Denmark return for 22 yards to Wpg33. Tackled by Michael Carter.,0,0
14:46,1,Offside,5,Penalty: Offside on Montreal (Byron Parker) 5 yards.,0,0
14:03,1,Rush,4,Chad Simpson rush for 4 yards to the Wpg42. Tackled by Chip Cox.,0,0
13:45,2,Rush,8,Chad Simpson rush for 8 yards to the Wpg50. Tackled by Billy Parker.,0,0
13:26,1,Sack,-8,Sack at Wpg42 for a loss of 8 yards by Mike Edem.,0,0
12:32,2,Fumble,23,"Buck Pierce pass to Cory Watson for 23 yards to the Mtl45. FUMBLE, recovered by Mtl (Mike Edem). Tackled by Cory Watson.",0,0
12:30,1,Rush,1,Brandon Whitaker rush for 1 yard to the Mtl46. Tackled by Henoc Muamba.,0,0
12:19,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,0,0
12:01,3,Punt,9,Sean Whyte punts for 54 yards to Wpg10. Jovon Johnson return for 9 yards to Wpg19. Tackled by Kyries Hebert.,0,0
11:03,1,Interception,0,Buck Pierce pass intended for Will Ford INTERCEPTED by Scooter Berry. No return. Tackled by Chris Matthews.,0,0
10:57,1,Pass,8,Anthony Calvillo pass to Jamel Richardson for 8 yards to the Wpg12. Tackled by Alex Suber.,0,0
09:50,2,Rush,3,Brandon Whitaker rush for 3 yards to the Wpg9. Tackled by Chris Cvetkovic.,0,0
09:09,1,Rush,1,Brandon Whitaker rush for 1 yard to the Wpg8. Tackled by Pierre-Luc Labbe.,0,0
08:59,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Jamel Richardson.,0,0
08:22,3,Missed Field Goal,15,Sean Whyte 15 yard field goal attempt is GOOD.,0,3
08:22,1,Rush,11,Will Ford rush for 11 yards to the Wpg46. Tackled by Scooter Berry.,0,3
07:54,1,Pass,27,Buck Pierce pass to Cory Watson for 27 yards to the Mtl37. Tackled by Jerald Brown.,0,3
07:08,1,Pass,7,Buck Pierce pass to Terrence Edwards for 7 yards to the Mtl30. Tackled by Kyries Hebert.,0,3
06:25,2,Rush,5,Will Ford rush for 5 yards to the Mtl25. Tackled by Chip Cox.,0,3
06:00,1,Pass,4,Buck Pierce pass to Terrence Edwards for 4 yards to the Mtl21. Tackled by Byron Parker.,0,3
05:31,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Jade Etienne defensed by Ejiro Kuale.,0,3
05:19,3,Missed Field Goal,35,40 yard field goal attempt by Justin Palardy is NO GOOD.  Missed field goal returned by Noel Devine to the Mtl16. Tackled by Mike Renaud.,0,3
04:51,1,Rush,3,Noel Devine rush for 3 yards to the Mtl19. Tackled by Henoc Muamba.,0,3
04:22,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Arland Bruce.,0,3
03:58,3,Fumble,13,"Sean Whyte punts for 50 yards to Wpg41. Jovon Johnson return for 13 yards to Wpg54. FUMBLE, recovered by Mtl (Chip Cox). Tackled by Pierre-Luc Labbe.",0,3
03:21,1,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for S.J. Green.,0,3
03:17,2,Incomplete Pass,0,Anthony Calvillo incomplete pass intended for Brandon London.,0,3
02:56,3,Tripping,72,Sean Whyte punts for 67 yards to Wpg0. Penalty: Tripping on Winnipeg (Alex Suber) 5 yards.,0,3
02:30,1,Rush,1,Chad Simpson rush for 1 yard to the Wpg6. Tackled by John Bowman.,0,3
02:04,2,Pass,37,Buck Pierce pass to Cory Watson for 37 yards to the Wpg43. Tackled by Mike Edem.,0,3
01:13,1,Pass,5,Buck Pierce pass to Cory Watson for 5 yards to the Wpg48. Tackled by Mike Edem.,0,3
00:44,2,Pass,10,Buck Pierce pass to Cory Watson for 10 yards to the Mtl52. Tackled by Mike Edem.,0,3
00:02,1,Roughing Passer,22,Buck Pierce pass to Clarence Denmark for 7 yards to the Mtl45. Tackled by Mike Edem. Penalty: Roughing Passer on Montreal (Ejiro Kuale) 15 yards.,0,3
00:01,1,Pass,15,Buck Pierce pass to Terrence Edwards for 15 yards to the Mtl15. Tackled by Mike Edem.,0,3
15:00,1,Rush,8,Chad Simpson rush for 8 yards to the Mtl7. Tackled by Kyries Hebert.,0,3
14:36,2,Rush,2,Chad Simpson rush for 2 yards to the Mtl5. Tackled by Billy Parker.,0,3
13:40,3,Rush,1,Justin Goltz rush for 1 yard to the Mtl4. Tackled by Shea Emry.,0,3
12:42,1,Rush,4,Justin Goltz rush for 4 yards for a TOUCHDOWN.,6,3
12:34,0,Made Extra Point,0,Justin Palardy extra point is good.,7,3
12:34,0,Kickoff,15,Justin Palardy kicks off to the Mtl14. Noel Devine return for 15 yards to Mtl29. Tackled by Marty Markett.,7,3
12:29,1,Pass,7,Anthony Calvillo pass to S.J. Green for 7 yards to the Mtl36. Tackled by Desia Dunn.,7,3
12:02,2,Rush,-1,Brandon Whitaker rush for a loss of 1 yard to the Mtl35. Tackled by Demond Washington.,7,3
11:13,3,Punt,0,Sean Whyte punts for 31 yards to Wpg44. No return.,7,3
10:55,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Terrence Edwards.,7,3
10:41,2,Pass,14,Buck Pierce pass to Rory Kohlert for 14 yards to the Mtl52. Tackled by Chip Cox.,7,3
10:00,1,Pass,5,Buck Pierce pass to Clarence Denmark for 5 yards to the Mtl47. Tackled by Chip Cox.,7,3
09:39,2,Rush,4,Chad Simpson rush for 4 yards to the Mtl43. Tackled by Alan-Michael Cash.,7,3
09:11,3,Rush,1,Justin Goltz rush for 1 yard to the Mtl42. Tackled by Kyries Hebert.,7,3
08:51,1,Sack,-4,Sack at Mtl46 for a loss of 4 yards by Alan-Michael Cash.,7,3
07:44,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Chris Matthews.,7,3
07:00,3,Punt Single,0,Mike Renaud punts for 49 yards to Mtl0. No return (Single).,8,3
07:00,1,Pass,1,Anthony Calvillo pass to Noel Devine for 1 yard to the Mtl36. Tackled by Jovon Johnson.,8,3
06:38,2,Offside,-5,Penalty: Offside on Montreal (Noel Devine) -5 yards.,8,3
06:18,2,Pass,10,Anthony Calvillo pass to Brandon Whitaker for 10 yards to the Mtl41. Tackled by Terrell Parker.,8,3
05:57,3,No Yards,32,Sean Whyte punts for 47 yards to Wpg22. Penalty: No Yards on Montreal (Billy Parker) -15 yards.,8,3
05:32,1,Rush,-3,Will Ford rush for a loss of 3 yards to the Wpg34. Tackled by Michael Klassen.,8,3
04:33,2,Sack,-2,Sack at Wpg32 for a loss of 2 yards by Michael Klassen.,8,3
04:09,3,Punt,20,Mike Renaud punts for 56 yards to Mtl22. Noel Devine return for 20 yards to Mtl42. Tackled by Desia Dunn.,8,3
03:54,1,Rush,5,Brandon Whitaker rush for 5 yards to the Mtl47. Tackled by Henoc Muamba.,8,3
03:25,2,Pass,11,Anthony Calvillo pass to Arland Bruce for 11 yards to the Wpg52. Tackled by Desia Dunn.,8,3
02:57,1,Rush,11,Brandon Whitaker rush for 11 yards to the Wpg41. Tackled by Demond Washington.,8,3
02:49,1,Rush,1,Brandon Whitaker rush for 1 yard to the Wpg40. Tackled by Zach Anderson.,8,3
02:32,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Montreal (Josh Bourke) -5 yards.,8,3
