Time,Down,Type,Yards,Details,Toronto,Winnipeg
15:00,0,Kickoff,15,Noel Prefontaine kicks off to the Wpg9. Will Ford return for 15 yards to Wpg24. Tackled by Mister Alexander.,0,0
14:55,1,Pass,14,Buck Pierce pass to Rory Kohlert for 14 yards to the Wpg38. Tackled by Matt Black.,0,0
14:08,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Isaac Anderson.,0,0
13:55,2,Pass,38,Buck Pierce pass to Clarence Denmark for 38 yards to the Tor34. Tackled by Marcus Ball.,0,0
13:31,1,Rush,2,Buck Pierce rush for 2 yards to the Tor32.,0,0
13:24,2,Pass,5,Buck Pierce pass to Clarence Denmark for 5 yards to the Tor27. Tackled by Robert McCune.,0,0
12:09,3,Missed Field Goal,34,Justin Palardy 34 yard field goal attempt is GOOD.,0,3
12:09,0,Kickoff,17,Justin Palardy kicks off to the Tor25. Zander Robinson return for 17 yards to Tor42. Tackled by James Green.,0,3
12:03,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Wayne Smith) -5 yards.,0,3
11:46,1,Pass,10,Ricky Ray pass to Jason Barnes for 10 yards to the Tor47. Tackled by Brandon Stewart.,0,3
11:10,2,Pass,9,Ricky Ray pass to Andre Durie for 9 yards to the Wpg54. Tackled by Brandon Stewart.,0,3
10:52,1,Pass,9,Ricky Ray pass to Chad Owens for 9 yards to the Wpg45. Tackled by Ian Wild.,0,3
10:36,2,Rush,1,Zach Collaros rush for 1 yard to the Wpg44. Tackled by Ian Wild.,0,3
09:24,1,Rush,2,Chad Kackert rush for 2 yards to the Wpg42. Tackled by Demond Washington.,0,3
08:55,2,Pass,8,Ricky Ray pass to Jason Barnes for 8 yards to the Wpg34. Tackled by Alex Suber.,0,3
08:20,1,Pass,19,Ricky Ray pass to Chad Kackert for 19 yards to the Wpg15. Tackled by Jovon Johnson.,0,3
06:52,1,Pass,15,Ricky Ray pass to Chad Owens for 15 yards for a TOUCHDOWN.,6,3
06:39,0,Made Extra Point,0,Noel Prefontaine extra point is good.,7,3
06:39,0,Kickoff,21,Noel Prefontaine kicks off to the Wpg14. Will Ford return for 21 yards to Wpg35. Tackled by Spencer Watt.,7,3
06:32,1,Rush,-2,Chad Simpson rush for a loss of 2 yards to the Wpg33. Tackled by Brandon Isaac.,7,3
05:56,2,Pass,9,Buck Pierce pass to Doug Pierce for 9 yards to the Wpg42. Tackled by Jermaine Gabriel.,7,3
05:32,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg (Dexter Davis) -5 yards.,7,3
05:08,3,Illegal Block,-5,Mike Renaud punts for 35 yards to Tor38. Chad Owens return for 5 yards to Tor43. Penalty: Illegal Block on Toronto (Jermaine Gabriel) -10 yards.,7,3
04:51,1,Rush,11,Chad Kackert rush for 11 yards to the Tor44. Tackled by Henoc Muamba.,7,3
04:15,1,Pass,6,Ricky Ray pass to Chad Kackert for 6 yards to the Tor50. Tackled by Henoc Muamba.,7,3
03:58,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for John Chiles.,7,3
03:21,3,No Yards,34,Noel Prefontaine punts for 39 yards to Wpg21. Penalty: No Yards on Toronto (Mister Alexander) -5 yards.,7,3
03:02,1,Pass,39,Buck Pierce pass to Clarence Denmark for 39 yards to the Tor45.,7,3
02:50,1,Rush,1,Chad Simpson rush for 1 yard to the Tor44. Tackled by Marcus Ball.,7,3
01:55,2,Pass,13,Buck Pierce pass to Jade Etienne for 13 yards to the Tor31. Tackled by Robert McCune.,7,3
01:32,1,Rush,10,Chad Simpson rush for 10 yards to the Tor21. Tackled by Jermaine Gabriel.,7,3
00:57,1,Fumble,-5,FUMBLE Recovered by Wpg (Buck Pierce),7,3
00:03,2,Pass,2,Buck Pierce pass to Chad Simpson for 2 yards to the Tor24. Tackled by Brandon Isaac.,7,3
14:50,3,Missed Field Goal,31,Justin Palardy 31 yard field goal attempt is GOOD.,7,6
14:50,0,Kickoff,27,Justin Palardy kicks off to the Tor6. Chad Owens return for 27 yards to Tor33. Tackled by Alex Suber.,7,6
14:43,1,Pass,7,Ricky Ray pass to Spencer Watt for 7 yards to the Tor40. Tackled by Alex Suber.,7,6
14:30,2,Rush,1,Chad Kackert rush for 1 yard to the Tor41. Tackled by Demond Washington.,7,6
13:23,3,Punt,1,Noel Prefontaine punts for 35 yards to Wpg34. Jovon Johnson return for 1 yard to Wpg35. Tackled by Chad Rempel.,7,6
13:07,1,Rush,5,Buck Pierce rush for 5 yards to the Wpg40. Tackled by Jonathan Williams.,7,6
12:42,2,Rush,1,Will Ford rush for 1 yard to the Wpg41. Tackled by Shane Horton.,7,6
11:50,3,Punt,4,Mike Renaud punts for 49 yards to Tor20. Chad Owens return for 4 yards to Tor24. Tackled by Brandon Stewart.,7,6
11:34,1,Pass,13,Ricky Ray pass to Chad Owens for 13 yards to the Tor37. Tackled by Brandon Stewart.,7,6
11:13,1,Rush,1,Chad Kackert rush for 1 yard to the Tor38. Tackled by Marquis Frazier.,7,6
10:33,2,Rush,6,Ricky Ray rush for 6 yards to the Tor44. Tackled by Marquis Frazier.,7,6
09:46,3,Punt,7,Noel Prefontaine punts for 48 yards to Wpg18. Jovon Johnson return for 7 yards to Wpg25. Tackled by Matt Black.,7,6
09:20,1,Pass,7,Buck Pierce pass to Isaac Anderson for 7 yards to the Wpg32. Tackled by Jamie Robinson.,7,6
08:48,2,Pass,6,Buck Pierce pass to Rory Kohlert for 6 yards to the Wpg38. Tackled by Jalil Carter.,7,6
08:19,1,Interception,47,Buck Pierce pass intended for Clarence Denmark INTERCEPTED by Jamie Robinson and returned for 47 yards. Tackled by Shannon Boatman.,7,6
07:18,1,Pass,30,Ricky Ray pass to Spencer Watt for 30 yards for a TOUCHDOWN.,13,6
07:07,0,Made Extra Point,0,Noel Prefontaine extra point is good.,14,6
07:07,0,Kickoff,13,Noel Prefontaine kicks off to the Wpg15. Will Ford return for 13 yards to Wpg28. Tackled by Jermaine Gabriel.,14,6
07:03,1,Incomplete Pass,0,Buck Pierce incomplete pass intended for Rory Kohlert.,14,6
06:49,2,Incomplete Pass,0,Buck Pierce incomplete pass intended for Doug Pierce.,14,6
06:18,3,Punt,7,Mike Renaud punts for 49 yards to Tor33. Chad Owens return for 7 yards to Tor40. Tackled by Ian Wild.,14,6
05:55,1,Pass,8,Ricky Ray pass to Andre Durie for 8 yards to the Tor48. Tackled by Dexter Davis.,14,6
04:56,2,Rush,-2,Chad Kackert rush for a loss of 2 yards to the Tor46. Tackled by Henoc Muamba.,14,6
04:26,2,Holding,43,Noel Prefontaine punts for 33 yards to Wpg31. Penalty: Holding on Winnipeg (James Green) 10 yards.,14,6
04:02,1,Rush,1,Chad Simpson rush for 1 yard to the Wpg22. Tackled by Robert McCune.,14,6
03:44,2,Pass,6,Buck Pierce pass to Isaac Anderson for 6 yards to the Wpg28. Tackled by Jamie Robinson.,14,6
02:50,3,Punt,8,Mike Renaud punts for 43 yards to Tor39. Chad Owens return for 8 yards to Tor47. Tackled by Marty Markett.,14,6
02:42,1,Pass,36,Ricky Ray pass to Andre Durie for 36 yards to the Wpg27. Tackled by Cauchy Muamba.,14,6
02:33,1,Pass,14,Ricky Ray pass to John Chiles for 14 yards to the Wpg13. Tackled by Brandon Stewart.,14,6
02:28,1,Pass,4,Ricky Ray pass to Chad Kackert for 4 yards to the Wpg9. Tackled by Alex Suber.,14,6
02:04,2,Pass,8,Ricky Ray pass to Chad Owens for 8 yards to the Wpg1. Tackled by Cauchy Muamba.,14,6
01:23,1,Rush,1,Zach Collaros rush for 1 yard for a TOUCHDOWN.,20,6
01:23,0,Made Extra Point,0,Noel Prefontaine extra point is good.,21,6
01:29,0,Illegal Block,0,Noel Prefontaine kicks off to the Wpg20. Will Ford return for 10 yards to Wpg30. Penalty: Illegal Block on Winnipeg (Teague Sherman) -10 yards.,21,6
01:18,1,Sack,-5,Sack at Wpg15 for a loss of 5 yards by Shane Horton.,21,6
01:14,2,Rush,13,Chad Simpson rush for 13 yards to the Wpg28. Tackled by Marcus Ball.,21,6
00:50,3,Punt,-2,Mike Renaud punts for 48 yards to Tor34. Chad Owens return for a loss of 2 yards to Tor32. Tackled by Marty Markett.,21,6
15:00,0,Kickoff,17,Justin Palardy kicks off to the Tor13. Chad Owens return for 17 yards to Tor30. Tackled by Brandon Stewart.,21,6
14:56,1,Unnecessary Roughness,20,Chad Kackert rush for 5 yards to the Tor35. Tackled by Marty Markett. Penalty: Unnecessary Roughness on Winnipeg (Demond Washington) 15 yards.,21,6
14:34,1,Pass,10,Ricky Ray pass to Chad Owens for 10 yards to the Wpg50. Tackled by Marty Markett.,21,6
13:51,2,Rush,1,Zach Collaros rush for 1 yard to the Wpg49. Tackled by Zach Anderson.,21,6
13:14,1,Fumble,7,"Ricky Ray pass to John Chiles for 7 yards to the Wpg42. FUMBLE, recovered by Tor (Jason Barnes).",21,6
12:24,2,Illegal Procedure,-5,Penalty: Illegal Procedure on Toronto (Joe Eppele) -5 yards.,21,6
12:21,2,Pass,25,Ricky Ray pass to Chad Owens for 25 yards to the Wpg22. Tackled by Cauchy Muamba.,21,6
11:45,1,Rush,4,Chad Owens rush for 4 yards to the Wpg18. Tackled by Henoc Muamba.,21,6
10:41,2,Rush,18,Ricky Ray rush for 18 yards for a TOUCHDOWN.,27,6
10:31,0,Made Extra Point,0,Noel Prefontaine extra point is good.,28,6
10:31,0,Kickoff,21,Noel Prefontaine kicks off to the Wpg18. Will Ford return for 21 yards to Wpg39. Tackled by James Yurichuk.,28,6
10:21,1,Rush,-2,Chad Simpson rush for a loss of 2 yards to the Wpg37. Tackled by Khalif Mitchell.,28,6
09:39,2,Pass,30,Justin Goltz pass to Clarence Denmark for 30 yards to the Tor43. Tackled by Matt Black.,28,6
09:15,1,Pass,3,Justin Goltz pass to Jade Etienne for 3 yards to the Tor40. Tackled by Brandon Isaac.,28,6
08:39,2,Clipping,-11,Justin Goltz pass to Chad Simpson for 4 yards to the Tor36. Tackled by Jamie Robinson. Penalty: Clipping on Winnipeg (Doug Pierce) -15 yards.,28,6
08:05,3,Illegal Punt,20,Mike Renaud punts for 30 yards to Tor21. Penalty: Illegal Punt on Winnipeg (Mike Renaud) -10 yards.,28,6
07:45,1,Rush,3,Chad Kackert rush for 3 yards to the Tor34. Tackled by Henoc Muamba.,28,6
07:20,2,Pass,48,Ricky Ray pass to Andre Durie for 48 yards to the Wpg28. Tackled by Alex Suber.,28,6
06:42,1,Rush,0,Chad Kackert rush for no gain to the Wpg28. Tackled by Alex Hall.,28,6
06:10,2,Pass,5,Zach Collaros pass to Andre Durie for 5 yards to the Wpg23. Tackled by Henoc Muamba.,28,6
05:19,3,Missed Field Goal,30,Noel Prefontaine 30 yard field goal attempt is GOOD.,31,6
05:19,0,Kickoff,7,Noel Prefontaine kicks off to the Wpg15. Will Ford return for 7 yards to Wpg22. Tackled by Pat Watkins.,31,6
05:17,1,Rush,5,Justin Goltz rush for 5 yards to the Wpg27. Tackled by Robert McCune.,31,6
04:47,2,Rush,8,Chad Simpson rush for 8 yards to the Wpg35. Tackled by Brandon Isaac.,31,6
04:12,1,Sack,-3,Sack at Wpg32 for a loss of 3 yards by Marcus Ball.,31,6
03:30,2,Pass,4,Justin Goltz pass to Jade Etienne for 4 yards to the Wpg36. Tackled by Robert McCune.,31,6
02:50,3,Punt,4,Mike Renaud punts for 55 yards to Tor19. Chad Owens return for 4 yards to Tor23. Tackled by Brandon Stewart.,31,6
02:24,1,Rush,1,Chad Kackert rush for 1 yard to the Tor24. Tackled by Ian Wild.,31,6
02:04,2,Incomplete Pass,0,Trevor Harris incomplete pass intended for Chad Owens defensed by Teague Sherman.,31,6
01:28,3,Fumble,-9,Punt blocked by Teague Sherman FUMBLE Recovered by Wpg (Cauchy Muamba). Tackled by Noel Prefontaine,31,6
00:32,1,Rush,0,Justin Goltz rush for no gain to the Tor15. Tackled by Jonathan Williams.,31,6
00:11,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Doug Pierce defensed by Jamie Robinson.,31,6
14:49,3,Missed Field Goal,22,Justin Palardy 22 yard field goal attempt is GOOD.,31,9
14:48,1,Incomplete Pass,0,Trevor Harris incomplete pass intended for Chad Kackert.,31,9
14:27,2,Pass,55,Trevor Harris pass to John Chiles for 55 yards to the Wpg20. Tackled by Jovon Johnson.,31,9
13:40,1,Rush,0,Andre Durie rush for no gain to the Wpg20. Tackled by Ryan Lucas.,31,9
13:13,2,Sack,-2,Sack at Wpg22 for a loss of 2 yards by Alex Hall.,31,9
12:28,3,Unnecessary Roughness,13,39 yard field goal attempt by Noel Prefontaine is NO GOOD.  Missed field goal returned by Jovon Johnson to the Wpg0 (Single). Penalty: Unnecessary Roughness on Toronto (Wayne Smith) 15 yards. Penalty: Unnecessary Roughness on Winnipeg (Alex Hall) -15 yards.,32,9
12:16,1,Fumble,28,"Justin Goltz pass to Chad Simpson for 15 yards to the Wpg50. FUMBLE, recovered by Tor (Marcus Ball) and returned for 13 yards. Tackled by Justin Goltz.",32,9
11:48,1,Rush,2,Andre Durie rush for 2 yards to the Wpg35. Tackled by Ryan Lucas.,32,9
11:15,2,Pass,2,Trevor Harris pass to Andre Durie for 2 yards to the Wpg33. Tackled by Alex Suber.,32,9
10:47,3,Missed Field Goal,3,32 yard field goal attempt by Noel Prefontaine is NO GOOD.  Missed field goal returned by Jovon Johnson to the Wpg4. Tackled by Chad Rempel.,32,9
10:13,1,Rush,3,Chad Simpson rush for 3 yards to the Wpg7. Tackled by David Lee.,32,9
09:31,2,Pass,1,Justin Goltz pass to Rory Kohlert for 1 yard to the Wpg8. Tackled by Robert McCune.,32,9
