Time,Down,Type,Yards,Details,Calgary,Winnipeg
15:00,0,Kickoff,16,Rene Paredes kicks off to the Wpg19.   return for 16 yards to Wpg35. Tackled by Alvin Bowen.,0,0
14:56,1,Pass,6,Justin Goltz pass to Jade Etienne for 6 yards to the Wpg41. Tackled by Fred Bennett.,0,0
14:20,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for  .,0,0
14:00,3,Illegal Block,-8,Mike Renaud punts for 42 yards to Cgy27. Larry Taylor return for 2 yards to Cgy29. Penalty: Illegal Block on Calgary (Matt Walter) -10 yards.,0,0
13:33,1,Offside,5,Penalty: Offside on Winnipeg (Alex Hall) 5 yards.,0,0
13:03,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Brett Jones) -5 yards.,0,0
12:55,1,Pass,11,Bo Levi Mitchell pass to Nik Lewis for 11 yards to the Cgy30. Tackled by Demond Washington.,0,0
12:29,1,Pass,5,Bo Levi Mitchell pass to Tim Hawthorne for 5 yards to the Cgy35. Tackled by Ian Wild.,0,0
11:52,2,Offside,5,Penalty: Offside on Winnipeg (Alex Hall) 5 yards.,0,0
11:12,2,Offside,5,Penalty: Offside on Winnipeg (Bryant Turner) 5 yards.,0,0
10:57,1,Pass,10,Bo Levi Mitchell pass to Nik Lewis for 10 yards to the Cgy55. Tackled by Demond Washington.,0,0
10:15,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Wpg53. Tackled by Henoc Muamba.,0,0
09:43,1,Rush,1,Jon Cornish rush for 1 yard to the Wpg52. Tackled by Demond Washington.,0,0
09:11,2,Pass,4,Bo Levi Mitchell pass to Jon Cornish for 4 yards to the Wpg48. Tackled by Zach Anderson.,0,0
08:12,3,Punt Single,0,Rob Maver punts for 50 yards to Wpg0. No return (Single).,1,0
08:12,1,Rush,4,Chad Simpson rush for 4 yards to the Wpg39. Tackled by Shawn Lemon.,1,0
07:48,0,Pass Interference,10,Penalty: Pass Interference on Calgary (Juwan Simpson) 10 yards.,1,0
07:28,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Clarence Denmark.,1,0
07:13,2,Rush,7,Justin Goltz rush for 7 yards to the Cgy54. Tackled by Eric Fraser.,1,0
06:40,3,Punt,0,Mike Renaud punts for 39 yards to Cgy15. Larry Taylor return for no gain to Cgy15. Tackled by Wesley Pendleton.,1,0
06:12,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy20. Tackled by Kenny Mainor.,1,0
05:40,2,Pass,6,Bo Levi Mitchell pass to Marquay McDaniel for 6 yards to the Cgy26. Tackled by Brandon Stewart.,1,0
05:01,1,Rush,-2,Jon Cornish rush for a loss of 2 yards to the Cgy24. Tackled by Kenny Mainor.,1,0
04:10,2,Pass,55,Bo Levi Mitchell pass to Tim Hawthorne for 55 yards to the Wpg31. Tackled by Cauchy Muamba.,1,0
03:36,1,Rush,4,Jon Cornish rush for 4 yards to the Wpg27. Tackled by Henoc Muamba.,1,0
02:37,2,Pass,27,Bo Levi Mitchell pass to Greg Carr for 27 yards for a TOUCHDOWN.,7,0
02:22,0,Made Extra Point,0,Rene Paredes extra point is good.,8,0
02:22,0,Kickoff,13,Rene Paredes kicks off to the Wpg24.   return for 13 yards to Wpg37. Tackled by Chris Randle.,8,0
02:18,1,Rush,4,Chad Simpson rush for 4 yards to the Wpg41. Tackled by Brandon Smith.,8,0
01:44,2,Pass,7,Justin Goltz pass to Rory Kohlert for 7 yards to the Wpg48. Tackled by Juwan Simpson.,8,0
01:11,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Isaac Anderson defensed by Chris Randle.,8,0
00:52,2,Face Mask,51,Justin Goltz pass to Rory Kohlert for 40 yards to the Cgy22. Tackled by Demetrice Morley. Penalty: Face Mask on Calgary (Demetrice Morley) 11 yards.,8,0
00:33,1,Rush,6,Chad Simpson rush for 6 yards to the Cgy5. Tackled by Juwan Simpson.,8,0
00:00,2,Pass,5,Justin Goltz pass to Jade Etienne for 5 yards for a TOUCHDOWN.,8,6
00:00,0,Made Extra Point,0,Justin Palardy extra point is good.,8,7
15:00,0,Kickoff,21,Justin Palardy kicks off to the Cgy18. Larry Taylor return for 21 yards to Cgy39. Tackled by Anthony Woodson.,8,7
