Time,Down,Type,Yards,Details,Winnipeg,Saskatchewan
15:00,0,Kickoff,4,Ricky Schmitt kicks off to the Wpg12. Aaron Woods return for 4 yards to Wpg16. Tackled by Brian Peters.,0,0
14:52,1,Rush,2,Chad Simpson rush for 2 yards to the Wpg18. Tackled by Craig Butler.,0,0
14:23,2,Offside,-5,Penalty: Offside on Winnipeg (Cory Watson) -5 yards.,0,0
14:00,2,Pass,8,Justin Goltz pass to Aaron Kelly for 8 yards to the Wpg21. Tackled by Macho Harris.,0,0
13:55,3,Punt,12,Mike Renaud punts for 51 yards to Ssk38. Tristan Jackson return for 12 yards to Ssk50. Tackled by James Green.,0,0
13:29,1,Rush,5,Kory Sheets rush for 5 yards to the Ssk55. Tackled by Ian Wild.,0,0
12:53,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Weston Dressler.,0,0
12:34,3,Punt,6,Ricky Schmitt punts for 43 yards to Wpg12. Aaron Woods return for 6 yards to Wpg18. Tackled by Spencer Moore.,0,0
12:15,1,Rush,4,Aaron Woods rush for 4 yards to the Wpg22. Tackled by Craig Butler.,0,0
11:53,2,Rush,11,Justin Goltz rush for 11 yards to the Wpg33. Tackled by Tyron Brackenridge.,0,0
11:18,1,Sack,-5,Sack at Wpg28 for a loss of 5 yards by John Chick.,0,0
10:28,2,Pass,3,Justin Goltz pass to Terrence Edwards for 3 yards to the Wpg31. Tackled by Dwight Anderson.,0,0
10:02,3,Punt,1,Mike Renaud punts for 41 yards to Ssk38. Tristan Jackson return for 1 yard to Ssk39. Tackled by Dan West.,0,0
09:42,1,Rush,-3,Kory Sheets rush for a loss of 3 yards to the Ssk36. Tackled by Henoc Muamba.,0,0
09:13,2,Pass,7,Darian Durant pass to Kory Sheets for 7 yards to the Ssk43. Tackled by Henoc Muamba.,0,0
08:44,3,Punt,20,Ricky Schmitt punts for 49 yards to Wpg18. Aaron Woods return for 20 yards to Wpg38. Tackled by Spencer Moore.,0,0
08:17,1,Pass,10,Justin Goltz pass to Aaron Kelly for 10 yards to the Wpg48. Tackled by Dwight Anderson.,0,0
07:56,1,Pass,8,Justin Goltz pass to Clarence Denmark for 8 yards to the Ssk54. Tackled by Terrell Maze.,0,0
07:35,2,Rush,-1,Chad Simpson rush for a loss of 1 yard to the Wpg55. Tackled by Tearrius George.,0,0
07:06,3,Punt,0,Mike Renaud punts for 54 yards to Ssk1. No return.,0,0
06:19,1,Safety,-1,Kory Sheets rush for a loss of 1 yard to the Ssk0. Safety.,2,0
06:19,0,Kickoff,24,Ricky Schmitt kicks off to the Wpg13. Aaron Woods return for 24 yards to Wpg37. Tackled by Craig Butler.,2,0
06:09,1,Rush,6,Chad Simpson rush for 6 yards to the Wpg43. Tackled by Renauld Williams.,2,0
05:42,2,Rush,1,Justin Goltz rush for 1 yard to the Wpg44. Tackled by Ricky Foley.,2,0
05:01,3,No Yards,22,Mike Renaud punts for 37 yards to Ssk29. Penalty: No Yards on Winnipeg (Anthony Woodson) -15 yards.,2,0
04:39,1,Pass,4,Darian Durant pass to Chris Getzlaf for 4 yards to the Ssk48. Tackled by Jovon Johnson.,2,0
04:12,2,Pass,10,Darian Durant pass to Taj Smith for 10 yards to the Wpg52. Tackled by Jovon Johnson.,2,0
03:41,1,Pass,10,Darian Durant pass to Geroy Simon for 10 yards to the Wpg42. Tackled by Demond Washington.,2,0
03:11,1,Pass,12,Darian Durant pass to Chris Getzlaf for 12 yards to the Wpg30. Tackled by Desia Dunn.,2,0
02:37,1,Pass,13,Darian Durant pass to Chris Getzlaf for 13 yards to the Wpg17. Tackled by Alex Suber.,2,0
01:56,1,Rush,14,Darian Durant rush for 14 yards to the Wpg3. Tackled by Brandon Stewart.,2,0
00:45,1,Rush,3,Kory Sheets rush for 3 yards for a TOUCHDOWN.,2,6
00:28,0,Made Extra Point,0,Chris Milo extra point is good.,2,7
00:28,0,Kickoff,27,"Ricky Schmitt kicks off to the Wpg7. Chad Simpson return for 27 yards to Wpg34., recovered by Wpg (Chad Simpson).",2,7
00:01,1,Pass,19,Justin Goltz pass to Jade Etienne for 19 yards to the Wpg53. Tackled by Prince Miller.,2,7
15:00,1,Pass,17,Justin Goltz pass to Clarence Denmark for 17 yards to the Ssk40. Tackled by Dwight Anderson.,2,7
14:35,1,Rush,0,Chad Simpson rush for no gain to the Ssk40. Tackled by Jermaine McElveen.,2,7
14:03,2,Sack,-5,Sack at Ssk45 for a loss of 5 yards by John Chick.,2,7
12:56,3,Punt Single,55,Mike Renaud punts for 55 yards to Ssk0 (Single).,3,7
12:56,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Chris Getzlaf.,3,7
12:36,2,Sack,-7,Sack at Ssk28 for a loss of 7 yards by Demond Washington.,3,7
12:05,3,Punt,14,Ricky Schmitt punts for 37 yards to Wpg45. Aaron Woods return for 14 yards to Ssk51. Tackled by Levi Steinhauer.,3,7
11:42,1,Pass,14,Justin Goltz pass to Aaron Kelly for 14 yards to the Ssk37. Tackled by Macho Harris.,3,7
11:27,0,Pass Interference,33,Penalty: Pass Interference on Saskatchewan (Dwight Anderson) 33 yards.,3,7
11:05,1,Rush,3,Chad Simpson rush for 3 yards to the Ssk1. Tackled by Tearrius George.,3,7
09:59,2,Rush,1,Jason Boltus rush for 1 yard for a TOUCHDOWN.,9,7
09:46,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,10,7
09:46,0,Kickoff,95,Sandro DeAngelis kicks off to the Ssk0.,10,7
09:46,1,Pass,12,Darian Durant pass to Taj Smith for 12 yards to the Ssk37.,10,7
09:26,1,Rush,10,Darian Durant rush for 10 yards to the Ssk47. Tackled by Henoc Muamba.,10,7
08:56,2,Rush,2,Drew Willy rush for 2 yards to the Ssk49. Tackled by Demond Washington.,10,7
08:18,1,Rush,12,Kory Sheets rush for 12 yards to the Wpg49. Tackled by Henoc Muamba.,10,7
08:02,1,Rush,2,Kory Sheets rush for 2 yards to the Wpg47. Tackled by Kenny Mainor.,10,7
07:34,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,10,7
07:08,3,Punt,4,Ricky Schmitt punts for 35 yards to Wpg12. Aaron Woods return for 4 yards to Wpg16. Tackled by Graig Newman.,10,7
06:42,1,Rush,0,Chad Simpson rush for no gain to the Wpg16. Tackled by Weldon Brown.,10,7
06:04,2,Pass,42,Justin Goltz pass to Cory Watson for 42 yards to the Ssk52. Tackled by Dwight Anderson.,10,7
05:18,1,Pass,8,Justin Goltz pass to Chad Simpson for 8 yards to the Ssk44. Tackled by Macho Harris.,10,7
04:53,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Aaron Kelly.,10,7
04:24,3,Punt,4,Mike Renaud punts for 30 yards to Ssk14. Tristan Jackson return for 4 yards to Ssk18. Tackled by Henoc Muamba.,10,7
04:00,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Geroy Simon.,10,7
03:42,2,Pass,7,Darian Durant pass to Rob Bagg for 7 yards to the Ssk25. Tackled by Ian Wild.,10,7
03:14,0,Roughing Kicker,15,Penalty: Roughing Kicker on Winnipeg (Clarence Denmark) 15 yards.,10,7
02:56,1,Objectionable Conduct,10,Darian Durant pass intended for Weston Dressler INTERCEPTED by Henoc Muamba and returned for 20 yards. Tackled by Rob Bagg. Penalty: Objectionable Conduct on Winnipeg -10 yards.,10,7
02:39,1,Pass,5,Justin Goltz pass to Aaron Kelly for 5 yards to the Ssk40. Tackled by Macho Harris.,10,7
02:34,0,Face Mask,15,Penalty: Face Mask on Saskatchewan (Terrell Maze) 15 yards.,10,7
02:17,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Jade Etienne.,10,7
02:12,0,Objectionable Conduct,19,Penalty: Unnecessary Roughness on Saskatchewan (Prince Miller) 13 yards. Penalty: Objectionable Conduct on Saskatchewan (Dwight Anderson) 6 yards.,10,7
02:01,1,Rush,6,Justin Goltz rush for 6 yards for a TOUCHDOWN.,16,7
02:01,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,17,7
02:01,0,Kickoff,13,Sandro DeAngelis kicks off to the Ssk30. Scott McHenry return for 13 yards to Ssk43. Tackled by  .,17,7
01:56,1,Rush,10,Darian Durant rush for 10 yards to the Ssk53.,17,7
01:49,2,Pass,36,Darian Durant pass to Taj Smith for 36 yards to the Wpg21. Tackled by Brandon Stewart.,17,7
01:30,1,Pass,21,Darian Durant pass to Geroy Simon for 21 yards for a TOUCHDOWN.,17,13
01:30,0,Made Extra Point,0,Chris Milo extra point is good.,17,14
01:30,0,Kickoff,17,Ricky Schmitt kicks off to the Wpg18. Aaron Woods return for 17 yards to Wpg35. Tackled by Craig Butler.,17,14
01:24,1,Pass,9,Justin Goltz pass to Chad Simpson for 9 yards to the Wpg44. Tackled by Craig Butler.,17,14
01:18,2,Rush,7,Chad Simpson rush for 7 yards to the Wpg51. Tackled by Weldon Brown.,17,14
01:13,1,Incomplete Pass,0,Justin Goltz incomplete pass intended for Terrence Edwards.,17,14
00:59,2,Pass,8,Justin Goltz pass to Jade Etienne for 8 yards to the Ssk51. Tackled by Prince Miller.,17,14
