Time,Down,Type,Yards,Details,Saskatchewan,Winnipeg
15:00,0,Kickoff,21,Ricky Schmitt kicks off to the Wpg14. Will Ford return for 21 yards to Wpg35. Tackled by Tristan Black.,0,0
14:53,1,Offside,-5,Penalty: Offside on Winnipeg (Cory Watson) -5 yards.,0,0
14:25,1,Rush,7,rush for 7 yards to the Wpg37. Tackled by Weldon Brown.,0,0
13:50,2,Interception,8,Justin Goltz pass intended for Cory Watson INTERCEPTED by Weldon Brown and returned for 8 yards. Tackled by Will Ford.,0,0
12:57,1,Rush,14,Darian Durant rush for 14 yards to the Wpg24. Tackled by Zach Anderson.,0,0
11:46,1,Rush,-2,Kory Sheets rush for a loss of 2 yards to the Wpg26. Tackled by Ian Wild.,0,0
10:49,2,Pass,12,Darian Durant pass to Taj Smith for 12 yards to the Wpg14.,0,0
10:48,1,Rush,3,Kory Sheets rush for 3 yards to the Wpg11. Tackled by Cauchy Muamba.,0,0
09:58,2,Rush,10,Darian Durant rush for 10 yards to the Wpg1. Tackled by Cauchy Muamba.,0,0
08:48,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Keith Shologan.,0,0
08:48,2,Rush,0,Kory Sheets rush for no gain to the Wpg1. Tackled by Henoc Muamba.,0,0
08:45,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Dan Clark) -5 yards.,0,0
08:40,3,Missed Field Goal,13,Chris Milo 13 yard field goal attempt is GOOD.,3,0
08:26,0,Kickoff,98,Ricky Schmitt kicks off to the Wpg12. Will Ford return for 98 yards to Ssk0 for a TOUCHDOWN.,3,6
08:13,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,3,7
08:13,0,Kickoff,18,Sandro DeAngelis kicks off to the Ssk15. Tristan Jackson return for 18 yards to Ssk33. Tackled by Ian Wild.,3,7
08:09,1,Pass,8,Darian Durant pass to Taj Smith for 8 yards to the Ssk41. Tackled by Jovon Johnson.,3,7
07:30,2,Rush,4,Kory Sheets rush for 4 yards to the Ssk45. Tackled by Jovon Johnson.,3,7
06:54,1,Unnecessary Roughness,24,Darian Durant rush for 9 yards to the Ssk54. Tackled by Cauchy Muamba. Penalty: Unnecessary Roughness on Winnipeg (Cauchy Muamba) 15 yards.,3,7
06:32,1,Incomplete Pass,0,Darian Durant incomplete pass.,3,7
06:11,2,Offside,5,Penalty: Offside on Winnipeg (Bryant Turner) 5 yards.,3,7
05:47,0,Pass Interference,10,Penalty: Pass Interference on Winnipeg (Desia Dunn) 10 yards.,3,7
05:23,1,Rush,-1,Kory Sheets rush for a loss of 1 yard to the Wpg27. Tackled by Ian Wild.,3,7
05:05,2,Holding,1,Darian Durant pass intended for Taj Smith INTERCEPTED by   and returned for 2 yards. Tackled by Chris Getzlaf. Penalty: Holding on Winnipeg (Cauchy Muamba) -1 yards.,3,7
04:37,1,Rush,3,Will Ford rush for 3 yards to the Wpg4. Tackled by John Chick.,3,7
04:08,2,Incomplete Pass,0,Justin Goltz incomplete pass intended for Terrence Edwards.,3,7
03:46,3,Punt,10,Mike Renaud punts for 46 yards to Wpg50. Tristan Jackson return for 10 yards to Wpg40. Tackled by Henoc Muamba.,3,7
03:19,1,Pass,4,Darian Durant pass to Geroy Simon for 4 yards to the Wpg36. Tackled by Demond Washington.,3,7
02:58,2,Rush,16,Kory Sheets rush for 16 yards to the Wpg20. Tackled by Alex Hall.,3,7
02:18,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Saskatchewan (Brendon LaBatte) -5 yards.,3,7
02:07,1,Rush,10,Darian Durant rush for 10 yards to the Wpg15. Tackled by Ian Wild.,3,7
01:22,2,Rush,5,Darian Durant rush for 5 yards to the Wpg10. Tackled by Zach Anderson.,3,7
00:55,3,Rush,1,Drew Willy rush for 1 yard to the Wpg9. Tackled by Jovon Johnson.,3,7
00:21,1,Rush,1,Kory Sheets rush for 1 yard to the Wpg8. Tackled by Bryant Turner.,3,7
00:01,2,Pass,1,Darian Durant pass to Taj Smith for 1 yard to the Wpg7. Tackled by Demond Washington.,3,7
14:50,3,Missed Field Goal,14,Chris Milo 14 yard field goal attempt is GOOD.,6,7
