Time,Down,Type,Yards,Details,Edmonton,Winnipeg
15:00,0,Kickoff,19,Grant Shaw kicks off to the Wpg13. Will Ford return for 19 yards to Wpg32. Tackled by Brandon Lang.,0,0
14:54,1,Pass,9,Max Hall pass to Clarence Denmark for 9 yards to the Wpg41. Tackled by J.C. Sherritt.,0,0
14:18,2,Rush,0,Will Ford rush for no gain to the Wpg41. Tackled by Odell Willis.,0,0
13:44,3,Rush,1,Jason Boltus rush for 1 yard to the Wpg42. Tackled by Ted Laurent.,0,0
13:21,1,Pass,22,Max Hall pass to Rory Kohlert for 22 yards to the Edm46.,0,0
12:58,1,Pass,6,Max Hall pass to Rory Kohlert for 6 yards to the Edm40. Tackled by T.J. Hill.,0,0
12:21,2,Offside,5,Penalty: Offside on Edmonton (Odell Willis) 5 yards.,0,0
11:56,1,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert defensed by Eric Samuels.,0,0
11:40,2,Pass,12,Max Hall pass to Clarence Denmark for 12 yards to the Edm23. Tackled by Chris Thompson.,0,0
10:55,1,Pass,22,Max Hall pass to Rory Kohlert for 22 yards to the Edm1. Tackled by Joe Burnett.,0,0
09:43,1,Rush,1,Jason Boltus rush for 1 yard for a TOUCHDOWN.,0,6
09:32,0,Made Extra Point,0,Sandro DeAngelis extra point is good.,0,7
09:32,0,Kickoff,27,Sandro DeAngelis kicks off to the Edm10. Jamal Miles return for 27 yards to Edm37. Tackled by Pierre-Luc Labbe.,0,7
09:26,1,Pass,11,Mike Reilly pass to Marcus Henry for 11 yards to the Edm48. Tackled by Zach Anderson.,0,7
08:42,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Simeon Rottier) -5 yards.,0,7
08:29,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Adarius Bowman.,0,7
07:44,2,Pass,13,Mike Reilly pass to Adarius Bowman for 13 yards to the Wpg54. Tackled by Marty Markett.,0,7
06:50,3,Punt,7,Grant Shaw punts for 26 yards to Wpg28. Jovon Johnson return for 7 yards to Wpg35. Tackled by Elie Ngoyi.,0,7
06:27,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Winnipeg -5 yards.,0,7
06:05,1,Incomplete Pass,0,Max Hall incomplete pass intended for  .,0,7
05:47,2,Pass,10,Max Hall pass to Will Ford for 10 yards to the Wpg40. Tackled by Joe Burnett.,0,7
05:15,3,Punt,12,Mike Renaud punts for 42 yards to Edm28. Jamal Miles return for 12 yards to Edm40. Tackled by James Green.,0,7
04:50,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Calvin McCarty.,0,7
04:36,0,Holding,-10,Penalty: Holding on Edmonton (Miles Mason) -10 yards.,0,7
