Time,Down,Type,Yards,Details,Winnipeg,Calgary
15:00,0,Kickoff,13,Sandro DeAngelis kicks off to the Cgy25. Larry Taylor return for 13 yards to Cgy38. Tackled by Henoc Muamba.,0,0
14:49,1,Pass,12,Kevin Glenn pass to Maurice Price for 12 yards to the Cgy50. Tackled by Brandon Stewart.,0,0
14:27,1,Rush,5,Jon Cornish rush for 5 yards to the Cgy55. Tackled by Johnny Sears.,0,0
13:42,2,Offside,5,Penalty: Offside on Winnipeg (Alex Hall) 5 yards.,0,0
13:33,1,Rush,6,Jon Cornish rush for 6 yards to the Wpg44. Tackled by Brandon Stewart.,0,0
12:53,2,Rush,4,Jon Cornish rush for 4 yards to the Wpg40. Tackled by Johnny Sears.,0,0
12:18,1,Pass,9,Kevin Glenn pass to Joe West for 9 yards to the Wpg31. Tackled by Kenny Mainor.,0,0
11:45,2,Rush,1,Jon Cornish rush for 1 yard to the Wpg30. Tackled by Alex Suber.,0,0
11:17,3,Rush,2,Drew Tate rush for 2 yards to the Wpg28. Tackled by Kenny Mainor.,0,0
10:43,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,0,0
10:22,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Joe West.,0,0
09:41,3,Missed Field Goal,35,Rene Paredes 35 yard field goal attempt is GOOD.,0,3
09:41,1,Offside,-5,Penalty: Offside on Winnipeg (Clarence Denmark) -5 yards.,0,3
09:25,1,Pass,8,Max Hall pass to Clarence Denmark for 8 yards to the Wpg38. Tackled by Derrius Brooks.,0,3
09:00,2,Incomplete Pass,0,Max Hall incomplete pass.,0,3
08:39,3,Punt,0,Mike Renaud punts for 36 yards to Cgy36. No return.,0,3
08:16,1,Pass,18,Kevin Glenn pass to Marquay McDaniel for 18 yards to the Cgy54. Tackled by Alex Suber.,0,3
07:48,1,Pass,6,Kevin Glenn pass to Joe West for 6 yards to the Wpg50. Tackled by Brandon Stewart.,0,3
06:45,2,Rush,50,Jon Cornish rush for 50 yards for a TOUCHDOWN.,0,9
06:37,0,Made Extra Point,0,Rene Paredes extra point is good.,0,10
