Time,Down,Type,Yards,Details,Hamilton,Winnipeg
15:00,0,Kickoff,16,Luca Congi kicks off to the Wpg11. Mario Fannin return for 16 yards to Wpg27. Tackled by James Rogers.,0,0
14:55,1,Rush,3,Will Ford rush for 3 yards to the Wpg30. Tackled by Hasan Hazime.,0,0
14:16,2,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert defensed by Dee Webb.,0,0
13:56,3,Punt,3,Mike Renaud punts for 45 yards to Ham35. Tavoy Moore return for 3 yards to Ham38. Tackled by James Green.,0,0
13:40,1,Pass,13,Henry Burris pass to Onrea Jones for 13 yards to the Ham51. Tackled by Johnny Sears.,0,0
13:05,1,Pass,3,Henry Burris pass to Chevon Walker for 3 yards to the Ham54. Tackled by Ian Wild.,0,0
12:29,2,Fumble,3,"Henry Burris pass to Brandon Banks for 3 yards to the Wpg53. FUMBLE, recovered by Wpg (JT Gilmore). Tackled by Brandon Banks.",0,0
11:54,1,Pass,5,Max Hall pass to Clarence Denmark for 5 yards to the Ham52. Tackled by Ryan Lacy.,0,0
11:22,2,Incomplete Pass,0,Max Hall incomplete pass intended for Rory Kohlert defensed by Torrey Davis.,0,0
11:00,3,Punt,0,Mike Renaud punts for 44 yards to Ham8. No return.,0,0
10:36,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Chevon Walker.,0,0
10:14,2,Pass,6,Henry Burris pass to Chevon Walker for 6 yards to the Ham14. Tackled by Teague Sherman.,0,0
09:43,3,No Yards,20,Josh Bartel punts for 35 yards to Ham49. Penalty: No Yards on Hamilton (Neil King) -15 yards.,0,0
09:34,1,Pass,9,Max Hall pass to Clarence Denmark for 9 yards to the Ham25. Tackled by James Rogers.,0,0
08:55,2,Rush,-1,Will Ford rush for a loss of 1 yard to the Ham26. Tackled by Frederic Plesius.,0,0
07:58,3,Missed Field Goal,33,Sandro DeAngelis 33 yard field goal attempt is GOOD.,0,3
07:58,0,Kickoff,58,Sandro DeAngelis kicks off to the Ham15. Tavoy Moore return for 58 yards to Wpg37. Tackled by Alex Suber.,0,3
07:47,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Brandon Banks.,0,3
07:26,2,Pass,-3,Henry Burris pass to Chevon Walker for a loss of 3 yards to the Wpg40. Tackled by Henoc Muamba.,0,3
06:58,3,Unnecessary Roughness,32,48 yard field goal attempt by Luca Congi is NO GOOD.  Missed field goal returned by Demond Washington to the Wpg9. Tackled by Marc Beswick. Penalty: Unnecessary Roughness on Hamilton (Mike Filer) 15 yards.,0,3
06:27,1,Incomplete Pass,0,Max Hall incomplete pass intended for Wallace Miles.,0,3
06:02,2,Incomplete Pass,0,Max Hall incomplete pass intended for Aaron Kelly.,0,3
05:39,3,Punt,10,Mike Renaud punts for 53 yards to Ham33. Tavoy Moore return for 10 yards to Ham43. Tackled by Johnny Sears.,0,3
05:15,1,Rush,-2,Chevon Walker rush for a loss of 2 yards to the Ham41. Tackled by Henoc Muamba.,0,3
04:40,2,Offside,-5,Penalty: Offside on Hamilton (Onrea Jones) -5 yards.,0,3
04:13,2,Pass,21,Henry Burris pass to Dave Stala for 21 yards to the Wpg53.,0,3
03:47,1,Incomplete Pass,0,Henry Burris incomplete pass intended for Dobson Collins.,0,3
03:28,2,Incomplete Pass,0,Henry Burris incomplete pass intended for Brandon Banks defensed by Demond Washington.,0,3
03:04,3,Fumble,12,"Josh Bartel punts for 35 yards to Wpg18. Jovon Johnson return for 12 yards to Wpg30. FUMBLE, recovered by Ham (C.O. Prime).",0,3
02:51,1,Pass,6,Henry Burris pass to Onrea Jones for 6 yards to the Wpg24. Tackled by Cauchy Muamba.,0,3
