Time,Down,Type,Yards,Details,BC,Edmonton
15:00,0,Kickoff,35,Grant Shaw kicks off to the BC0. Tim Brown return for 35 yards to BC35. Tackled by Rennie Curran.,0,0
14:52,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Korey Williams.,0,0
14:32,2,Pass,14,Kevin Glenn pass to Courtney Taylor for 14 yards to the BC49. Tackled by Eric Samuels.,0,0
13:55,1,Rush,3,Tim Brown rush for 3 yards to the BC52. Tackled by Marcell Young.,0,0
13:45,1,Offside,-5,Penalty: Offside on BC (Seydou Junior Haidara) -5 yards.,0,0
13:15,2,Pass,20,Kevin Glenn pass to Korey Williams for 20 yards to the Edm43. Tackled by Patrick Watkins.,0,0
12:42,1,Rush,-3,Tim Brown rush for a loss of 3 yards to the Edm46. Tackled by Odell Willis.,0,0
12:20,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Korey Williams.,0,0
11:55,3,Punt,0,Ricky Schmitt punts for 37 yards to Edm9. No return.,0,0
11:43,1,Pass,6,Mike Reilly pass to Adarius Bowman for 6 yards to the Edm15. Tackled by Ronnie Yell.,0,0
11:17,2,Pass,4,Mike Reilly pass to Fred Stamps for 4 yards to the Edm19. Tackled by Josh Johnson.,0,0
10:40,1,Incomplete Pass,0,Mike Reilly incomplete pass intended for Fred Stamps.,0,0
10:21,2,Pass,8,Mike Reilly pass to Adarius Bowman for 8 yards to the Edm27. Tackled by Brandon McDonald.,0,0
09:52,3,Punt,16,Grant Shaw punts for 58 yards to BC25. Tim Brown return for 16 yards to BC41. Tackled by J.C. Sherritt.,0,0
09:38,1,Pass,5,Kevin Glenn pass to Pascal Lochard for 5 yards to the BC46. Tackled by Aaron Grymes.,0,0
09:00,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Ernest Jackson.,0,0
08:45,3,Punt,0,Ricky Schmitt punts for 36 yards to Edm28. Jamal Miles return for no gain to Edm28. Tackled by Josh Johnson.,0,0
08:33,1,Pass,17,Mike Reilly pass to Fred Stamps for 17 yards to the Edm45. Tackled by Keynan Parker.,0,0
07:55,1,Rush,1,Hugh Charles rush for 1 yard to the Edm46. Tackled by Josh Johnson.,0,0
07:26,2,Pass,15,Mike Reilly pass to Adarius Bowman for 15 yards to the BC49. Tackled by Josh Johnson.,0,0
06:43,1,Pass,16,Mike Reilly pass to A.J. Guyton for 16 yards to the BC33. Tackled by Matt McGarva.,0,0
05:45,1,Pass,33,Mike Reilly pass to Fred Stamps for 33 yards for a TOUCHDOWN.,0,6
05:38,0,Made Extra Point,0,Grant Shaw extra point is good.,0,7
05:38,0,Kickoff,19,Grant Shaw kicks off to the BC17. Keola Antolin return for 19 yards to BC36. Tackled by Calvin McCarty.,0,7
05:32,1,Rush,10,Korey Williams rush for 10 yards to the BC46. Tackled by Joe Burnett.,0,7
04:59,2,Rush,2,Travis Partridge rush for 2 yards to the BC48. Tackled by Anthony Watkins.,0,7
04:27,1,Pass,27,Kevin Glenn pass to Courtney Taylor for 27 yards to the Edm35. Tackled by Shea Pierre.,0,7
03:45,1,Rush,0,Tim Brown rush for no gain to the Edm35. Tackled by Gregory Alexandre.,0,7
03:12,2,Pass,6,Kevin Glenn pass to Seydou Junior Haidara for 6 yards to the Edm29. Tackled by Joe Burnett.,0,7
02:26,3,Missed Field Goal,38,Ricky Schmitt 38 yard field goal attempt is GOOD.,3,7
02:26,1,Pass,4,Mike Reilly pass to A.J. Guyton for 4 yards to the Edm39. Tackled by Brandon McDonald.,3,7
02:14,2,Pass,5,Mike Reilly pass to Adarius Bowman for 5 yards to the Edm44. Tackled by T.J. Lee.,3,7
01:30,3,Rush,2,Pat White rush for 2 yards to the Edm46. Tackled by Brandon Jordan.,3,7
00:45,1,Pass,5,Mike Reilly pass to A.J. Guyton for 5 yards to the Edm51. Tackled by T.J. Lee.,3,7
00:01,2,Pass,4,Mike Reilly pass to Adarius Bowman for 4 yards to the Edm55. Tackled by Brandon McDonald.,3,7
15:00,3,Punt,22,Grant Shaw punts for 46 yards to BC9. Korey Williams return for 22 yards to BC31. Tackled by Grant Shaw.,3,7
14:42,1,Rush,9,Keola Antolin rush for 9 yards to the BC40. Tackled by Donovan Richard.,3,7
14:00,2,Rush,10,Keola Antolin rush for 10 yards to the BC50. Tackled by Willie Jefferson.,3,7
13:23,1,Incomplete Pass,0,John Beck incomplete pass intended for Jabin Sambrano defensed by Joe Burnett.,3,7
13:09,2,Incomplete Pass,0,John Beck incomplete pass intended for Bryan Burnham.,3,7
12:53,3,No Yards,14,Steven Shott punts for 29 yards to Edm31. Penalty: No Yards on BC (Thomas Spoletini) -15 yards.,3,7
12:42,1,Pass,10,Jonathan Crompton pass to Tyler Thomas for 10 yards to the BC54. Tackled by T.J. Lee.,3,7
12:25,1,Pass,5,Jonathan Crompton pass to Mark Dell for 5 yards to the BC49. Tackled by Keynan Parker.,3,7
11:47,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Tyler Thomas.,3,7
11:31,3,Punt,7,Grant Shaw punts for 36 yards to BC13. Jabin Sambrano return for 7 yards to BC20. Tackled by Aaron Grymes.,3,7
11:16,1,Incomplete Pass,0,John Beck incomplete pass intended for Bryan Burnham.,3,7
10:57,2,Incomplete Pass,0,John Beck incomplete pass intended for Bryan Burnham.,3,7
10:39,3,Punt,5,Steven Shott punts for 37 yards to Edm53. Joe Burnett return for 5 yards to BC52. Tackled by Seydou Junior Haidara.,3,7
10:25,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Tyler Thomas.,3,7
10:14,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon McRae.,3,7
09:53,3,Punt,5,Grant Shaw punts for 42 yards to BC10. Jabin Sambrano return for 5 yards to BC15. Tackled by Dexter McCoil.,3,7
09:38,1,Rush,11,Keola Antolin rush for 11 yards to the BC26. Tackled by Marcell Young.,3,7
09:18,1,Pass,7,John Beck pass to Stephen Adekolu for 7 yards to the BC33. Tackled by J.C. Sherritt.,3,7
08:35,2,Rush,2,Keola Antolin rush for 2 yards to the BC35. Tackled by Dexter McCoil.,3,7
08:03,3,Punt,1,Steven Shott punts for 50 yards to Edm25. Joe Burnett return for 1 yard to Edm26. Tackled by Korey Jones.,3,7
07:51,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Mark Dell.,3,7
