Time,Down,Type,Yards,Details,BC,Montreal
15:00,0,Kickoff,17,Ricky Schmitt kicks off to the Mtl12. Larry Taylor return for 17 yards to Mtl29. Tackled by Adam Bighill.,0,0
14:53,1,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl31. Tackled by Alex Bazzie.,0,0
14:17,2,Pass,3,Troy Smith pass to Brandon Whitaker for 3 yards to the Mtl34. Tackled by Ronnie Yell.,0,0
13:45,3,Punt,5,Sean Whyte punts for 46 yards to BC30. Stefan Logan return for 5 yards to BC35. Tackled by Nicolas Boulay.,0,0
13:19,1,Rush,4,Andrew Harris rush for 4 yards to the BC39. Tackled by Jerald Brown.,0,0
12:39,2,Sack,-6,Sack at BC33 for a loss of 6 yards by John Bowman.,0,0
12:13,3,Illegal Block,61,Ricky Schmitt punts for 51 yards to Mtl26. Penalty: Illegal Block on Montreal (Winston Venable) 10 yards.,0,0
11:59,1,Pass,10,Troy Smith pass to Eric Deslauriers for 10 yards to the Mtl26. Tackled by Ryan Phillips.,0,0
11:10,2,Rush,1,Tanner Marsh rush for 1 yard to the Mtl27. Tackled by Solomon Elimimian.,0,0
10:33,1,Rush,8,Kenny Stafford rush for 8 yards to the Mtl35. Tackled by Ronnie Yell.,0,0
09:55,2,Rush,2,Brandon Whitaker rush for 2 yards to the Mtl37. Tackled by Solomon Elimimian.,0,0
09:28,3,Rush,1,Tanner Marsh rush for 1 yard to the Mtl38. Tackled by J.R. LaRose.,0,0
09:06,1,Pass,4,Troy Smith pass to   for 4 yards to the Mtl42. Tackled by Dante Marsh.,0,0
08:22,2,Incomplete Pass,0,Troy Smith incomplete pass intended for Brandon Whitaker.,0,0
08:05,3,Punt,8,Sean Whyte punts for 46 yards to BC22. Stefan Logan return for 8 yards to BC30. Tackled by Bryn Roy.,0,0
07:44,0,Lateral,2,Kevin Glenn pass intended for Andrew Harris INTERCEPTED and returned for 2 yards Lateral for a TOUCHDOWN,0,6
07:17,0,Made Extra Point,0,Sean Whyte extra point is good.,0,7
07:17,0,Kickoff,20,Sean Whyte kicks off to the BC12. Stefan Logan return for 20 yards to BC32. Tackled by James Tuck.,0,7
07:01,1,Sack,-5,Sack at BC27 for a loss of 5 yards by John Bowman.,0,7
06:30,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,0,7
06:14,3,Punt,7,Ricky Schmitt punts for 51 yards to Mtl32. Larry Taylor return for 7 yards to Mtl39. Tackled by Jason Arakgi.,0,7
06:00,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl42. Tackled by Eric Taylor.,0,7
05:28,2,Pass,14,Troy Smith pass to Kenny Stafford for 14 yards to the BC54. Tackled by Torri Williams.,0,7
05:04,1,Pass,9,Troy Smith pass to Brandon Whitaker for 9 yards to the BC45. Tackled by Adam Bighill.,0,7
04:25,2,Rush,1,Brandon Whitaker rush for 1 yard to the BC44. Tackled by Solomon Elimimian.,0,7
03:52,3,Rush,1,Tanner Marsh rush for 1 yard to the BC43. Tackled by Eric Taylor.,0,7
03:14,1,Incomplete Pass,0,Troy Smith incomplete pass intended for  .,0,7
02:53,2,Pass,9,Troy Smith pass to Kenny Stafford for 9 yards to the BC34. Tackled by Ryan Phillips.,0,7
02:27,3,Rush,2,Tanner Marsh rush for 2 yards to the BC32. Tackled by Khreem Smith.,0,7
01:33,1,Rush,32,Brandon Whitaker rush for 32 yards for a TOUCHDOWN.,0,13
01:14,0,Made Extra Point,0,Sean Whyte extra point is good.,0,14
01:14,0,Kickoff,14,Sean Whyte kicks off to the BC20. Stefan Logan return for 14 yards to BC34. Tackled by Winston Venable.,0,14
01:09,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Kito Poblah.,0,14
00:52,0,Illegal Substitution,-10,Penalty: Illegal Substitution on BC -10 yards.,0,14
00:42,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Ernest Jackson.,0,14
00:24,3,Punt,22,Ricky Schmitt punts for 46 yards to Mtl40. Larry Taylor return for 22 yards to BC48. Tackled by Rolly Lumbala.,0,14
00:01,1,Rush,1,Steven Lumbala rush for 1 yard to the BC47. Tackled by Khreem Smith.,0,14
