Time,Down,Type,Yards,Details,BC,Saskatchewan
15:00,0,Kickoff,26,Chris Milo kicks off to the BC12. Stefan Logan return for 26 yards to BC38. Tackled by Tyron Brackenridge.,0,0
14:48,1,Pass,14,Kevin Glenn pass to Andrew Harris for 14 yards to the BC52. Tackled by Rod Williams.,0,0
14:18,1,Rush,7,Andrew Harris rush for 7 yards to the Ssk51. Tackled by Tristan Black.,0,0
13:43,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,0,0
13:20,3,Punt Single,0,Ricky Schmitt punts for 52 yards to Ssk0. No return (Single).,1,0
13:13,1,Rush,4,Hugh Charles rush for 4 yards to the Ssk39. Tackled by Solomon Elimimian.,1,0
12:42,2,Pass,6,Darian Durant pass to Taj Smith for 6 yards to the Ssk45. Tackled by Adam Bighill.,1,0
12:18,1,Rush,7,Hugh Charles rush for 7 yards to the Ssk52. Tackled by Ronnie Yell.,1,0
11:27,2,Rush,2,Hugh Charles rush for 2 yards to the Ssk54. Tackled by Solomon Elimimian.,1,0
11:07,3,Rush,2,Tino Sunseri rush for 2 yards to the BC54. Tackled by Jabar Westerman.,1,0
10:25,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Anthony Allen.,1,0
10:20,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Ryan Smith.,1,0
09:58,3,Illegal Block,-6,Josh Bartel punts for 38 yards to BC16. Stefan Logan return for 4 yards to BC20. Penalty: Illegal Block on BC (Jabar Westerman) -10 yards.,1,0
09:38,1,Pass,8,Kevin Glenn pass to Courtney Taylor for 8 yards to the BC18. Tackled by John Chick.,1,0
08:59,2,Rush,6,Andrew Harris rush for 6 yards to the BC24. Tackled by Brian Peters.,1,0
08:25,1,Pass,13,Kevin Glenn pass to Andrew Harris for 13 yards to the BC37. Tackled by Tristan Black.,1,0
07:58,1,Rush,3,Stefan Logan rush for 3 yards to the BC40. Tackled by Brian Peters.,1,0
07:22,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for  .,1,0
06:59,3,Unnecessary Roughness,15,Ricky Schmitt punts for 65 yards to Ssk5. Marshay Green return for no gain to Ssk5. Tackled by Matt McGarva. Penalty: Unnecessary Roughness on BC (Jordan Matechuk) 15 yards.,1,0
06:47,1,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg defensed by Jamall Johnson.,1,0
06:32,2,Sack,-10,Sack at Ssk10 for a loss of 10 yards by Khreem Smith.,1,0
06:08,3,Punt,3,Josh Bartel punts for 46 yards to BC54. Stefan Logan return for 3 yards to Ssk53. Tackled by Dylan Ainsworth.,1,0
05:49,1,Pass,18,Kevin Glenn pass to   for 18 yards to the Ssk35. Tackled by Tearrius George.,1,0
05:21,1,Rush,16,Andrew Harris rush for 16 yards to the Ssk19. Tackled by Terrell Maze.,1,0
04:53,1,Pass,7,Kevin Glenn pass to Stefan Logan for 7 yards to the Ssk12. Tackled by Tristan Jackson.,1,0
04:18,2,Rush,4,Stefan Logan rush for 4 yards to the Ssk8. Tackled by Ricky Foley.,1,0
03:16,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,1,0
02:52,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Courtney Taylor.,1,0
02:19,3,Missed Field Goal,15,Paul McCallum 15 yard field goal attempt is GOOD.,4,0
02:19,1,Rush,11,Hugh Charles rush for 11 yards to the Ssk46. Tackled by Adam Bighill.,4,0
01:51,1,Rush,0,Hugh Charles rush for no gain to the Ssk46. Tackled by Solomon Elimimian.,4,0
01:17,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Taj Smith.,4,0
01:01,3,Punt,36,Josh Bartel punts for 48 yards to BC16. Stefan Logan return for 36 yards to BC52. Tackled by Mark LeGree.,4,0
00:24,1,Rush,58,Andrew Harris rush for 58 yards for a TOUCHDOWN.,10,0
00:10,0,Made Extra Point,0,Paul McCallum extra point is good.,11,0
00:10,0,Kickoff,23,Ricky Schmitt kicks off to the Ssk4. Marshay Green return for 23 yards to Ssk27. Tackled by Ronnie Yell.,11,0
00:01,1,Rush,3,Hugh Charles rush for 3 yards to the Ssk30. Tackled by Khreem Smith.,11,0
15:00,2,Pass,11,Darian Durant pass to Taj Smith for 11 yards to the Ssk41. Tackled by Ronnie Yell.,11,0
14:26,1,Pass,11,Darian Durant pass to Taj Smith for 11 yards to the Ssk52. Tackled by Adam Bighill.,11,0
13:56,1,Rush,8,Hugh Charles rush for 8 yards to the BC50. Tackled by Solomon Elimimian.,11,0
13:18,2,Rush,3,Hugh Charles rush for 3 yards to the BC47. Tackled by Adam Bighill.,11,0
12:41,1,Pass,14,Darian Durant pass to Rob Bagg for 14 yards to the BC33. Tackled by Ronnie Yell.,11,0
12:19,1,Pass,15,Darian Durant pass to Anthony Allen for 15 yards to the BC18. Tackled by Cord Parks.,11,0
12:02,0,Illegal Contact,0,Penalty: Holding on Saskatchewan (Chris Best) -10 yards. Penalty: Illegal Contact on BC (Cord Parks) 10 yards.,11,0
11:42,1,Pass,7,Darian Durant pass to Ryan Smith for 7 yards to the BC11. Tackled by Josh Johnson.,11,0
11:17,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Brett Swain.,11,0
10:50,3,Missed Field Goal,18,Chris Milo 18 yard field goal attempt is GOOD.,11,3
