Time,Down,Type,Yards,Details,Montreal,BC
15:00,0,Kickoff,21,Montreal kicks off.   return for 21 yards to BC37.,0,0
14:54,1,Incomplete Pass,0,incomplete pass.,0,0
14:40,2,Pass,16,pass to the BC53.,0,0
13:28,2,Pass,33,pass to the Mtl23.,0,0
12:40,1,Incomplete Pass,0,incomplete pass.,0,0
12:22,2,Incomplete Pass,0,incomplete pass.,0,0
11:45,3,Missed Field Goal,30,30 yard field goal attempt is GOOD.,0,3
11:45,0,Kickoff,15,BC kicks off.   return for 15 yards to Mtl31.,0,3
11:39,1,Incomplete Pass,0,incomplete pass.,0,3
11:23,2,Incomplete Pass,0,incomplete pass.,0,3
11:00,3,Punt,7,punts for 38 yards to BC41.   return for 7 yards to BC48.,0,3
09:58,2,Pass,10,pass to the Mtl46.,0,3
09:45,1,Pass,4,pass to the Mtl42.,0,3
09:06,2,Pass,7,pass to the Mtl35.,0,3
08:04,1,Pass,35,pass for a TOUCHDOWN.,0,9
07:51,0,Made Extra Point,0,extra point is good.,0,10
07:51,0,Kickoff,13,BC kicks off.   return for 13 yards to Mtl18.,0,10
06:02,0,Roughing Passer,15,Penalty: Roughing Passer on BC 15 yards.,0,10
05:35,1,Pass,0,pass to the BC35.,0,10
04:57,2,Incomplete Pass,0,incomplete pass.,0,10
04:13,3,Missed Field Goal,42,42 yard field goal attempt is GOOD.,3,10
04:13,0,Kickoff,15,Montreal kicks off.   return for 15 yards to BC35.,3,10
04:07,1,Pass,0,pass to the BC35.,3,10
03:43,2,Sack,-6,Sack at BC29 for a loss of 6 yards.,3,10
02:59,3,Holding,36,punts for 41 yards to Mtl40. Penalty: No Yards on BC -15 yards. Penalty: Holding on Montreal 10 yards.,3,10
02:06,2,Incomplete Pass,0,incomplete pass.,3,10
01:42,3,Illegal Block,-5,punts for 41 yards to BC31.   return for 5 yards to BC36. Penalty: Illegal Block on BC -10 yards.,3,10
00:42,2,Fumble,22,Andrew Harris rush for 11 yards to the BC37.  FUMBLE FUMBLE Recovered by BC (Andrew Harris) Recovered by BC ( ),3,10
00:06,1,Pass,5,pass to the BC42.,3,10
15:00,2,Incomplete Pass,0,incomplete pass.,3,10
14:43,3,No Yards,32,punts for 37 yards to Mtl31. Penalty: No Yards on BC -5 yards.,3,10
13:48,2,Offside,-5,Penalty: Offside on Montreal -5 yards.,3,10
