Time,Down,Type,Yards,Details,BC,Toronto
15:00,0,Kickoff,34,Swayze Waters kicks off to the BC9.   return for 34 yards to BC43. Tackled by Vincent Agnew.,0,0
14:52,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore defensed by Tristan Okpalaugo.,0,0
14:30,2,Pass,7,Kevin Glenn pass to Marco Iannuzzi for 7 yards to the BC50. Tackled by Jalil Carter.,0,0
13:58,3,Punt,0,Ricky Schmitt punts for 46 yards to Tor14. Branden Smith return for no gain to Tor14. Tackled by Casey Chin.,0,0
13:41,1,Rush,5,Jeremiah Johnson rush for 5 yards to the Tor19. Tackled by Alex Bazzie.,0,0
13:17,2,Pass,11,Ricky Ray pass to Spencer Watt for 11 yards to the Tor30. Tackled by T.J. Lee.,0,0
12:32,0,Rush,6,"FUMBLE Curtis Steele rush for 6 yards to the Tor36., recovered by Tor (Tyler Holmes).",0,0
11:36,2,Pass,3,Ricky Ray pass to Curtis Steele for 3 yards to the Tor39. Tackled by Solomon Elimimian.,0,0
11:09,3,Rush,2,Mitchell Gale rush for 2 yards to the Tor41. Tackled by Solomon Elimimian.,0,0
10:43,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,0,0
10:12,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Spencer Watt.,0,0
09:49,3,Unnecessary Roughness,78,Swayze Waters punts for 45 yards to BC24.   return for 70 yards to Tor16. Tackled by Curtis Steele. Penalty: Unnecessary Roughness on Toronto (Curtis Steele) 8 yards.,0,0
09:24,1,Rush,5,Stefan Logan rush for 5 yards to the Tor3. Tackled by Logan Harrell.,0,0
08:31,2,Rush,3,Stefan Logan rush for 3 yards for a TOUCHDOWN.,6,0
08:31,0,Time Count,-5,Penalty: Time Count on BC (John Beck) -5 yards.,6,0
08:07,0,Made Extra Point,0,Paul McCallum extra point is good.,7,0
08:07,0,Kickoff,16,Ricky Schmitt kicks off to the Tor10. Terrell Sinkfield return for 16 yards to Tor26. Tackled by Torri Williams.,7,0
07:56,1,Sack,-7,Sack at Tor19 for a loss of 7 yards by Alex Bazzie.,7,0
07:35,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for Terrell Sinkfield.,7,0
06:53,3,Punt,10,Swayze Waters punts for 46 yards to BC45.   return for 10 yards to BC55. Tackled by Darvin Adams.,7,0
06:41,1,Rush,17,Stefan Logan rush for 17 yards to the Tor38. Tackled by Aston Whiteside.,7,0
06:19,1,Rush,3,Stefan Logan rush for 3 yards to the Tor35. Tackled by Antwaun Molden.,7,0
05:43,2,Pass,12,Kevin Glenn pass to Courtney Taylor for 12 yards to the Tor23. Tackled by Dwight Anderson.,7,0
05:04,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux defensed by Branden Smith.,7,0
04:35,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux.,7,0
03:52,3,Missed Field Goal,30,Paul McCallum 30 yard field goal attempt is GOOD.,10,0
03:52,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Robert Gill.,10,0
03:37,2,Fumble,19,"Ricky Ray pass to Darvin Adams for 19 yards to the Tor54. FUMBLE, recovered by BC (Torri Williams). Tackled by Robert Gill.",10,0
03:20,1,Rush,4,Travis Lulay rush for 4 yards to the Tor50. Tackled by Gregory Jones.,10,0
