Time,Down,Type,Yards,Details,Saskatchewan,BC
15:00,0,Kickoff,48,Chris Milo kicks off to the BC12. Tim Brown return for 48 yards to Ssk50. Tackled by Brian Peters.,0,0
14:50,1,Pass,11,Kevin Glenn pass to Courtney Taylor for 11 yards to the Ssk39. Tackled by Woodny Turenne.,0,0
14:15,1,Rush,4,rush for 4 yards to the Ssk35. Tackled by Derek Walker.,0,0
13:31,2,Pass,5,Kevin Glenn pass to Emmanuel Arceneaux for 5 yards to the Ssk30. Tackled by Macho Harris.,0,0
12:33,3,Missed Field Goal,38,Paul McCallum 38 yard field goal attempt is GOOD.,0,3
12:33,0,Kickoff,25,Ricky Schmitt kicks off to the Ssk9. Tristan Jackson return for 25 yards to Ssk34. Tackled by Keynan Parker.,0,3
12:27,1,Rush,3,Will Ford rush for 3 yards to the Ssk37. Tackled by Solomon Elimimian.,0,3
11:49,2,Sack,-10,Sack at Ssk27 for a loss of 10 yards by Adam Bighill.,0,3
10:45,3,Punt,75,Josh Bartel punts for 48 yards to BC35. Tim Brown return for 75 yards to Ssk0 for a TOUCHDOWN.,0,9
10:32,0,Made Extra Point,0,Paul McCallum extra point is good.,0,10
10:32,0,Kickoff,34,Ricky Schmitt kicks off to the Ssk3. Tristan Jackson return for 34 yards to Ssk37. Tackled by Solomon Elimimian.,0,10
10:24,1,Pass,9,Darian Durant pass to Chris Getzlaf for 9 yards to the Ssk46. Tackled by Ryan Phillips.,0,10
09:48,2,Rush,4,Anthony Allen rush for 4 yards to the Ssk50. Tackled by Khreem Smith.,0,10
09:08,1,Pass,5,Darian Durant pass to Taj Smith for 5 yards to the Ssk55. Tackled by Dante Marsh.,0,10
08:36,2,Rush,6,Darian Durant rush for 6 yards to the BC49. Tackled by Adam Bighill.,0,10
08:13,1,Offside,-5,Penalty: Offside on Saskatchewan (Chris Getzlaf) -5 yards.,0,10
07:55,1,Pass,9,Darian Durant pass to Anthony Allen for 9 yards to the BC45. Tackled by Solomon Elimimian.,0,10
07:17,2,Incomplete Pass,0,Darian Durant incomplete pass intended for Rob Bagg.,0,10
06:55,3,Punt,8,Josh Bartel punts for 35 yards to BC10. Tim Brown return for 8 yards to BC18. Tackled by Kevin Regimbald.,0,10
06:35,1,Pass,5,Kevin Glenn pass to Courtney Taylor for 5 yards to the BC23. Tackled by Woodny Turenne.,0,10
06:00,2,Pass,7,Kevin Glenn pass to   for 7 yards to the BC30. Tackled by Mark LeGree.,0,10
05:40,1,Unnecessary Roughness,22,Kevin Glenn pass to Marco Iannuzzi for 7 yards to the BC37. Tackled by Woodny Turenne. Penalty: Unnecessary Roughness on Saskatchewan (Woodny Turenne) 15 yards.,0,10
05:20,1,Rush,1,Stefan Logan rush for 1 yard to the BC53. Tackled by Trevor Guyton.,0,10
04:43,2,Pass,14,Kevin Glenn pass to Courtney Taylor for 14 yards to the Ssk43.,0,10
04:14,1,Rush,3,rush for 3 yards to the Ssk40. Tackled by Ricky Foley.,0,10
03:36,2,Sack,-3,Sack at Ssk43 for a loss of 3 yards by Derek Walker.,0,10
02:51,3,Punt,9,Ricky Schmitt punts for 30 yards to Ssk13. Tristan Jackson return for 9 yards to Ssk22. Tackled by Jason Arakgi.,0,10
02:36,1,Face Mask,21,Darian Durant pass to Ryan Smith for 6 yards to the Ssk28. Tackled by Dante Marsh. Penalty: Face Mask on BC (Dante Marsh) 15 yards.,0,10
02:17,1,Pass,13,Darian Durant pass to Chris Getzlaf for 13 yards to the BC54. Tackled by Solomon Elimimian.,0,10
01:46,1,Rush,9,Will Ford rush for 9 yards to the BC45. Tackled by Solomon Elimimian.,0,10
