Time,Down,Type,Yards,Details,BC,Ottawa
15:00,0,Unnecessary Roughness,41,BC kicks off.   return for 26 yards to Ott35. Penalty: Unnecessary Roughness on BC 15 yards.,0,0
14:54,1,Incomplete Pass,0,incomplete pass.,0,0
14:17,2,Pass,26,pass to the BC34.,0,0
13:58,1,Incomplete Pass,0,incomplete pass.,0,0
13:33,2,Pass,7,pass to the BC27.,0,0
12:43,3,Missed Field Goal,35,35 yard field goal attempt is GOOD.,0,3
12:43,1,Offside,5,Penalty: Offside on Ottawa 5 yards.,0,3
12:22,1,Pass,10,pass to the BC50.,0,3
11:40,1,Unnecessary Roughness,-4,pass to the Ott49. Penalty: Unnecessary Roughness on BC -15 yards.,0,3
10:32,2,Sack,-8,Sack at BC41 for a loss of 8 yards.,0,3
10:15,3,Punt,10,punts for 48 yards to Ott21.   return for 10 yards to Ott31.,0,3
09:14,2,Incomplete Pass,0,incomplete pass.,0,3
08:45,3,Punt,11,punts for 55 yards to BC23.   return for 11 yards to BC34.,0,3
07:37,2,Pass,13,pass to the BC51.,0,3
07:01,1,Incomplete Pass,0,incomplete pass.,0,3
06:58,2,Incomplete Pass,0,incomplete pass.,0,3
06:36,3,Punt,21,punts for 40 yards to Ott19.   return for 21 yards to Ott40.,0,3
06:08,1,Pass,9,pass to the Ott49.,0,3
05:01,0,Illegal Punt,-10,Penalty: Illegal Punt on Ottawa -10 yards.,0,3
04:35,3,Punt,8,punts for 58 yards to BC14.   return for 8 yards to BC22.,0,3
04:12,1,Pass,11,pass to the BC33.,0,3
03:14,2,Incomplete Pass,0,incomplete pass.,0,3
02:45,3,Punt,13,punts for 51 yards to Ott20.   return for 13 yards to Ott33.,0,3
02:19,1,Pass,2,pass to the Ott35.,0,3
01:46,2,Pass,13,pass to the Ott48.,0,3
01:08,1,Pass,7,pass to the Ott55.,0,3
15:00,3,Punt,5,punts for 42 yards to BC13.   return for 5 yards to BC18.,0,3
14:40,0,Holding,-9,Penalty: Holding on BC -9 yards.,0,3
14:18,1,Incomplete Pass,0,incomplete pass.,0,3
13:59,2,Pass,0,pass to the BC9.,0,3
13:16,3,Punt,10,punts for 60 yards to Ott41.   return for 10 yards to Ott51.,0,3
12:50,1,Interception,34,pass INTERCEPTED and returned for 34 yards.,0,3
11:06,1,Pass,7,pass to the Ott32.,0,3
10:29,0,Pass Interference,-10,Penalty: Pass Interference on BC -10 yards.,0,3
10:01,2,Incomplete Pass,0,incomplete pass.,0,3
09:22,3,Missed Field Goal,49,49 yard field goal attempt is GOOD.,3,3
09:22,1,Pass,15,pass to the Ott50.,3,3
09:00,1,Pass,13,pass to the BC47.,3,3
07:42,0,Holding,-10,Penalty: Holding on Ottawa -10 yards.,3,3
07:13,2,Pass,9,pass to the BC42.,3,3
06:33,3,Pass,16,pass to the BC26.,3,3
05:59,1,Time Count,-5,Penalty: Time Count on Ottawa -5 yards.,3,3
05:25,0,Illegal Contact,-10,Penalty: Illegal Contact on BC -10 yards.,3,3
05:03,1,Pass,13,pass to the BC8.,3,3
04:49,1,Incomplete Pass,0,incomplete pass.,3,3
04:17,2,Fumble,7,"pass to the BC1. FUMBLE, recovered by BC ( ).",3,3
03:39,1,Safety,-1,Safety,3,5
03:39,0,Kickoff,28,BC kicks off.   return for 28 yards to Ott42.,3,5
03:00,2,Pass,10,pass to the Ott52.,3,5
02:33,1,Pass,10,pass to the BC47.,3,5
02:10,2,Incomplete Pass,0,incomplete pass.,3,5
01:51,3,Punt,9,punts for 36 yards to BC16.   return for 9 yards to BC25.,3,5
01:39,1,Pass,20,pass to the BC45.,3,5
01:31,1,Pass,5,pass to the BC50.,3,5
01:15,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC -5 yards.,3,5
00:41,1,Pass,3,pass to the Ott38.,3,5
00:17,2,Pass,12,pass to the Ott26.,3,5
00:00,1,Missed Field Goal,34,34 yard field goal attempt is GOOD.,6,5
15:00,0,Kickoff,25,Ottawa kicks off.   return for 25 yards to BC38.,6,5
14:05,2,Pass,3,pass to the BC40.,6,5
13:15,3,Punt,0,punts for 39 yards to Ott31. No return.,6,5
13:02,1,Sack,-13,Sack at Ott18 for no gain Recovered by Ott ( ),6,5
12:43,2,Pass,8,pass to the Ott26.,6,5
12:08,3,Punt,14,punts for 53 yards to BC31.   return for 14 yards to BC45.,6,5
11:46,1,Pass,6,pass to the BC51.,6,5
11:06,2,Incomplete Pass,0,incomplete pass.,6,5
10:48,3,Punt,4,punts for 39 yards to Ott20.   return for 4 yards to Ott24.,6,5
10:15,2,Pass,12,pass to the Ott37.,6,5
08:57,2,Pass,-9,pass to the Ott30.,6,5
08:10,0,Fumble,8,", recovered by Ott ( ).   punts for 39 yards to BC41.   return for 8 yards to BC49. FUMBLE",6,5
07:37,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC -5 yards.,6,5
07:36,1,Pass,6,pass to the BC50.,6,5
06:28,1,Pass,7,pass to the Ott44.,6,5
05:52,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC -5 yards.,6,5
05:25,2,Incomplete Pass,0,incomplete pass.,6,5
04:41,3,Punt Single,0,punts for 69 yards to Ott0. No return (Single).,7,5
04:41,1,Pass,2,pass to the Ott37.,7,5
04:27,2,Incomplete Pass,0,incomplete pass.,7,5
04:03,3,Punt,20,punts for 46 yards to BC27.   return for 20 yards to BC47.,7,5
03:36,1,Incomplete Pass,0,incomplete pass.,7,5
03:14,2,Sack,-7,Sack at BC40 for a loss of 7 yards.,7,5
02:20,3,No Yards,29,punts for 44 yards to Ott26. Penalty: No Yards on BC -15 yards.,7,5
02:02,1,Sack,-8,Sack at Ott33 for a loss of 8 yards.,7,5
01:31,2,Pass,15,pass to the Ott48.,7,5
01:07,3,Punt,2,punts for 49 yards to BC13.   return for 2 yards to BC15.,7,5
14:45,1,Incomplete Pass,0,incomplete pass.,7,5
13:34,3,Punt,13,punts for 49 yards to Ott25.   return for 13 yards to Ott38.,7,5
13:03,2,Incomplete Pass,0,incomplete pass.,7,5
12:39,3,Illegal Block,5,punts for 50 yards to BC18.   return for 15 yards to BC33. Penalty: Illegal Block on BC -10 yards.,7,5
09:46,2,Pass,-1,pass to the BC24.,7,5
09:15,3,Punt,17,punts for 44 yards to Ott42.   return for 17 yards to BC51.,7,5
08:40,1,Pass,6,pass to the BC45.,7,5
08:08,2,Pass,4,pass to the BC41.,7,5
07:05,2,Pass,9,pass to the BC28.,7,5
05:46,2,Sack,-1,Sack at BC26 for a loss of 1 yard.,7,5
04:48,3,Incomplete Pass,0,incomplete pass.,7,5
04:20,2,Pass,9,pass to the BC35.,7,5
03:22,1,Illegal Procedure,-5,Penalty: Illegal Procedure on BC -5 yards.,7,5
02:25,2,Pass,29,pass to the Ott47.,7,5
