Time,Down,Type,Yards,Details,Winnipeg,BC
15:00,0,Kickoff,39,Ricky Schmitt kicks off to the Wpg6. Troy Stoudermire return for 39 yards to Wpg45. Tackled by Adam Bighill.,0,0
14:51,1,Pass,3,Drew Willy pass to Aaron Kelly for 3 yards to the Wpg48. Tackled by Josh Johnson.,0,0
14:12,2,Pass,13,Drew Willy pass to Aaron Kelly for 13 yards to the BC49. Tackled by Josh Johnson.,0,0
13:32,1,Pass,5,Drew Willy pass to Clarence Denmark for 5 yards to the BC44. Tackled by Ryan Phillips.,0,0
12:50,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Cory Watson.,0,0
12:29,3,Punt,0,Lirim Hajrullahu punts for 33 yards to BC11. No return.,0,0
12:08,1,Rush,9,Stefan Logan rush for 9 yards to the BC20. Tackled by Maurice Leggett.,0,0
11:28,2,Rush,3,John Beck rush for 3 yards to the BC23. Tackled by Chris Randle.,0,0
10:45,1,Pass,9,Kevin Glenn pass to Rolly Lumbala for 9 yards to the BC32. Tackled by Bruce Johnson.,0,0
10:06,2,Rush,2,Stefan Logan rush for 2 yards to the BC34. Tackled by Louie Richardson.,0,0
09:31,1,Pass,5,Kevin Glenn pass to Andrew Harris for 5 yards to the BC39. Tackled by Bruce Johnson.,0,0
08:51,2,Sack,-8,Sack at BC31 for a loss of 8 yards by Desia Dunn.,0,0
08:18,3,Punt,4,Ricky Schmitt punts for 42 yards to Wpg37. Troy Stoudermire return for 4 yards to Wpg41. Tackled by Jason Arakgi.,0,0
07:47,1,Pass,22,Drew Willy pass to Clarence Denmark for 22 yards to the BC47. Tackled by Torri Williams.,0,0
07:11,1,Rush,7,Nic Grigsby rush for 7 yards to the BC40. Tackled by Solomon Elimimian.,0,0
06:36,2,Pass,2,Drew Willy pass to Nic Grigsby for 2 yards to the BC38. Tackled by Solomon Elimimian.,0,0
05:58,3,Rush,1,Robert Marve rush for 1 yard to the BC37. Tackled by Solomon Elimimian.,0,0
05:17,1,Rush,12,Nic Grigsby rush for 12 yards to the BC25. Tackled by Solomon Elimimian.,0,0
04:35,1,Pass,4,Drew Willy pass to Nic Grigsby for 4 yards to the BC21. Tackled by Alex Bazzie.,0,0
03:51,2,Rush,11,Drew Willy rush for 11 yards to the BC10.,0,0
03:13,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Romby Bryant.,0,0
02:49,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,0,0
02:08,3,Missed Field Goal,17,Lirim Hajrullahu 17 yard field goal attempt is GOOD.,3,0
02:08,0,Kickoff,26,Lirim Hajrullahu kicks off to the BC8. Tim Brown return for 26 yards to BC34. Tackled by Chris Randle.,3,0
02:01,1,Pass,39,Kevin Glenn pass to Shawn Gore for 39 yards to the Wpg37. Tackled by Greg Peach.,3,0
01:25,1,Rush,4,Andrew Harris rush for 4 yards to the Wpg33. Tackled by Teague Sherman.,3,0
00:52,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux defensed by Maurice Leggett.,3,0
00:11,3,Missed Field Goal,40,Paul McCallum 40 yard field goal attempt is GOOD.,3,3
00:11,0,Kickoff,17,Ricky Schmitt kicks off to the Wpg12. Troy Stoudermire return for 17 yards to Wpg29. Tackled by Alex Bazzie.,3,3
00:03,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Nic Grigsby.,3,3
15:00,2,Roughing Passer,36,Drew Willy pass to Cory Watson for 21 yards to the Wpg50. Tackled by Cord Parks. Penalty: Roughing Passer on BC (Khreem Smith) 15 yards.,3,3
14:39,1,Fumble,1,"Nic Grigsby rush for 1 yard to the BC44. FUMBLE, recovered by BC (Adam Bighill). Tackled by Chris Greaves.",3,3
14:32,1,Pass,19,Kevin Glenn pass to Courtney Taylor for 19 yards to the Wpg47. Tackled by Maurice Leggett.,3,3
13:51,1,Rush,7,Stefan Logan rush for 7 yards to the Wpg40. Tackled by Demond Washington.,3,3
13:15,2,Pass,7,Kevin Glenn pass to Courtney Taylor for 7 yards to the Wpg33. Tackled by Demond Washington.,3,3
13:00,1,Pass,13,Kevin Glenn pass to Marco Iannuzzi for 13 yards to the Wpg20. Tackled by Teague Sherman.,3,3
12:26,1,Sack,-9,Sack at Wpg29 for a loss of 9 yards by Jake Thomas.,3,3
11:56,2,Pass,8,Kevin Glenn pass to Stefan Logan for 8 yards to the Wpg21. Tackled by Teague Sherman.,3,3
11:14,3,Missed Field Goal,29,Paul McCallum 29 yard field goal attempt is GOOD.,3,6
11:14,0,Kickoff,13,Ricky Schmitt kicks off to the Wpg7. Troy Stoudermire return for 13 yards to Wpg20. Tackled by Kito Poblah.,3,6
11:05,1,Rush,-1,Nic Grigsby rush for a loss of 1 yard to the Wpg19. Tackled by Josh Johnson.,3,6
10:19,2,Rush,17,Drew Willy rush for 17 yards to the Wpg36. Tackled by Dante Marsh.,3,6
09:35,1,Pass,3,Drew Willy pass to Michel-Pierre Pontbriand for 3 yards to the Wpg39. Tackled by Josh Johnson.,3,6
08:54,0,Illegal Participation,-10,Penalty: Illegal Participation on Winnipeg (Romby Bryant) -10 yards.,3,6
08:27,2,Pass,11,Drew Willy pass to Nic Grigsby for 11 yards to the Wpg40. Tackled by Solomon Elimimian.,3,6
07:52,3,Punt,14,Lirim Hajrullahu punts for 52 yards to BC18. Tim Brown return for 14 yards to BC32. Tackled by Don Unamba.,3,6
07:25,1,Rush,5,Andrew Harris rush for 5 yards to the BC37. Tackled by Jake Thomas.,3,6
06:52,2,Pass,15,Kevin Glenn pass to Seydou Junior Haidara for 15 yards to the BC52. Tackled by Demond Washington.,3,6
06:11,1,Rush,-1,Emmanuel Arceneaux rush for a loss of 1 yard to the BC51. Tackled by Bruce Johnson.,3,6
05:30,2,Pass,8,Kevin Glenn pass to Andrew Harris for 8 yards to the Wpg51. Tackled by Ejiro Kuale.,3,6
04:54,3,Punt,0,Ricky Schmitt punts for 43 yards to Wpg8. No return.,3,6
04:31,0,Pass Interference,12,Penalty: Pass Interference on BC (Ryan Phillips) 12 yards.,3,6
04:10,1,Rush,0,Nic Grigsby rush for no gain to the Wpg20. Tackled by Khalif Mitchell.,3,6
03:27,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Aaron Kelly.,3,6
03:02,3,Fumble,-20,Safety FUMBLE Recovered by Wpg (Lirim Hajrullahu),3,8
02:42,0,Kickoff,18,Lirim Hajrullahu kicks off to the BC21. Tim Brown return for 18 yards to BC39. Tackled by Jesse Briggs.,3,8
02:35,1,Pass,44,Kevin Glenn pass to Emmanuel Arceneaux for 44 yards to the Wpg27. Tackled by Desia Dunn.,3,8
02:29,1,Pass,11,Kevin Glenn pass to Tim Brown for 11 yards to the Wpg16. Tackled by Don Unamba.,3,8
02:05,1,Pass,0,Kevin Glenn pass to Tim Brown for no gain to the Wpg16. Tackled by Bruce Johnson.,3,8
01:42,2,Illegal Procedure,-5,Penalty: Illegal Procedure on BC (Dean Valli) -5 yards.,3,8
01:27,2,Offside,5,Penalty: Offside on Winnipeg (Louie Richardson) 5 yards.,3,8
01:22,2,Pass,11,Kevin Glenn pass to Rolly Lumbala for 11 yards to the Wpg5. Tackled by Desia Dunn.,3,8
01:15,1,Rush,1,Stefan Logan rush for 1 yard to the Wpg4. Tackled by Bryant Turner Jr..,3,8
00:45,2,Pass,4,Kevin Glenn pass to Andrew Harris for 4 yards for a TOUCHDOWN.,3,14
00:45,0,Made Extra Point,0,Paul McCallum extra point is good.,3,15
00:45,0,Kickoff,23,Ricky Schmitt kicks off to the Wpg17. Julian Feoli-Gudino return for 23 yards to Wpg40. Tackled by Keynan Parker.,3,15
00:37,1,Pass,4,Drew Willy pass to Aaron Kelly for 4 yards to the Wpg44. Tackled by Ryan Phillips.,3,15
00:31,2,Sack,-1,Sack at Wpg43 for a loss of 1 yard by Alex Bazzie.,3,15
15:00,0,Unnecessary Roughness,37,Lirim Hajrullahu kicks off to the BC13. Tim Brown return for 22 yards to BC35. Tackled by Don Unamba. Penalty: Unnecessary Roughness on Winnipeg (Dan West) 15 yards.,3,15
14:54,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Seydou Junior Haidara.,3,15
14:33,2,Pass,5,Kevin Glenn pass to Emmanuel Arceneaux for 5 yards to the BC55. Tackled by Maurice Leggett.,3,15
13:58,3,Illegal Block,-1,Ricky Schmitt punts for 47 yards to Wpg8. Troy Stoudermire return for 6 yards to Wpg14. Penalty: Illegal Block on Winnipeg (Don Unamba) -7 yards.,3,15
13:36,0,Pass Interference,14,Penalty: Pass Interference on BC (Josh Johnson) 14 yards.,3,15
13:12,1,Pass,1,Brian Brohm pass to Clarence Denmark for 1 yard to the Wpg22. Tackled by Ryan Phillips.,3,15
12:31,2,Pass,6,Brian Brohm pass to Rory Kohlert for 6 yards to the Wpg28. Tackled by Solomon Elimimian.,3,15
11:56,3,Punt,2,Lirim Hajrullahu punts for 46 yards to BC36. Tim Brown return for 2 yards to BC38. Tackled by Carl Fitzgerald.,3,15
11:27,1,Rush,7,Andrew Harris rush for 7 yards to the BC45. Tackled by Maurice Leggett.,3,15
10:59,2,Fumble,-8,"Sack at BC37 for a loss of 8 yards by Teague Sherman. FUMBLE, recovered by BC (Jermarcus Hardrick).",3,15
10:21,3,Face Mask,46,Ricky Schmitt punts for 44 yards to Wpg29. Troy Stoudermire return for 31 yards to BC50. Tackled by Adam Bighill. Penalty: Face Mask on BC (J.R. LaRose) 15 yards.,3,15
09:58,1,Rush,0,Nic Grigsby rush for no gain to the BC35. Tackled by Eric Taylor.,3,15
09:29,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Aaron Kelly.,3,15
08:44,3,Missed Field Goal,42,Lirim Hajrullahu 42 yard field goal attempt is GOOD.,6,15
08:44,1,Pass,11,Kevin Glenn pass to Shawn Gore for 11 yards to the BC46. Tackled by Bruce Johnson.,6,15
08:17,1,Rush,12,Stefan Logan rush for 12 yards to the Wpg52. Tackled by Matt Bucknor.,6,15
07:59,1,Pass,0,Kevin Glenn pass to Stefan Logan for no gain to the Wpg52. Tackled by Chris Randle.,6,15
07:20,2,Pass,14,Kevin Glenn pass to Andrew Harris for 14 yards to the Wpg38. Tackled by Willie Moseley.,6,15
06:39,1,Rush,0,Andrew Harris rush for no gain to the Wpg38. Tackled by Maurice Leggett.,6,15
06:02,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Seydou Junior Haidara defensed by Chris Randle.,6,15
04:56,3,Field Goal Single,14,57 yard field goal attempt by Paul McCallum is NO GOOD.  Missed field goal returned by Demond Washington to the Wpg0. Tackled by Adam Bighill (Single).,6,16
05:10,1,Pass,14,Brian Brohm pass to Rory Kohlert for 14 yards to the Wpg52. Tackled by Ronnie Yell.,6,16
04:17,1,Rush,5,Nic Grigsby rush for 5 yards to the BC53. Tackled by Eric Taylor.,6,16
03:40,2,Pass,8,Brian Brohm pass to Clarence Denmark for 8 yards to the BC45. Tackled by Dante Marsh.,6,16
03:02,0,Intentional Grounding,-10,Penalty: Intentional Grounding on Winnipeg (Brian Brohm) -10 yards.,6,16
02:35,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Clarence Denmark.,6,16
02:09,3,No Yards,27,Lirim Hajrullahu punts for 42 yards to BC13. Penalty: No Yards on Winnipeg (Dan West) -15 yards.,6,16
01:53,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,6,16
01:30,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore defensed by Bruce Johnson.,6,16
01:05,3,Illegal Block,-3,Ricky Schmitt punts for 40 yards to Wpg42. Troy Stoudermire return for 7 yards to Wpg49. Penalty: Illegal Block on Winnipeg (Louie Richardson) -10 yards.,6,16
00:43,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Romby Bryant defensed by Dante Marsh.,6,16
00:21,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Romby Bryant.,6,16
15:00,3,Clipping,-16,Lirim Hajrullahu punts for 48 yards to BC23. Tim Brown return for a loss of 8 yards to BC15. Penalty: Clipping on BC (Jamall Johnson) -8 yards.,6,16
