Time,Down,Type,Yards,Details,BC,Hamilton
15:00,0,Kickoff,19,Justin Medlock kicks off to the BC11. Bradley Randle return for 19 yards to BC30. Tackled by Neil King.,0,0
14:55,1,Rush,0,Keola Antolin rush for no gain to the BC30. Tackled by Erik Harris.,0,0
14:10,2,Pass,10,Kevin Glenn pass to Emmanuel Arceneaux for 10 yards to the BC40. Tackled by Rico Murray.,0,0
13:40,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for   defensed by Craig Butler.,0,0
13:17,0,Face Mask,5,Penalty: Illegal Block on BC (Shawn Gore) -10 yards. Penalty: Face Mask on Hamilton (Delvin Breaux) 15 yards.,0,0
12:57,1,Rush,7,Keola Antolin rush for 7 yards to the BC52. Tackled by Taylor Reed.,0,0
12:29,2,Pass,3,Kevin Glenn pass to Emmanuel Arceneaux for 3 yards to the BC55. Tackled by Brandon Stewart.,0,0
12:12,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for  .,0,0
11:54,2,Pass,6,Kevin Glenn pass to Seydou Junior Haidara for 6 yards to the Ham49. Tackled by Erik Harris.,0,0
11:07,3,Punt,0,Ricky Schmitt punts for 29 yards to Ham20. No return.,0,0
10:59,1,Pass,22,Zach Collaros pass to Mossis Madu for 22 yards to the Ham42. Tackled by J.R. LaRose.,0,0
10:28,1,Rush,3,Mossis Madu rush for 3 yards to the Ham45. Tackled by Alex Bazzie.,0,0
09:56,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Mossis Madu.,0,0
09:33,3,Punt,9,Justin Medlock punts for 27 yards to BC38. Bradley Randle return for 9 yards to BC47. Tackled by Neil King.,0,0
09:20,1,Pass,9,Kevin Glenn pass to   for 9 yards to the Ham54. Tackled by Brandon Stewart.,0,0
08:50,2,Rush,2,John Beck rush for 2 yards to the Ham52. Tackled by Bryan Hall.,0,0
07:58,1,Pass,0,Kevin Glenn pass to Emmanuel Arceneaux for no gain to the Ham52. Tackled by Courtney Stephen.,0,0
07:38,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Keola Antolin defensed by Bryan Hall.,0,0
07:16,3,Punt,1,Ricky Schmitt punts for 41 yards to Ham11. Brandon Banks return for 1 yard to Ham12. Tackled by Keynan Parker.,0,0
06:57,1,Rush,12,Mossis Madu rush for 12 yards to the Ham24. Tackled by J.R. LaRose.,0,0
06:24,1,Rush,13,Mossis Madu rush for 13 yards to the Ham37. Tackled by T.J. Lee.,0,0
05:45,1,Pass,6,Zach Collaros pass to Brandon Banks for 6 yards to the Ham43.,0,0
05:28,2,Pass,24,Zach Collaros pass to Bakari Grant for 24 yards to the BC43. Tackled by Ronnie Yell.,0,0
04:37,1,Rush,1,Zach Collaros rush for 1 yard to the BC42. Tackled by Alex Bazzie.,0,0
04:14,2,Offside,5,Penalty: Offside on BC (David Menard) 5 yards.,0,0
04:02,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Brandon Banks defensed by Ronnie Yell.,0,0
03:35,3,No Yards,4,Justin Medlock punts for 19 yards to BC18. Penalty: No Yards on Hamilton (Ed Gainey) -15 yards.,0,0
03:22,1,Rush,5,Keola Antolin rush for 5 yards to the BC38. Tackled by Taylor Reed.,0,0
02:54,0,Pass Interference,10,Penalty: Pass Interference on Hamilton (Erik Harris) 10 yards.,0,0
02:36,1,Pass,34,Kevin Glenn pass to   for 34 yards to the Ham28. Tackled by Erik Harris.,0,0
01:48,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Shawn Gore.,0,0
01:30,2,Pass,8,Kevin Glenn pass to Emmanuel Arceneaux for 8 yards to the Ham20. Tackled by Courtney Stephen.,0,0
00:38,3,Missed Field Goal,27,Paul McCallum 27 yard field goal attempt is GOOD.,3,0
00:13,1,Interception,38,Zach Collaros pass intended for Andy Fantuz INTERCEPTED and returned for 38 yards for a TOUCHDOWN.,9,0
00:03,0,Made Extra Point,0,Paul McCallum extra point is good.,10,0
00:03,0,Kickoff,52,Ricky Schmitt kicks off to the Ham8. Terrell Sinkfield return for 52 yards to BC50. Tackled by Akwasi Antwi.,10,0
15:00,1,Incomplete Pass,0,Brandon Banks incomplete pass intended for Bakari Grant.,10,0
14:47,2,Pass,21,Zach Collaros pass to Andy Fantuz for 21 yards to the BC29. Tackled by J.R. LaRose.,10,0
14:07,1,Rush,2,Mossis Madu rush for 2 yards to the BC27. Tackled by Solomon Elimimian.,10,0
13:40,2,Incomplete Pass,0,Zach Collaros incomplete pass intended for Samuel Giguere.,10,0
13:16,3,Illegal Procedure,-5,Penalty: Illegal Procedure on Hamilton (Landon Rice) -5 yards.,10,0
12:44,3,Missed Field Goal,39,Justin Medlock 39 yard field goal attempt is GOOD.,10,3
12:44,1,Rush,3,Shawn Gore rush for 3 yards to the BC38. Tackled by Taylor Reed.,10,3
12:13,2,Pass,6,Kevin Glenn pass to Keola Antolin for 6 yards to the BC44. Tackled by Simoni Lawrence.,10,3
11:22,3,Rush,1,John Beck rush for 1 yard to the BC45. Tackled by Simoni Lawrence.,10,3
10:29,1,Rush,5,Keola Antolin rush for 5 yards to the BC50. Tackled by Bryan Hall.,10,3
09:56,2,Pass,4,Kevin Glenn pass to Keola Antolin for 4 yards to the BC54. Tackled by Simoni Lawrence.,10,3
09:15,3,Unnecessary Roughness,51,Ricky Schmitt punts for 47 yards to Ham9. Brandon Banks return for 36 yards to Ham45. Tackled by Rolly Lumbala. Penalty: Unnecessary Roughness on BC (Rolly Lumbala) 15 yards.,10,3
08:53,1,Rush,1,Mossis Madu rush for 1 yard to the BC49. Tackled by David Menard.,10,3
08:15,2,Pass,15,Zach Collaros pass to Mossis Madu for 15 yards to the BC34. Tackled by Adam Bighill.,10,3
07:35,1,Pass,22,Zach Collaros pass to Andy Fantuz for 22 yards to the BC12. Tackled by J.R. LaRose.,10,3
