Time,Down,Type,Yards,Details,Winnipeg,Calgary
15:00,0,Kickoff,52,Lirim Hajrullahu kicks off to the Cgy6. Jock Sanders return for 52 yards to Wpg52. Tackled by Demond Washington.,0,0
14:40,1,Rush,4,Jock Sanders rush for 4 yards to the Wpg48. Tackled by Greg Peach.,0,0
14:10,2,Pass,15,Drew Tate pass to Jeff Fuller for 15 yards to the Wpg33. Tackled by Ejiro Kuale.,0,0
13:34,1,Rush,32,Jon Cornish rush for 32 yards to the Wpg1. Tackled by Demond Washington.,0,0
12:31,1,Rush,1,Drew Tate rush for 1 yard for a TOUCHDOWN.,0,6
12:22,0,Made Extra Point,0,Rene Paredes extra point is good.,0,7
12:22,0,Kickoff,19,Rene Paredes kicks off to the Wpg1. Michael Ray Garvin return for 19 yards to Wpg20. Tackled by Craig Wilkins.,0,7
12:17,1,Pass,16,Drew Willy pass to Jaymar Johnson for 16 yards to the Wpg36. Tackled by Brandon Smith.,0,7
11:40,1,Rush,0,Paris Cotton rush for no gain to the Wpg36. Tackled by Charleston Hughes.,0,7
11:01,2,Pass,14,Drew Willy pass to Paris Cotton for 14 yards to the Wpg50. Tackled by Corey Mace.,0,7
10:22,1,Incomplete Pass,0,Drew Willy incomplete pass intended for Jaymar Johnson.,0,7
10:06,2,Offside,5,Penalty: Offside on Calgary (Charleston Hughes) 5 yards.,0,7
09:45,2,Incomplete Pass,0,Drew Willy incomplete pass intended for Donavon Kemp.,0,7
09:23,3,Illegal Block,-1,Mike Renaud punts for 42 yards to Cgy13. Jock Sanders return for 9 yards to Cgy22. Penalty: Illegal Block on Calgary (Jeff Richards) -10 yards.,0,7
09:08,1,Rush,6,Jon Cornish rush for 6 yards to the Cgy18. Tackled by Ejiro Kuale.,0,7
08:45,2,Rush,7,Jon Cornish rush for 7 yards to the Cgy25. Tackled by Ejiro Kuale.,0,7
08:09,1,Rush,14,Drew Tate rush for 14 yards to the Cgy39. Tackled by Chris Randle.,0,7
07:15,1,Rush,7,Jon Cornish rush for 7 yards to the Cgy46. Tackled by Graig Newman.,0,7
06:54,2,Incomplete Pass,0,Drew Tate incomplete pass defensed by Ejiro Kuale.,0,7
