Time,Down,Type,Yards,Details,Edmonton,Calgary
15:00,0,Kickoff OOB,30,Grant Shaw kicks off to the Cgy30. Penalty: Kickoff OOB on Edmonton (Grant Shaw) -15 yards.,0,0
14:59,1,Pass,10,Bo Levi Mitchell pass to Maurice Price for 10 yards to the Cgy55. Tackled by Otha Foster.,0,0
14:29,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,0,0
14:07,2,Pass,15,Bo Levi Mitchell pass to Nik Lewis for 15 yards to the Edm40. Tackled by Marcell Young.,0,0
13:27,1,Rush,5,Jon Cornish rush for 5 yards to the Edm35. Tackled by Aaron Grymes.,0,0
12:35,2,Rush,8,Bo Levi Mitchell rush for 8 yards to the Edm27. Tackled by Otha Foster.,0,0
12:11,1,Rush,6,Jock Sanders rush for 6 yards to the Edm21. Tackled by Chris Rwabukamba.,0,0
11:34,2,Pass,20,Bo Levi Mitchell pass to Jock Sanders for 20 yards to the Edm1. Tackled by Dexter McCoil.,0,0
10:17,1,Rush,1,Drew Tate rush for 1 yard for a TOUCHDOWN.,0,6
10:13,0,Made Extra Point,0,Rene Paredes extra point is good.,0,7
10:10,0,Kick Off Single,84,Rene Paredes kicks off to the Edm0 (Single).,0,8
10:10,1,Pass,-1,Matt Nichols pass to A.J. Guyton for a loss of 1 yard to the Edm34. Tackled by Josh Bell.,0,8
09:35,2,Sack,-14,Sack at Edm20 for no gain by Shawn Lemon Recovered by Edm (Matthew O'Donnell),0,8
09:11,3,Punt,16,Grant Shaw punts for 53 yards to Cgy37. Jock Sanders return for 16 yards to Cgy53. Tackled by J.C. Sherritt.,0,8
08:45,1,Rush,5,Jon Cornish rush for 5 yards to the Edm52. Tackled by Mike Dubuisson.,0,8
08:11,2,Rush,3,Bo Levi Mitchell rush for 3 yards to the Edm49. Tackled by Odell Willis.,0,8
07:08,3,Fumble,53,Punt blocked by Willie Jefferson FUMBLE Recovered by Edm (Otha Foster) and returned for 57 yards for a TOUCHDOWN,6,8
06:48,0,Made Extra Point,0,Grant Shaw extra point is good.,7,8
06:48,0,Kickoff,14,Grant Shaw kicks off to the Cgy13. Jock Sanders return for 14 yards to Cgy27. Tackled by Corbin Sharun.,7,8
06:43,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,7,8
06:18,2,Pass,9,Bo Levi Mitchell pass to Nik Lewis for 9 yards to the Cgy36. Tackled by Marcell Young.,7,8
05:42,3,Punt,-6,Rob Maver punts for 60 yards to Edm14. A.J. Guyton return for a loss of 6 yards to Edm8. Tackled by Alvin Bowen.,7,8
05:24,1,Rush,5,Kendial Lawrence rush for 5 yards to the Edm13. Tackled by Brandon Smith.,7,8
04:45,2,Pass,15,Matt Nichols pass to Adarius Bowman for 15 yards to the Edm28. Tackled by Josh Bell.,7,8
04:12,1,Pass,6,Matt Nichols pass to Nate Coehoorn for 6 yards to the Edm34. Tackled by Fred Bennett.,7,8
03:36,2,Sack,-6,Sack at Edm28 for a loss of 6 yards by Deron Mayo.,7,8
03:13,3,Offside,-5,Penalty: Offside on Calgary (Keenan MacDougall) -5 yards.,7,8
02:46,3,No Yards,26,Grant Shaw punts for 31 yards to Cgy46. Penalty: No Yards on Edmonton (Deon Lacey) -5 yards.,7,8
02:22,1,Pass,16,Bo Levi Mitchell pass to Marquay McDaniel for 16 yards to the Edm43. Tackled by Chris Rwabukamba.,7,8
01:54,1,Rush,1,Jon Cornish rush for 1 yard to the Edm42. Tackled by Ryan Hinds.,7,8
01:22,0,Pass Interference,-10,Penalty: Pass Interference on Calgary (Marquay McDaniel) -10 yards.,7,8
01:03,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,7,8
00:42,3,Punt,1,Rob Maver punts for 45 yards to Edm7. A.J. Guyton return for 1 yard to Edm8. Tackled by Ben D'Aguilar.,7,8
00:22,1,Offside,5,Penalty: Offside on Calgary (Junior Turner) 5 yards.,7,8
00:02,1,Illegal Procedure,-5,Penalty: Illegal Procedure on Edmonton (Matthew O'Donnell) -5 yards.,7,8
00:01,1,Pass,6,Matt Nichols pass to Nate Coehoorn for 6 yards to the Edm14. Tackled by Fred Bennett.,7,8
15:00,2,Pass,4,Matt Nichols pass to A.J. Guyton for 4 yards to the Edm18. Tackled by Jamar Wall.,7,8
14:25,3,Rush,3,Pat White rush for 3 yards to the Edm21. Tackled by Juwan Simpson.,7,8
13:48,1,Rush,27,Kendial Lawrence rush for 27 yards to the Edm48. Tackled by Keon Raymond.,7,8
13:31,1,Rush,2,Calvin McCarty rush for 2 yards to the Edm50. Tackled by Josh Bell.,7,8
12:58,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,7,8
12:41,3,Punt,6,Grant Shaw punts for 47 yards to Cgy13. Jock Sanders return for 6 yards to Cgy19. Tackled by Ryan King.,7,8
12:22,1,Rush,14,Jon Cornish rush for 14 yards to the Cgy33. Tackled by Aaron Grymes.,7,8
11:48,1,Rush,14,Jon Cornish rush for 14 yards to the Cgy47. Tackled by Ryan Hinds.,7,8
11:07,1,Rush,-1,Jock Sanders rush for a loss of 1 yard to the Cgy46. Tackled by Almondo Sewell.,7,8
10:20,2,Pass,17,Bo Levi Mitchell pass to Marquay McDaniel for 17 yards to the Edm47. Tackled by Ryan Hinds.,7,8
09:43,1,Pass,20,Bo Levi Mitchell pass to Simon Charbonneau-Campeau for 20 yards to the Edm27. Tackled by Rennie Curran.,7,8
08:40,1,Pass,27,Bo Levi Mitchell pass to Anthony Parker for 27 yards for a TOUCHDOWN.,7,14
08:23,0,Made Extra Point,0,Rene Paredes extra point is good.,7,15
08:23,0,Kickoff,15,Rene Paredes kicks off to the Edm8. Tyler Thomas return for 15 yards to Edm23. Tackled by Jeff Hecht.,7,15
08:18,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,7,15
08:01,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for Adarius Bowman.,7,15
07:44,3,Holding,59,Grant Shaw punts for 49 yards to Cgy38. Penalty: Holding on Calgary ( ) 10 yards.,7,15
07:23,1,Rush,2,Jon Cornish rush for 2 yards to the Cgy30. Tackled by Gregory Alexandre.,7,15
06:58,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Joe West.,7,15
06:35,3,No Yards,39,Rob Maver punts for 44 yards to Edm36. Penalty: No Yards on Calgary (Keenan MacDougall) -5 yards.,7,15
06:16,1,Pass,22,Matt Nichols pass to Adarius Bowman for 22 yards to the Cgy47. Tackled by Buddy Jackson.,7,15
05:53,1,Sack,-6,Sack at Cgy53 for a loss of 6 yards by Charleston Hughes.,7,15
05:11,2,Roughing Passer,22,Matt Nichols pass to A.J. Guyton for 7 yards to the Cgy46. Tackled by Jamar Wall. Penalty: Roughing Passer on Calgary (Keon Raymond) 15 yards.,7,15
04:53,1,Rush,6,Kendial Lawrence rush for 6 yards to the Cgy25. Tackled by Brandon Smith.,7,15
04:23,2,Pass,18,Matt Nichols pass to Adarius Bowman for 18 yards to the Cgy7. Tackled by Jamar Wall.,7,15
03:41,1,Incomplete Pass,0,Matt Nichols incomplete pass intended for A.J. Guyton.,7,15
03:26,2,Incomplete Pass,0,Matt Nichols incomplete pass intended for A.J. Guyton.,7,15
02:59,3,Missed Field Goal,14,Grant Shaw 14 yard field goal attempt is GOOD.,10,15
02:59,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis.,10,15
02:36,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass defensed by Willie Jefferson.,10,15
02:33,3,Punt,5,Rob Maver punts for 44 yards to Edm31. A.J. Guyton return for 5 yards to Edm36. Tackled by Lin-J Shell.,10,15
02:21,1,Fumble,7,"Matt Nichols pass to Adarius Bowman for 7 yards to the Edm43. FUMBLE, recovered by Edm (Shamawd Chambers).",10,15
02:14,2,Rush,4,Kendial Lawrence rush for 4 yards to the Edm47. Tackled by Charleston Hughes.,10,15
01:54,1,Pass,4,Matt Nichols pass to Adarius Bowman for 4 yards to the Edm51. Tackled by Buddy Jackson.,10,15
01:37,2,Offside,-5,Penalty: Offside on Edmonton (Adarius Bowman) -5 yards.,10,15
01:33,2,Rush,6,Tyler Thomas rush for 6 yards to the Edm52. Tackled by Shawn Lemon.,10,15
01:27,3,Punt,0,Grant Shaw punts for 53 yards to Cgy5. No return.,10,15
01:01,1,Rush,21,Jon Cornish rush for 21 yards to the Cgy26. Tackled by Chris Rwabukamba.,10,15
00:50,1,Rush,11,Jon Cornish rush for 11 yards to the Cgy37. Tackled by Chris Rwabukamba.,10,15
00:46,1,Sack,-5,Sack at Cgy32 for a loss of 5 yards by Eddie Steele.,10,15
00:28,2,Rush,9,Jon Cornish rush for 9 yards to the Cgy41. Tackled by Dexter McCoil.,10,15
00:12,3,Rush,18,Jon Cornish rush for 18 yards to the Edm51. Tackled by J.C. Sherritt.,10,15
15:00,0,Kickoff,14,Grant Shaw kicks off to the Cgy17. Jock Sanders return for 14 yards to Cgy31. Tackled by Calvin McCarty.,10,15
14:54,1,Pass,13,Bo Levi Mitchell pass to Maurice Price for 13 yards to the Cgy44. Tackled by Eric Samuels.,10,15
14:16,1,Pass,4,Bo Levi Mitchell pass to Marquay McDaniel for 4 yards to the Cgy48. Tackled by Otha Foster.,10,15
13:38,0,Illegal Contact,10,Penalty: Illegal Contact on Edmonton (Odell Willis) 10 yards.,10,15
13:15,1,Pass,10,Bo Levi Mitchell pass to Maurice Price for 10 yards to the Edm42. Tackled by Otha Foster.,10,15
12:38,2,Rush,1,Drew Tate rush for 1 yard to the Edm41. Tackled by Almondo Sewell.,10,15
11:47,1,Pass,1,Bo Levi Mitchell pass to Nik Lewis for 1 yard to the Edm40. Tackled by Dexter McCoil.,10,15
11:11,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Simon Charbonneau-Campeau defensed by Eric Samuels.,10,15
10:28,3,Missed Field Goal,47,Rene Paredes 47 yard field goal attempt is GOOD.,10,18
10:28,1,Rush,5,Kendial Lawrence rush for 5 yards to the Edm40. Tackled by Juwan Simpson.,10,18
10:00,2,Rush,3,Matt Nichols rush for 3 yards to the Edm43. Tackled by Shawn Lemon.,10,18
09:26,3,Punt,13,Grant Shaw punts for 46 yards to Cgy21. Jock Sanders return for 13 yards to Cgy34. Tackled by Deon Lacey.,10,18
