Time,Down,Type,Yards,Details,Toronto,Calgary
15:00,0,Fumble,16,"Rene Paredes kicks off to the Tor13. LaVon Brazill return for 16 yards to Tor29., recovered by Cgy (Jeff Hecht). FUMBLE",0,0
14:43,1,Pass,9,Bo Levi Mitchell pass to Maurice Price for 9 yards to the Tor20. Tackled by Branden Smith.,0,0
14:22,2,Rush,-1,Jon Cornish rush for a loss of 1 yard to the Tor21. Tackled by Tristan Okpalaugo.,0,0
13:44,3,Missed Field Goal,28,Rene Paredes 28 yard field goal attempt is GOOD.,0,3
13:44,1,Pass,8,Ricky Ray pass to LaVon Brazill for 8 yards to the Tor43. Tackled by Quincy Butler.,0,3
13:29,2,Rush,5,Steve Slaton rush for 5 yards to the Tor48. Tackled by Juwan Simpson.,0,3
12:29,1,Pass,36,Ricky Ray pass to Alexandre Dupuis for 36 yards to the Cgy26. Tackled by Deron Mayo.,0,3
12:10,1,Pass,8,Ricky Ray pass to Trent Guy for 8 yards to the Cgy18. Tackled by Brandon Smith.,0,3
11:40,2,Rush,3,Steve Slaton rush for 3 yards to the Cgy15. Tackled by Demonte' Bolden.,0,3
10:53,1,Pass,15,Ricky Ray pass to   for 15 yards for a TOUCHDOWN.,6,3
10:40,0,Made Extra Point,0,Swayze Waters extra point is good.,7,3
10:40,0,Kickoff,26,Swayze Waters kicks off to the Cgy0. Sederrik Cunningham return for 26 yards to Cgy25. Tackled by Gregory Jones.,7,3
10:34,1,Pass,5,Bo Levi Mitchell pass to Maurice Price for 5 yards to the Cgy30. Tackled by Jermaine Gabriel.,7,3
10:09,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Marquay McDaniel.,7,3
09:31,3,Illegal Block,59,Rob Maver punts for 49 yards to Tor31. Penalty: Illegal Block on Toronto (Natey Adjei) 10 yards.,7,3
09:07,1,Pass,39,Ricky Ray pass to Jason Barnes for 39 yards to the Cgy50. Tackled by Brandon Smith.,7,3
08:44,1,Pass,15,Ricky Ray pass to   for 15 yards to the Cgy35. Tackled by Brandon Smith.,7,3
08:03,1,Pass,10,Ricky Ray pass to Jason Barnes for 10 yards to the Cgy25. Tackled by Rob Cote.,7,3
07:28,2,Rush,1,Ricky Ray rush for 1 yard to the Cgy24. Tackled by Charleston Hughes.,7,3
07:06,1,Pass,13,Ricky Ray pass to LaVon Brazill for 13 yards to the Cgy11. Tackled by Juwan Simpson.,7,3
05:55,1,Pass,11,Ricky Ray pass to Trent Guy for 11 yards for a TOUCHDOWN.,13,3
05:41,0,Made Extra Point,0,Swayze Waters extra point is good.,14,3
05:38,0,Kick Off Single,80,Swayze Waters kicks off to the Cgy0 (Single).,15,3
05:38,1,Rush,6,Jon Cornish rush for 6 yards to the Cgy41. Tackled by Delano Johnson.,15,3
04:58,2,Pass,13,Bo Levi Mitchell pass to Marquay McDaniel for 13 yards to the Cgy54. Tackled by Jermaine Gabriel.,15,3
04:38,1,Rush,12,Jon Cornish rush for 12 yards to the Tor44. Tackled by Nick Rosamonda.,15,3
03:40,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,15,3
03:17,2,Pass,9,Bo Levi Mitchell pass to Nik Lewis for 9 yards to the Tor35. Tackled by Evan McCollough.,15,3
02:28,3,Rush,14,Drew Tate rush for 14 yards to the Tor21. Tackled by Gregory Jones.,15,3
01:45,1,Fumble,3,"Bo Levi Mitchell pass to Rob Cote for 3 yards to the Tor18. FUMBLE, recovered by Tor (Shane Horton). Tackled by Rob Cote.",15,3
01:32,1,Rush,7,Steve Slaton rush for 7 yards to the Tor25. Tackled by Junior Turner.,15,3
01:08,2,Incomplete Pass,0,Ricky Ray incomplete pass intended for  .,15,3
00:44,3,Punt,5,Swayze Waters punts for 54 yards to Cgy31. Sederrik Cunningham return for 5 yards to Cgy36. Tackled by Gregory Jones.,15,3
00:14,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,15,3
15:00,2,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Nik Lewis defensed by Shea Emry.,15,3
14:48,3,Punt,17,Rob Maver punts for 51 yards to Tor23. LaVon Brazill return for 17 yards to Tor40. Tackled by Rob Maver.,15,3
14:23,1,Sack,-10,Sack at Tor30 for a loss of 10 yards by DeQuin Evans.,15,3
14:01,2,Pass,11,Ricky Ray pass to LaVon Brazill for 11 yards to the Tor41. Tackled by Quincy Butler.,15,3
13:03,3,Punt,6,Swayze Waters punts for 57 yards to Cgy12. Sederrik Cunningham return for 6 yards to Cgy18. Tackled by Vincent Agnew.,15,3
12:36,1,Rush,20,Jon Cornish rush for 20 yards to the Cgy38. Tackled by Evan McCollough.,15,3
12:21,1,Pass,6,Bo Levi Mitchell pass to Nik Lewis for 6 yards to the Cgy44. Tackled by Shea Emry.,15,3
11:41,2,Pass,6,Bo Levi Mitchell pass to Nik Lewis for 6 yards to the Cgy50. Tackled by Evan McCollough.,15,3
11:35,1,Unnecessary Roughness,58,Bo Levi Mitchell pass intended for Simon Charbonneau-Campeau INTERCEPTED and returned for 43 yards. Tackled by Maurice Price. Penalty: Unnecessary Roughness on Calgary (Jon Cornish) 15 yards.,15,3
11:04,1,Pass,8,Ricky Ray pass to Spencer Watt for 8 yards to the Cgy11. Tackled by Charleston Hughes.,15,3
10:37,2,Rush,9,Steve Slaton rush for 9 yards to the Cgy2. Tackled by Brandon Smith.,15,3
09:52,1,Incomplete Pass,0,Ricky Ray incomplete pass intended for Steve Slaton defensed by Charleston Hughes.,15,3
09:13,2,Pass,2,Ricky Ray pass to Spencer Watt for 2 yards for a TOUCHDOWN.,21,3
08:56,0,Made Extra Point,0,Swayze Waters extra point is good.,22,3
08:56,0,Kickoff,21,Swayze Waters kicks off to the Cgy7. Sederrik Cunningham return for 21 yards to Cgy28. Tackled by Gregory Jones.,22,3
