Time,Down,Type,Yards,Details,Calgary,Montreal
15:00,0,Kickoff,21,Sean Whyte kicks off to the Cgy18. Sederrik Cunningham return for 21 yards to Cgy39. Tackled by Andrew Lue.,0,0
14:55,1,Time Count,-5,Penalty: Time Count on Calgary (Drew Tate) -5 yards.,0,0
14:32,1,Pass,20,Drew Tate pass to Anthony Parker for 20 yards to the Cgy54. Tackled by Jerald Brown.,0,0
14:25,1,Pass,6,Drew Tate pass to Brad Sinopoli for 6 yards to the Mtl50. Tackled by Chip Cox.,0,0
13:48,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Matt Walter.,0,0
13:26,3,Punt,5,Rob Maver punts for 41 yards to Mtl9. James Rodgers return for 5 yards to Mtl14. Tackled by Karl McCartney.,0,0
13:06,1,Rush,3,Brandon Whitaker rush for 3 yards to the Mtl17. Tackled by Shawn Lemon.,0,0
12:37,2,Sack,-6,Sack at Mtl11 for a loss of 6 yards by Deron Mayo.,0,0
12:08,3,Punt,3,Sean Whyte punts for 42 yards to Mtl53. Sederrik Cunningham return for 3 yards to Mtl50. Tackled by Daryl Townsend.,0,0
11:56,1,Rush,9,Matt Walter rush for 9 yards to the Mtl41. Tackled by Jerald Brown.,0,0
11:23,2,Rush,1,Drew Tate rush for 1 yard to the Mtl40. Tackled by Bear Woods.,0,0
11:01,3,Offside,-5,Penalty: Offside on Calgary (Joe West) -5 yards.,0,0
10:46,3,Punt,0,Rob Maver punts for 26 yards to Mtl19. No return.,0,0
10:29,1,Pass,5,Jonathan Crompton pass to S.J. Green for 5 yards to the Mtl24. Tackled by Quincy Butler.,0,0
10:06,2,Offside,-5,Penalty: Offside on Montreal (S.J. Green) -5 yards.,0,0
09:28,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for S.J. Green.,0,0
09:06,3,Punt,16,Sean Whyte punts for 54 yards to Cgy37. Sederrik Cunningham return for 16 yards to Cgy53. Tackled by Andrew Lue.,0,0
08:44,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Maurice Price.,0,0
08:23,2,Pass,6,Drew Tate pass to Maurice Price for 6 yards to the Mtl51. Tackled by Mitchell White.,0,0
07:50,3,Punt,7,Rob Maver punts for 39 yards to Mtl12. James Rodgers return for 7 yards to Mtl19. Tackled by Karl McCartney.,0,0
07:30,1,Rush,3,James Rodgers rush for 3 yards to the Mtl22. Tackled by Jamar Wall.,0,0
07:15,2,Pass,8,Jonathan Crompton pass to Duron Carter for 8 yards to the Mtl30. Tackled by Quincy Butler.,0,0
06:37,1,Rush,4,Brandon Whitaker rush for 4 yards to the Mtl34. Tackled by Keon Raymond.,0,0
06:03,2,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Brandon London.,0,0
05:45,3,Punt,6,Sean Whyte punts for 39 yards to Cgy37. Sederrik Cunningham return for 6 yards to Cgy43. Tackled by Nicolas Boulay.,0,0
05:26,1,Rush,9,Matt Walter rush for 9 yards to the Cgy52. Tackled by Aaron Lavarias.,0,0
04:50,2,Rush,4,Matt Walter rush for 4 yards to the Mtl54. Tackled by Gabriel Knapton.,0,0
04:17,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Anthony Parker.,0,0
03:59,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Anthony Parker defensed by Geoff Tisdale.,0,0
03:36,3,Punt,15,Rob Maver punts for 37 yards to Mtl17. James Rodgers return for 15 yards to Mtl32. Tackled by Jeff Hecht.,0,0
03:15,1,Pass,8,Jonathan Crompton pass to Duron Carter for 8 yards to the Mtl40.,0,0
02:56,2,Rush,4,Brandon Whitaker rush for 4 yards to the Mtl44. Tackled by DeQuin Evans.,0,0
02:20,1,Rush,4,Brandon Whitaker rush for 4 yards to the Mtl48. Tackled by Brandon Smith.,0,0
01:45,2,Pass,9,Jonathan Crompton pass to Duron Carter for 9 yards to the Cgy53. Tackled by Quincy Butler.,0,0
01:05,1,Rush,1,Jonathan Crompton rush for 1 yard to the Cgy52. Tackled by Shawn Lemon.,0,0
00:26,2,Pass,27,Jonathan Crompton pass to S.J. Green for 27 yards to the Cgy25.,0,0
00:08,1,Incomplete Pass,0,Jonathan Crompton incomplete pass intended for Duron Carter.,0,0
15:00,2,Pass,22,Jonathan Crompton pass to Duron Carter for 22 yards to the Cgy3. Tackled by Quincy Butler.,0,0
14:40,1,Rush,2,Brandon Whitaker rush for 2 yards to the Cgy1. Tackled by Keon Raymond.,0,0
13:54,2,Rush,1,Tanner Marsh rush for 1 yard for a TOUCHDOWN.,0,6
13:45,0,Made Extra Point,0,Sean Whyte extra point is good.,0,7
13:45,0,Kickoff,18,Sean Whyte kicks off to the Cgy20. Sederrik Cunningham return for 18 yards to Cgy38. Tackled by Jonathan Beaulieu-Richard.,0,7
13:37,1,Rush,8,Matt Walter rush for 8 yards to the Cgy46. Tackled by Bear Woods.,0,7
12:58,2,Rush,0,Matt Walter rush for no gain to the Cgy46. Tackled by Bear Woods.,0,7
12:26,3,Punt,16,Rob Maver punts for 43 yards to Mtl21. James Rodgers return for 16 yards to Mtl37. Tackled by Karl McCartney.,0,7
