Time,Down,Type,Yards,Details,BC,Calgary
15:00,0,Kickoff,14,Calgary kicks off.   return for 14 yards to BC33.,0,0
14:54,1,Pass,6,pass to the BC39.,0,0
14:19,2,Pass,6,pass to the BC45.,0,0
13:27,2,Pass,18,pass to the Cgy41.,0,0
11:40,1,Pass,5,pass to the Cgy25.,0,0
11:21,2,Pass,23,pass to the Cgy2.,0,0
10:07,1,,2,for a TOUCHDOWN,6,0
09:57,0,Made Extra Point,0,extra point is good.,7,0
09:57,0,Kickoff,26,BC kicks off.   return for 26 yards to Cgy34.,7,0
07:38,2,Incomplete Pass,0,incomplete pass.,7,0
07:19,3,Punt,4,punts for 43 yards to BC16.   return for 4 yards to BC20.,7,0
05:52,2,Pass,10,pass to the BC47.,7,0
05:14,1,Incomplete Pass,0,incomplete pass.,7,0
04:57,2,Interception,4,pass INTERCEPTED and returned for 4 yards.,7,0
04:00,2,Pass,0,pass to the Cgy53.,7,0
03:15,3,Unnecessary Roughness,20,punts for 45 yards to BC12.   return for 5 yards to BC17. Penalty: Unnecessary Roughness on Calgary 15 yards.,7,0
03:07,1,Incomplete Pass,0,incomplete pass.,7,0
02:53,2,Pass,2,pass to the BC34.,7,0
02:23,3,Punt,14,punts for 47 yards to Cgy29.   return for 14 yards to Cgy43.,7,0
01:08,3,Punt,2,punts for 41 yards to BC19.   return for 2 yards to BC21.,7,0
00:10,2,Fumble,19,"pass to the BC42. FUMBLE, recovered by BC ( ).",7,0
14:27,2,Incomplete Pass,0,incomplete pass.,7,0
14:05,3,Illegal Block,54,punts for 44 yards to Cgy21. Penalty: Illegal Block on Calgary 10 yards.,7,0
13:50,1,Roughing Passer,22,pass to the Cgy18. Penalty: Roughing Passer on BC 15 yards.,7,0
12:12,1,Pass,8,pass to the Cgy52.,7,0
10:25,1,Fumble,15,FUMBLE Recovered by BC ( ) and returned for 3 yards,7,0
09:29,2,Pass,10,pass to the Cgy51.,7,0
08:18,2,Incomplete Pass,0,incomplete pass.,7,0
07:54,3,No Yards,24,punts for 39 yards to Cgy13. Penalty: No Yards on BC -15 yards.,7,0
07:35,1,Offside,-5,Penalty: Offside on Calgary -5 yards.,7,0
07:28,1,Illegal Participation,70,pass to the BC27. Penalty: Illegal Participation on BC 10 yards.,7,0
07:07,1,Incomplete Pass,0,incomplete pass.,7,0
06:57,2,Incomplete Pass,0,incomplete pass.,7,0
06:20,3,Missed Field Goal,24,24 yard field goal attempt is GOOD.,7,3
06:20,1,Incomplete Pass,0,incomplete pass.,7,3
05:58,2,Pass,7,pass to the BC42.,7,3
05:21,3,Punt,23,punts for 39 yards to Cgy29.   return for 23 yards to Cgy52.,7,3
03:13,2,Incomplete Pass,0,incomplete pass.,7,3
02:52,3,Blocked Field Goal,12,39 yard field goal attempt by   is NO GOOD. Field goal attempt is BLOCKED.  Missed field goal returned by   to the BC17.,7,3
02:24,2,Pass,3,pass to the BC26.,7,3
02:04,0,Running into Kicker,10,Penalty: Running into Kicker on Calgary 10 yards.,7,3
00:59,3,Punt,11,punts for 43 yards to Cgy1.   return for 11 yards to Cgy12.,7,3
15:00,0,Kickoff,19,BC kicks off.   return for 19 yards to Cgy32.,7,3
14:54,1,Pass,6,pass to the Cgy38.,7,3
14:33,2,Incomplete Pass,0,incomplete pass.,7,3
14:08,3,Illegal Block,-5,punts for 38 yards to BC34.   return for 5 yards to BC39. Penalty: Illegal Block on BC -10 yards.,7,3
12:54,3,Punt,13,punts for 48 yards to Cgy24.   return for 13 yards to Cgy37.,7,3
12:27,1,Sack,-3,Sack at BC38 for a loss of 3 yards.,7,3
11:46,2,Incomplete Pass,0,incomplete pass.,7,3
