Time,Down,Type,Yards,Details,Calgary,Winnipeg
15:00,0,Kickoff,16,Lirim Hajrullahu kicks off to the Cgy25. Sederrik Cunningham return for 16 yards to Cgy41. Tackled by Sam McGuffie.,0,0
14:56,1,Rush,8,Jon Cornish rush for 8 yards to the Cgy49. Tackled by Maurice Leggett.,0,0
14:17,2,Rush,4,Jon Cornish rush for 4 yards to the Cgy53. Tackled by Johnny Sears Jr..,0,0
13:36,1,Pass,15,Bo Levi Mitchell pass to Maurice Price for 15 yards to the Wpg42. Tackled by Matt Bucknor.,0,0
12:59,1,Rush,3,Jon Cornish rush for 3 yards to the Wpg39. Tackled by Greg Peach.,0,0
12:28,2,Pass,7,Bo Levi Mitchell pass to Maurice Price for 7 yards to the Wpg32. Tackled by  .,0,0
11:49,3,Rush,2,Drew Tate rush for 2 yards to the Wpg30. Tackled by Don Unamba.,0,0
11:13,1,Rush,8,Jon Cornish rush for 8 yards to the Wpg22. Tackled by Maurice Leggett.,0,0
10:36,2,Rush,2,Bo Levi Mitchell rush for 2 yards to the Wpg20. Tackled by Ian Wild.,0,0
10:06,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Maurice Price.,0,0
09:46,2,Offside,-5,Penalty: Offside on Calgary (Brad Sinopoli) -5 yards.,0,0
09:06,2,Pass,25,Bo Levi Mitchell pass to Brad Sinopoli for 25 yards for a TOUCHDOWN.,6,0
08:58,0,Made Extra Point,0,Rene Paredes extra point is good.,7,0
08:58,0,Kickoff,24,Rene Paredes kicks off to the Wpg12. Sam McGuffie return for 24 yards to Wpg36. Tackled by Glenn Love.,7,0
08:52,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Romby Bryant.,7,0
08:41,2,Incomplete Pass,0,Brian Brohm incomplete pass intended for Paris Cotton.,7,0
08:21,3,Punt,2,Lirim Hajrullahu punts for 35 yards to Cgy39. Jock Sanders return for 2 yards to Cgy41. Tackled by Chris Randle.,7,0
07:55,1,Rush,4,Jon Cornish rush for 4 yards to the Cgy45. Tackled by Demond Washington.,7,0
07:28,2,Pass,14,Bo Levi Mitchell pass to Anthony Parker for 14 yards to the Wpg51. Tackled by Don Unamba.,7,0
06:26,1,Pass,51,Bo Levi Mitchell pass to   for 51 yards for a TOUCHDOWN.,13,0
06:26,0,Illegal Procedure,-5,Penalty: Illegal Procedure on Calgary (Brander Craighead) -5 yards.,13,0
06:16,0,Made Extra Point,0,Rene Paredes extra point is good.,14,0
06:16,0,Kickoff,21,Rene Paredes kicks off to the Wpg13. Demond Washington return for 21 yards to Wpg34. Tackled by Karl McCartney.,14,0
06:09,1,Rush,6,Paris Cotton rush for 6 yards to the Wpg40. Tackled by Brandon Smith.,14,0
05:34,2,Pass,8,Brian Brohm pass to Romby Bryant for 8 yards to the Wpg48. Tackled by Deron Mayo.,14,0
05:01,1,Pass,10,Brian Brohm pass to Rory Kohlert for 10 yards to the Cgy52. Tackled by Fred Bennett.,14,0
04:19,1,Pass,11,Brian Brohm pass to Carl Fitzgerald for 11 yards to the Cgy41. Tackled by Buddy Jackson.,14,0
03:59,1,Rush,-1,Paris Cotton rush for a loss of 1 yard to the Cgy42. Tackled by Shawn Lemon.,14,0
03:23,2,Pass,14,Brian Brohm pass to Nick Moore for 14 yards to the Cgy28. Tackled by Brandon Smith.,14,0
02:50,1,Incomplete Pass,0,Brian Brohm incomplete pass intended for Romby Bryant.,14,0
02:34,2,Pass,9,Brian Brohm pass to Nick Moore for 9 yards to the Cgy19. Tackled by Keon Raymond.,14,0
02:01,3,Missed Field Goal,26,Lirim Hajrullahu 26 yard field goal attempt is GOOD.,14,3
02:01,0,Kickoff,24,Lirim Hajrullahu kicks off to the Cgy17. Sederrik Cunningham return for 24 yards to Cgy41. Tackled by Dan West.,14,3
01:55,1,Rush,21,Jon Cornish rush for 21 yards to the Wpg48. Tackled by Maurice Leggett.,14,3
