Time,Down,Type,Yards,Details,Calgary,BC
15:00,0,Kickoff,31,Ricky Schmitt kicks off to the Cgy13. Jock Sanders return for 31 yards to Cgy44. Tackled by Jason Arakgi.,0,0
14:53,1,Pass,31,Drew Tate pass to Joe West for 31 yards to the BC35. Tackled by Solomon Elimimian.,0,0
14:03,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Joe West.,0,0
13:49,2,Pass,17,Drew Tate pass to Marquay McDaniel for 17 yards to the BC18. Tackled by Alex Hoffman-Ellis.,0,0
13:03,1,Rush,3,Martell Mallett rush for 3 yards to the BC15. Tackled by Solomon Elimimian.,0,0
12:30,2,Face Mask,10,Drew Tate rush for 4 yards to the BC11. Tackled by  . Penalty: Face Mask on BC (Chris Olson) 6 yards.,0,0
12:10,1,Incomplete Pass,0,Drew Tate incomplete pass intended for Anthony Parker.,0,0
11:52,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Jock Sanders.,0,0
11:11,3,Missed Field Goal,13,Rene Paredes 13 yard field goal attempt is GOOD.,3,0
11:11,0,Kickoff,18,Rene Paredes kicks off to the BC15. Marco Iannuzzi return for 18 yards to BC33. Tackled by Keon Raymond.,3,0
11:04,1,Rush,21,Stefan Logan rush for 21 yards to the BC54. Tackled by Juwan Simpson.,3,0
10:30,1,Rush,6,Stefan Logan rush for 6 yards to the Cgy50. Tackled by Josh Bell.,3,0
09:59,2,Pass,11,Kevin Glenn pass to Shawn Gore for 11 yards to the Cgy39. Tackled by Fred Bennett.,3,0
09:24,1,Pass,11,Kevin Glenn pass to Ernest Jackson for 11 yards to the Cgy28. Tackled by Brandon Smith.,3,0
08:50,1,Pass,13,Kevin Glenn pass to Stefan Logan for 13 yards to the Cgy15. Tackled by Fred Bennett.,3,0
08:16,1,Rush,4,Stefan Logan rush for 4 yards to the Cgy11. Tackled by Brandon Jordan.,3,0
07:44,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Emmanuel Arceneaux defensed by Buddy Jackson.,3,0
07:06,3,Missed Field Goal,18,Paul McCallum 18 yard field goal attempt is GOOD.,3,3
07:06,0,Kickoff,17,Ricky Schmitt kicks off to the Cgy16. Matt Walter return for 17 yards to Cgy33. Tackled by Alex Hoffman-Ellis.,3,3
07:01,1,Rush,8,Martell Mallett rush for 8 yards to the Cgy41. Tackled by T.J. Lee.,3,3
06:27,2,Rush,2,Martell Mallett rush for 2 yards to the Cgy43. Tackled by Alex Hoffman-Ellis.,3,3
06:00,3,Offside,5,Penalty: Offside on BC (Marcus Dixon) 5 yards.,3,3
05:50,1,Pass,20,Drew Tate pass to Marquay McDaniel for 20 yards to the BC42. Tackled by Dante Marsh.,3,3
05:16,1,Pass,-1,Drew Tate pass to Marquay McDaniel for a loss of 1 yard to the BC43. Tackled by J.R. LaRose.,3,3
04:42,2,Incomplete Pass,0,Drew Tate incomplete pass intended for Martell Mallett.,3,3
04:21,3,Punt,2,Rob Maver punts for 41 yards to BC2. Marco Iannuzzi return for 2 yards to BC4. Tackled by Karl McCartney.,3,3
03:55,1,Pass,2,Kevin Glenn pass to Emmanuel Arceneaux for 2 yards to the BC6. Tackled by Fred Bennett.,3,3
03:18,2,Pass,36,Kevin Glenn pass to Ernest Jackson for 36 yards to the BC42. Tackled by Keon Raymond.,3,3
02:35,1,Rush,1,Stefan Logan rush for 1 yard to the BC43. Tackled by Brandon Smith.,3,3
02:07,2,Pass,18,Kevin Glenn pass to Shawn Gore for 18 yards to the Cgy49. Tackled by Jamar Wall.,3,3
01:30,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Kito Poblah.,3,3
01:10,2,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Ernest Jackson.,3,3
00:47,3,Illegal Punt,18,Ricky Schmitt punts for 28 yards to Cgy21. Penalty: Illegal Punt on BC (Ricky Schmitt) -10 yards.,3,3
00:37,1,Pass,20,Drew Tate pass to Simon Charbonneau-Campeau for 20 yards to the Cgy51. Tackled by Dante Marsh.,3,3
00:01,1,Rush,5,Martell Mallett rush for 5 yards to the BC54. Tackled by Alex Hoffman-Ellis.,3,3
15:00,2,Pass,33,Drew Tate pass to Simon Charbonneau-Campeau for 33 yards to the BC21. Tackled by Josh Johnson.,3,3
14:11,1,Pass,21,Drew Tate pass to Eric Rogers for 21 yards for a TOUCHDOWN.,9,3
14:00,0,Made Extra Point,0,Rene Paredes extra point is good.,10,3
14:00,0,Kickoff,18,Rene Paredes kicks off to the BC11. Marco Iannuzzi return for 18 yards to BC29. Tackled by Glenn Love.,10,3
13:53,1,Pass,9,Kevin Glenn pass to Ernest Jackson for 9 yards to the BC38. Tackled by Jamar Wall.,10,3
13:13,2,Offside,5,Penalty: Offside on Calgary ( ) 5 yards.,10,3
12:59,1,Rush,17,Stefan Logan rush for 17 yards to the Cgy50. Tackled by Keon Raymond.,10,3
12:21,1,Rush,5,Stefan Logan rush for 5 yards to the Cgy45. Tackled by Corey Mace.,10,3
11:53,2,Pass,2,Kevin Glenn pass to Rolly Lumbala for 2 yards to the Cgy43. Tackled by Buddy Jackson.,10,3
11:06,3,Pass,14,Kevin Glenn pass to Stefan Logan for 14 yards to the Cgy29. Tackled by Frank Beltre.,10,3
10:22,1,Incomplete Pass,0,Kevin Glenn incomplete pass intended for Rolly Lumbala.,10,3
10:00,2,Fumble,-10,"Sack at Cgy39 for a loss of 10 yards by Shawn Lemon. FUMBLE, recovered by BC (Andre Ramsey).",10,3
08:53,3,Missed Field Goal,47,Paul McCallum 47 yard field goal attempt is GOOD.,10,6
08:53,0,Kickoff,33,Ricky Schmitt kicks off to the Cgy15. Keon Raymond return for 33 yards to Cgy48. Tackled by Bo Lokombo.,10,6
08:45,1,Rush,-5,Matt Walter rush for a loss of 5 yards to the Cgy43. Tackled by Jabar Westerman.,10,6
08:05,2,Objectionable Conduct,0,Drew Tate pass intended for Anthony Parker INTERCEPTED and returned for 10 yards. Tackled by Anthony Parker. Penalty: Objectionable Conduct on BC (Dante Marsh) -10 yards.,10,6
07:38,1,Pass,8,Kevin Glenn pass to Shawn Gore for 8 yards to the Cgy46.,10,6
07:24,2,Rush,3,Stefan Logan rush for 3 yards to the Cgy43. Tackled by Frank Beltre.,10,6
06:50,1,Interception,0,Kevin Glenn pass intended for Shawn Gore INTERCEPTED. No return. Tackled by Shawn Gore.,10,6
06:27,1,Pass,18,Bo Levi Mitchell pass to Joe West for 18 yards to the Cgy43. Tackled by Ronnie Yell.,10,6
05:44,1,Rush,17,Anthony Parker rush for 17 yards to the BC50. Tackled by Solomon Elimimian.,10,6
04:58,1,Pass,6,Bo Levi Mitchell pass to Anthony Parker for 6 yards to the BC44. Tackled by Ryan Phillips.,10,6
04:37,2,Pass,31,Bo Levi Mitchell pass to Marquay McDaniel for 31 yards to the BC13. Tackled by T.J. Lee.,10,6
03:48,1,Incomplete Pass,0,Bo Levi Mitchell incomplete pass intended for Martell Mallett.,10,6
03:26,0,Pass Interference,12,Penalty: Pass Interference on BC (Cord Parks) 12 yards.,10,6
03:01,1,Rush,0,Bryant Moniz rush for no gain to the BC1. Tackled by Jamall Johnson.,10,6
